verse_number,english_verse,translation_verse
1,"Theophilus, I first wrote to you about all that Jesus did and taught from the very first","Teofilo gɛ ɛdɛmɛ nɔ, nɛ mɛ keplukpa kukuɔ mɛɛ, ɛfɔnɔ kɛkpɛ gɛ Yesu akpɛ yɛaxɔ̃ɛ nɛ̀ bɔdɔ̃ kakasɛ esi"
2,"until he was taken up to heaven. But before he was taken up, he gave orders to the apostles he had chosen with the help of the Holy Spirit.","flogo tɛ bebe feke yɛ ewunu avɛnɔ kititíɛ, akɔ banunɔ gɛ ebú asɛ yɛanɔkpɛkpɛ akɔ ɔsha ɔgana Ɔfɔfuĩa gbangbã mɛ."
4,"While he was still with them, he said: Don't leave Jerusalem yet. Wait here for the Father to give you the Holy Spirit, just as I told you he has promised to do.","Kibeɛ tinikpo gɛ azaŋã bɔdɔ̃ nɛ̀ alɛɛ, akɔ alɛ ɔsha ɔlɛ asɛ, “Nɔtɛshɛ nɛ Yerusalem, pɔ nɔzã tɛ nozopo kɛgɛ Mɛakaa atɛɖɔ elu asɛ abakɔ pɛ ɛzɛɖɔ tseɖe wɔnɔɔ."
5,"John baptized with water, but in a few days you will be baptized with the Holy Spirit. Jesus Is Taken to Heaven","Bulĩ Yohanes alɔkɔ aakpɛ Owusoso Akaa bulĩ nɛ kɛtakpu akɔ banunɔ, pɔ nɛ ewui gulũi teli gɛ abà mɛɛ, Ɔfɔfuĩa Gbangbã babà lɔkɔ akpɛ bulĩɛ akɔ wɔnɔ xɔnɔ nɔ̀.”"
6,"While the apostles were still with Jesus, they asked him, “Lord, are you now going to give Israel its own king again?”","Gɛ bazatyɔaa, bebisi yɛasɛ, “Apalete, kibè ɛlɛ mɛ wobodzinɔ bukusiŋaŋã ɔkɔ Israelanɛ dza?”"
7,"Jesus said to them, “You don't need to know the time of those events that only the Father controls.","Yesu ebuiliulũ akɔ alɛ asɛ, “Wɔnɔ xɔnɔɔ, kɛma ɔsɛ tɛ̀ noti kibeɛ alo ewuiɛ gɛ Akaa atɔɖɔ elu nɛ yɛohumi nulũɔ."
8,"But the Holy Spirit will come upon you and give you power. Then you will tell everyone about me in Jerusalem, in all Judea, in Samaria, and everywhere in the world.”","Onupɛ Ɔfɔfuĩa gbangbã ɔba wɔnɔ abhaa, nɔbɔ yɛkɛ ohumi, kɛlɛ nobo dzi banɔ gɛ nɔbɔ mɔ ebui alɛ ɔɖɔ nɛ mɛishu nɛ Yerusalem nɛ̀ Yudea petee ɔvɛnɔ Samaria ɔdɛtɔ̃ kanɔ nɔ̀ ɔtɔ̃kɔ.”"
9,"After Jesus had said this and while they were watching, he was taken up into a cloud. They could not see him,","Gɛ aɖɔ ebui alɛ ebekeɛ, kɛdɔ̃ tili bafeke yɛewunɔ ɔvɛnɔ kititíɛ nɛ balɛ amɛ, kɛlɛ ɔmɔlɔ toli obokpũi."
10,"but as he went up, they kept looking up into the sky. Suddenly two men dressed in white clothes were standing there beside them.","Pɔ gɛ batsyɔɛ awuhũɔ akpɛ kɛlɛɛ nɔ mɛ gɛ avɛɛ, nɛ balɛ matimati mɛɛ, ɔmɔ banyɛ taabha, gɛ bazã bɔdɔ̃ kpɛkpɛ frɛrɛ mɛ, pɛ bebeli itití nɛ alɛ ɔbha."
11,"They said, “Why are you men from Galilee standing here and looking up into the sky? Jesus has been taken to heaven. But he will come back in the same way you have seen him go.” Someone To Take the Place of Judas","Pɛ baɖɔ asɛ, “Galileanɛ, kiɖe gɛkɔ ɔsɛ nozhioli pɛ noɖi kɛlɛɛ nɔ mɛ ana dza? Yesu alɛ gɛ befeke ashɛnɔ nɛ wɔnɔ ɔbha avɛnɔ kititiɛ, aza babà asɛ kɛmɔ gɛ nɔmɔ yɛ pɛ avɛ kititíɛ ana.” Bebu Matia Akpɛ Yuda Yɛinye Mɛ"
