verse_number,english_verse,translation_verse
23,"“A virgin will have a baby boy, and he will be called Immanuel,” which means “God is with us.”",“Hɔgʋ dieke dɩ zɩna dembiŋ nan yigi nyuuti a mɩɩrɩ bʋadembiŋ aŋ ʋ saaŋ yi Emmanueli.”
11,"From David to the time of the exile in Babylonia, the ancestors of Jesus were: David, Solomon , Rehoboam, Abijah, Asa, Jehoshaphat, Jehoram; Uzziah, Jotham, Ahaz, Hezekiah, Manasseh, Amon, Josiah, and Jehoiachin and his brothers.","ta Josaya die mɩɩrɩ wa Jekonaya aŋaŋ ʋ nɩmballɩ, saŋŋa gie die ba yigi Izara vuosi a bɩrɩŋ ba yɔŋɩsɩ a yaa ba ga Babiloni tɩŋgbaŋ ma."
16,"From the exile to the birth of Jesus, his ancestors were: Jehoiachin, Shealtiel, Zerubbabel, Abiud, Eliakim, Azor, Zadok, Achim; Eliud, Eleazar, Matthan, Jacob, and Joseph, the husband of Mary, the mother of Jesus, who is called the Messiah.","Jakobu die mɩɩrɩ wa Josefu, vuodieke die dɩ yine Meri chʋrʋ, ta Meri dɩ mɩɩrɩna Yisa vuodieke ba wasɩnana Ŋmɩŋ vuovʋarɩkɩŋ Masia wa."
14,more to the birth of the Messiah. The Birth of Jesus (Luke,"Azori die mɩɩrɩ wa Zadoki, ta Zadoki dɩaŋ dɩ mɩɩrɩ Achimi, ta Achimi dɩaŋ dɩ mɩɩrɩ Eludi."
18,"This is how Jesus Christ was born. A young woman named Mary was engaged to Joseph from King David's family. But before they were married, she learned that she was going to have a baby by God's Holy Spirit.","Die ba mɩɩrɩna Yisa Masia die wonde. Yisa nuŋ daa die wone Josefu ama die ba ye ka faarɩ tamba, ta Meri die dɩ mɩŋŋɩ sɩba dɩ ʋ yigi wo nyuuti, die Ŋmɩŋ Halɩkasɩka die vana ʋ yigi kanɩŋ nyuuti mi."
19,Joseph was a good man and did not want to embarrass Mary in front of everyone. So he decided to quietly call off the wedding.,"Josefu die yiwo daa dieke die dɩ mɩŋŋɩna a dɩɩsa Ŋmɩŋ sieŋ, ta die ʋ ka yaala ʋ nagɩ Meri a yi viivi me vuoŋ mana nine me. Naa chɩaŋ ma die ʋ yile ʋ sʋŋ ma dɩ ʋ lɔbɩrɩ a zeti wo."
20,"While Joseph was thinking about this, an angel from the Lord appeared to him in a dream. The angel said, “Joseph, the baby that Mary will have is from the Holy Spirit. Go ahead and marry her.","Die ʋ yilinene naa, Ŋmɩŋ malaka die dɩ nyɩŋ ʋ jigiŋ daansa ma a baarɩ, “Josefu, vuodieke dɩ nyɩnna Davidi buuriŋ ma, da zeti fʋ balla fʋ nagɩ Meri a bɩrɩŋ fʋ hɔgʋ wa. Dama Ŋmɩŋ Halɩkasɩka yɩna wa nyuutiti."
21,"Then after her baby is born, name him Jesus, because he will save his people from their sins.”","Ʋ nan mɩɩrɩ bʋadembiŋ aŋ nɩ wa wa Yisa, dama ʋ nan vʋarɩ ʋ vuosi a nyɩŋ ba tʋmbɩatɩ ma ma.”"
22,"So the Lord's promise came true, just as the prophet had said,","Wɩaha gie mana die keŋ yi mɩŋ sɩba Ŋmɩŋ die dɩ vana ʋ naazʋalɩba wʋnyɩ die dɩ balɩna die wo, dɩ"
24,"After Joseph woke up, he and Mary were soon married, just as the Lord's angel had told him to do.",Die wɩa die Josefu die dɩ hagɩna ʋ daansaha ma die ʋ faarɩ Meri sɩba Ŋmɩŋ malakaka die dɩ bala wa dɩ ʋ yi die wo.
25,But they did not sleep together before her baby was born. Then Joseph named him Jesus.,"Ama die Josefu aŋaŋ Meri die ka dʋagɩ taŋ a ga tʋgɩ saŋŋa dieke die ʋ mɩɩrɩna ʋ bʋadembike. Josefu die dɩ yɩ wa saarɩ, dɩ Yisa."
1,"When Jesus was born in the village of Bethlehem in Judea, Herod was king. During this time some wise men from the east came to Jerusalem","Die ba mɩɩrɩna Yisa tɩŋ kaanɩ ba wasɩnana Betilehemi, Judia tɩŋgbaŋ ma ma, saŋka mi Herodi die yine naaŋ. Die ba mɩɩrɩna Yisa kʋaŋ chaaŋ die dɩ ka yʋasɩya, dembisi bataŋ die dɩ nyɩŋ ŋmɩŋ pɔsɩŋ chaaŋ a keŋ Jerusalemi,"
2,"and said, “Where is the child born to be king of the Jews? We saw his star in the east and have come to worship him.”","a dɩ dɩa a pɩasa, “Sɩa ba mɩɩrɩ bʋanyaalɩ dieke dɩ balla ʋ yi Juu vuosisi naaŋ wa? Tɩ ye wo ʋ chɩŋmarɩka dɩ nyɩnna ŋmɩŋ pɔsɩŋ chaaŋ, tɩ dɩ a keŋ dɩ tɩ jɩaŋ wa.”"
