verse_number,english_verse,translation_verse
23,"“A virgin will have a baby boy, and he will be called Immanuel,” which means “God is with us.”","“Pɔ'asarisɔ nin ti gbaai puuwa n‑dɔ'ai bidibga, Ka ba ti booli u yuuri Imanuɛl.”"
11,"From David to the time of the exile in Babylonia, the ancestors of Jesus were: David, Solomon , Rehoboam, Abijah, Asa, Jehoshaphat, Jehoram; Uzziah, Jotham, Ahaz, Hezekiah, Manasseh, Amon, Josiah, and Jehoiachin and his brothers.",Ka ŋɔn NaaGyoosaaya biisi n daa nyɛ NaaGyɛkɔnaaya ni u tunzɔppa: lala saha ka ba daa gbaasi ba n‑kyaŋŋi Babɛlɔn.
16,"From the exile to the birth of Jesus, his ancestors were: Jehoiachin, Shealtiel, Zerubbabel, Abiud, Eliakim, Azor, Zadok, Achim; Eliud, Eleazar, Matthan, Jacob, and Joseph, the husband of Mary, the mother of Jesus, who is called the Messiah.","Ŋɔn Yaakubu maa bii n daa nyɛ Gyoosɛfi; ka Gyoosɛfi mun daa nyɛ Mariama sira - ŋɔn Mariama mun daa dɔ'ai Yisa, sɔ ban boonni ‘Kirisita, Masiiya’ la."
14,more to the birth of the Messiah. The Birth of Jesus (Luke,"Eezɔr bii daa nyɛ Zeedɔkku, ka Zeedɔkku mun bii daa nyɛ Eekyim, ka Eekyim bii daa nyɛ Ilayuuda;"
18,"This is how Jesus Christ was born. A young woman named Mary was engaged to Joseph from King David's family. But before they were married, she learned that she was going to have a baby by God's Holy Spirit.","Tɔ. Ban daa dɔ'ai Yisa Masiiya seem nŋɔa#:- Sahaseaa ban daa zaŋŋi u ma Mariama n‑ti Gyoosɛfi, ka na bu taasi u la, di saha ka ba daa yi nya ka Naawunni Sii Kasi yiiko daa pun kyɛ ka pɔ'asariga maa mari puuwa."
19,Joseph was a good man and did not want to embarrass Mary in front of everyone. So he decided to quietly call off the wedding.,"U sira Gyoosɛfi daa nyɛ la ninvugsuŋŋu pam, ka dizugu u daa yɛli, ni, u ya sɔ'ai n‑za'asi u ka niriba bu ya baŋŋi di gbinni: ni, “M bu boori ni ba ti diisi u vi.”"
20,"While Joseph was thinking about this, an angel from the Lord appeared to him in a dream. The angel said, “Joseph, the baby that Mary will have is from the Holy Spirit. Go ahead and marry her.","Ŋɔn daa na kur teesiri lala yɛla maa, ka u daa zaasi zaasimni, ka ti Dugma malaaka daa kyɛ u saani na n‑yɛli u, “Nyini Gyoosɛfi ŋɔn nyɛ NaaDauda ya'aŋŋa wa, di zɔri dabeem ni i kyɛ ka ba taasi Mariama i yiri na, dama ŋɔn mari puseaa maa yi la Naawunni Sii Kasi yiiko ni na."
21,"Then after her baby is born, name him Jesus, because he will save his people from their sins.”","U nin ti dɔ'ai bidibga, ka i purim u yuuri Yisa, dama u nin ti tiligi u niriba ba tumbeeri taalli zaa ni.”"
24,"After Joseph woke up, he and Mary were soon married, just as the Lord's angel had told him to do.","Tɔ, ka sahaseaa Gyoosɛfi ŋɔn daa neaai goom ni la, u daa niŋi hoo ti Dugma malaaka maa ŋɔn sa yɛli u seem maa, ka kyɛ ka ba taasi u pɔ'a maa na n‑ti u."
25,But they did not sleep together before her baby was born. Then Joseph named him Jesus.,"Amaa ba daa bu la'am taaba n‑dooni halli ka Mariama ti dɔ'ai u pɔ'asaridɔ'am, bidibga; ka Gyoosɛfi daa puri u yuuri Yisa."
1,"When Jesus was born in the village of Bethlehem in Judea, Herod was king. During this time some wise men from the east came to Jerusalem","Ban daa ti dɔ'ai Yisa Bɛtlihɛm timpuuni n‑naai, Meegyai daa yi wuntampusiri tinwa'aligu ziiya n‑kyɛ Gyɛrusalɛm na - ban n daa nyɛ ninvugseeba ban baŋŋi saŋmariwuusi yɛla, ni bamsim pam m‑paasi. Di saha maa Bɛtlihɛm daa bɛ la Gyuudiiya naam suulinsi ni, ka NaaHɛroodi mun daa di lala tingbaŋŋu naam maa."
2,"and said, “Where is the child born to be king of the Jews? We saw his star in the east and have come to worship him.”","Ka Meegyai maa daa kur boosiri, ni, “Yɛni ka ba dɔ'ai Izraɛli dima naaba la? Ti daa nya u saŋmariwuu maa wuntampusiri lugri ni, dizugu ka ti kyɛ na ni ti gyeem u.”"
3,"When King Herod heard about this, he was worried, and so was everyone else in Jerusalem.","Ka NaaHɛroodi ŋɔn daa wum ba lala boosigu maa, di daa gyɛri u pampam - ŋɔn ni u niriba ban bɛ Gyɛrusalɛm zaa - ka ba sufu daa sa'am."
5,"They told him, “He will be born in Bethlehem, just as the prophet wrote,","Ka ba daa labsi n‑yɛli u, ni, Bɛtlihɛm tiŋŋa kan bɛ Gyuudiiya suulinsi ni la ka ba nin dɔ'ai u. Ni, dama anabidima daa sɔbi n‑zaali, ni#:-"
6,"‘Bethlehem in the land of Judea, you are very important among the towns of Judea. From your town will come a leader, who will be like a shepherd for my people Israel.’ ”","“Nyin Bɛtlihɛm tiŋŋa wa, Nyin bɛ Gyuudiiya suulinsi ni la, I bu poora Gyuudiiya nabiisi sunsukkuni; Nasɔ m bɛ ni ŋɔn ti ya n‑guri ya - Ya Izraɛli dima maa - Hoo ban guri bunkɔbri seem la: Ŋɔnwa ti ya n‑yi nyin Bɛtlihɛm saani na.”"
7,Herod secretly called in the wise men and asked them when they had first seen the star.,"Ka NaaHɛroodi daa booli Meegyai maa asiiri ni, m‑maali m‑boosi ba, ni, “Bɔn saha deede ka saŋmariwuu maa daa pusi saazugu na?” Ka ba daa wulisi u di saha ŋɔn bɛ seem."
8,"He told them, “Go to Bethlehem and search carefully for the child. As soon as you find him, let me know. I also want to go and worship him.”","Ka u daa yɛli ba, “Ya kyɛm Bɛtlihɛm nti bɔ bii maa lahabaari. Ka ya yi ti paai n‑nya u, ya tumma yooma na n‑yɛli ma, ka man gba nin kyaŋŋi nti gyeem u.”"
9,The wise men listened to what the king said and then left. And the star they had seen in the east went on ahead of them until it stopped over the place where the child was.,"Ka ban daa wum Naaba ŋɔn daa yɛli ba seem la, ba daa yi n‑lu Bɛtlihɛm soori yaasa, ka saŋmariwuu maa daa gaari ba tooni ka ba daa dɔla - ban daa pun nya seaa wuntampusiri zii la - halli nti paai n‑zaani saazugu n‑wulisiri bii maa ŋɔn daa bɛ seela."
10,They were thrilled and excited to see the star.,"Ba sufu daa maaya pam, saŋmariwuu maa zugu."
12,"Later they were warned in a dream not to return to Herod, and they went back home by another road. The Escape to Egypt","Tɔ; ka Naawunni daa kyɛ ka ba zaasi zaasimni m‑bugsi ba, ni, ba di naa n‑labi NaaHɛroodi saani, ka dizugu ba daa lɔkki sɔseaa n‑labi n‑kuli ba tiŋŋa."
13,"After the wise men had gone, an angel from the Lord appeared to Joseph in a dream and said, “Get up! Hurry and take the child and his mother to Egypt! Stay there until I tell you to return, because Herod is looking for the child and wants to kill him.”","Ban daa ti gaari n‑kuli n‑naai, Gyoosɛfi daa zaasi zaasimni n‑nya ka ti Dugma malaaka daa kyaŋŋi u saani na nti yɛli u, ni, “Doaama n‑zaŋŋi bii maa ni u ma la n‑zɔ n‑kyaŋŋi Igyipti. See ka ya kpalim m‑bɛ bɛni halli ka man ti laa n‑ti ya kukɔri; dama NaaHɛroodi ya boori la bii maa ziiya ni u gbaai u n‑ku.”"
14,"That night, Joseph got up and took his wife and the child to Egypt,",Ka u daa doaai yuŋŋu n‑zaŋŋi u pɔ'a ni bii maa n‑yisigi n‑kyaŋŋi Igyipti.
15,"where they stayed until Herod died. So the Lord's promise came true, just as the prophet had said, “I called my son out of Egypt.” The Killing of the Children","Ba daa kpalim la bɛni halli ka NaaHɛroodi ti kpi. Ka dinŋɔ n daa kyɛ ka di siri niŋi hoo ti Dugma ŋɔn daa pun kyɛ ka u anabisɔ ti tɔ'asi anabitiri ni, ni#:- “N daa booli m bii maa Ka yiisi u Igyipti tingbaŋŋu la ni na.”"
16,"When Herod found out that the wise men from the east had tricked him, he was very angry. He gave orders for his men to kill all the boys who lived in or near Bethlehem and were two years old and younger. This was based on what he had learned from the wise men.","Ka NaaHɛroodi ŋɔn daa ti baŋŋi, ni, Meegyai maa yɔmsi u ka sɔ'ai n‑kuli, u sufu daa yisigiya pam. Ka u daa zaali zaaligu, ni, ba kyaŋŋi Bɛtlihɛm, ni tinkpanseesi an bɛ gyilagyila la ni, nti ku biisi maa - bidibseeba ban dɔ'ai ka ba nyɛ dahinyinni halli nti paai yuuma ayi biisi la zaa. U lala zaaligu maa daa dɔlisi la sahaseaa Meegyai maa ŋɔn daa wulisi u la."
17,"So the Lord's promise came true, just as the prophet Jeremiah had said,","Di saha di siri daa niŋi hoo Anabi Gyɛrimaaya ŋɔn daa tɔ'asi anabitiri yɛliseelli, ni#:-"
18,"“In Ramah a voice was heard crying and weeping loudly. Rachel was mourning for her children, and she refused to be comforted, because they were dead.” The Return from Egypt","“Raama ka kukɔri maa yi na, Kunkuma ni fabligu pam n nyɛ di. Reekyɛl n kumni u biisi zugu Halli ka sɔ ka ni n‑nin toaai n‑goaai u; Dama u biisi maa zaa na ka ni.”"
19,"After King Herod died, an angel from the Lord appeared in a dream to Joseph while he was still in Egypt.","Tɔ. Ka NaaHɛroodi kum nyaaŋŋa, Gyoosɛfi daa zaasi zaasimni, ka ti Dugma malaaka daa laa n‑kyɛ u saani na"
20,"The angel said, “Get up and take the child and his mother back to Israel. The people who wanted to kill him are now dead.”","nti yɛli u, ni, “Doaama n‑zaŋŋi bii maa ni u ma la n‑labi Izraɛli tingbaŋŋu ni, dama ninvugseeba ban daa boori ba ku bii maa la kpiya.”"
21,Joseph got up and left with them for Israel.,Ka dizugu u daa doaai n‑zaŋŋi bii maa ni u ma la n‑labi Izraɛli tingbaŋŋu ni.
22,"But when he heard that Herod's son Archelaus was now ruler of Judea, he was afraid to go there. Then in a dream he was told to go to Galilee,","Amaa ŋɔn daa ti wum, ni, NaaHɛroodi bii Arikyileesi n diri u ba Hɛroodi naam n‑su Gyuudiiya maa, dabeem daa gbaai u ni u kyaŋŋi bɛni. Ka u daa zaasi zaasimni ka di wulisi u, ni, u kyɛm Galilii tingbaŋŋu ni nti zinni bɛni."
23,"and they went to live there in the town of Nazareth. So the Lord's promise came true, just as the prophet had said, “He will be called a Nazarene.”","Ka u daa doaai n‑kyaŋŋi n‑ti zinni Nazarɛti tiŋŋa ni. Ka dinŋɔ daa kyɛ ka di siri daa niŋi hoo anabidima ŋɔn daa tɔ'asi seem n‑zaali la, ni#:- “Ba ti ya m‑boonni u la Nazarɛti nira.”"
2,"He said, “Turn back to God! The kingdom of heaven will soon be here.”","n‑yɛtti, ni, “Ya kyɛli ya teesibeeri ni ya tumbeeri zaa, dama Arizana naam bɛ la ya saani.”"
4,John wore clothes made of camel's hair. He had a leather strap around his waist and ate grasshoppers and wild honey.,"Ŋɔn Gyɔni daa yeeri la arakoomi kɔbri bunyeerigu, ka daa mari gbaŋŋu n‑loori u seaa, ka u bundirigu daa nyɛ toori, ni siiri."
5,From Jerusalem and all Judea and from the Jordan River Valley crowds of people went to John.,"Ka daadam pam daa la'am n‑yi n‑kyɛ u saani na; ba daa yi la Gyuudii tingbaŋŋu ni na, ni Gyɛrusalɛm tiŋŋa ni, halli ni tinseesi zaa an bɛ Gyɔdin mɔ'ari duuri m‑paasi."
6,"They told how sorry they were for their sins, and he baptized them in the river.","Ka ba daa paai u na ka wulisiri ban tum tumbɛseesi maa, ka u daa su ba tumbeeri kyɛ-m‑pɛŋŋi kɔsuubu, Gyɔdin mɔ'ari la ni."
