text,ref,Unnamed: 2,translated,similarity_score
"Saa ɛsuzu ninyɛne mɔɔ bɛhile ye wɔ ɛlɛka ne anu la anwo a , ɔbamaa wɔahɔ zo wɔava wuluwuluyɛlɛ wɔaha edwɛkɛ ne .",Examining the points listed in the box can motivate you to continue preaching with zeal .,,"When the sun was setting and darkness was about to cover the earth, the woman had struggled and given birth to twins, a boy and a girl.",0.037128225
"Saa ɛyɛ mɔɔ ɛbahola biala la wɔ Gyihova ɛzonlenlɛ nu kɛmɔ kunlavolɛ raalɛ ehyianli ne yɛle la a , ɛnee ɔwɔ kɛ ɛnyia anwodozo kɛ ɛwɔ "" diedi ne "" anu .","When , like the needy widow , you are doing all you can in Jehovah 's service , you have solid reason for believing that you are "" in the faith . """,,It is very important that everyone who serves Jehovah wholeheartedly and wants to be his friend understands the meaning of the “ten words” and the principles they contain.,0.4684786
"Saa ɛyɛ zɔ a , ɔbamaa wɔava ɛtane wɔahyɛ .","Experience the peace of mind , unity , and divine blessings that come to those who have a forgiving disposition . - Rom .",,"When it is time for war, the woman has prepared and dressed for it.",0.05357238
"Samuel toa zo kɛ : "" Amaa yɛ nwo ayɛ se wɔ sunsum nu la , me nee me ye hɔle debiezukoalɛ wɔ asafo mɔɔ bɛfa yɛ sua zo aneɛ bɛdi gyima la anu .","Samuel adds : "" To keep ourselves spiritually strong , my wife and I also attended meetings in our language .",,"Samuel said: ""But as it is in the spirit, I and my wife have decided that we will join the church to do the work of God together.""",0.5833822
Sime nee Haidee,Sime and Haidee,,Come on Haidee,0.58767116
"Sonla ɛhye mɔɔ ɛnee le Falasiinli la hanle bɔbɔ kɛ saa ɔfa mɔɔ ɛnee ɔsuzu kɛ nwolɛ hyia la ɔto ndelebɛbo fofolɛ ne mɔɔ yɛnyia ye wɔ Nyamenle bodane ne mɔ anwo nee nwolɛ adenle mɔɔ yɛnyia ye wɔ Keleseɛne ɛzonlenlɛ gyima ne anu la anwo a , ɔle kɛ "" fovolɛ zo ewula la . ""","This former Pharisee went so far as to say that compared with his new , enlightened understanding of God 's purposes and the privilege of the Christian ministry , what he once thought was important he now considered to be "" a lot of refuse . """,,"The peace of God, which surpasses all understanding, will guard your hearts and your minds in Christ Jesus, and the God of peace will be with you. And also, ""Pray for the peace of Jerusalem.""",0.29008257
Sunsum nwuanzanwuanza ne kola maa yɛ tumi maa yɛgyinla amaneɛnwunlɛ biala anloa .,Holy spirit can empower us to endure any kind of adversity .,,The Holy Spirit is the power that enables us to overcome every temptation.,0.7855201
Suzu mɔɔ zile wɔ nɔe ne mɔɔ aleɛ kye a bɛbahu Gyisɛse la anwo .,Consider what happened the night before Jesus was to be executed .,,The one who sows good seeds will see the kingdom of God.,0.20938617
Toa mɔɔ ɛlɛyɛ la azo . ',Keep doing what you are doing . ',,The elephant is a strong animal.,0.08893642
"Tɛ ye zɔ a , ɔkpa kpuyia ne ko na ɔtoa zo ɔ nee suamenle ne suzu nwo .","Otherwise , he selects a question and continues the discussion without putting the householder on the spot .",,"If you go to the river, one toad will not prevent you from drawing water and fetching firewood.",0.17742878
