text,ref,Unnamed: 2,translated,similarity_score
"Saa ɛsuzu ninyɛne mɔɔ bɛhile ye wɔ ɛlɛka ne anu la anwo a , ɔbamaa wɔahɔ zo wɔava wuluwuluyɛlɛ wɔaha edwɛkɛ ne .",Examining the points listed in the box can motivate you to continue preaching with zeal .,,"The sun rose and the birds sang, and the children played happily in the fields.",0.05278963
"Saa ɛyɛ mɔɔ ɛbahola biala la wɔ Gyihova ɛzonlenlɛ nu kɛmɔ kunlavolɛ raalɛ ehyianli ne yɛle la a , ɛnee ɔwɔ kɛ ɛnyia anwodozo kɛ ɛwɔ "" diedi ne "" anu .","When , like the needy widow , you are doing all you can in Jehovah 's service , you have solid reason for believing that you are "" in the faith . """,,It is a very serious matter that in Jehovah’s teachings there is a warning about the “death penalty.”,0.39588344
"Saa ɛyɛ zɔ a , ɔbamaa wɔava ɛtane wɔahyɛ .","Experience the peace of mind , unity , and divine blessings that come to those who have a forgiving disposition . - Rom .",,"If this is true, the man will be punished.",0.101593584
"Samuel toa zo kɛ : "" Amaa yɛ nwo ayɛ se wɔ sunsum nu la , me nee me ye hɔle debiezukoalɛ wɔ asafo mɔɔ bɛfa yɛ sua zo aneɛ bɛdi gyima la anu .","Samuel adds : "" To keep ourselves spiritually strong , my wife and I also attended meetings in our language .",,Samuel said: “We are not just spirits; I am here to help the community learn and grow together.”,0.47882783
Sime nee Haidee,Sime and Haidee,,My name is Haidee,0.5409001
"Sonla ɛhye mɔɔ ɛnee le Falasiinli la hanle bɔbɔ kɛ saa ɔfa mɔɔ ɛnee ɔsuzu kɛ nwolɛ hyia la ɔto ndelebɛbo fofolɛ ne mɔɔ yɛnyia ye wɔ Nyamenle bodane ne mɔ anwo nee nwolɛ adenle mɔɔ yɛnyia ye wɔ Keleseɛne ɛzonlenlɛ gyima ne anu la anwo a , ɔle kɛ "" fovolɛ zo ewula la . ""","This former Pharisee went so far as to say that compared with his new , enlightened understanding of God 's purposes and the privilege of the Christian ministry , what he once thought was important he now considered to be "" a lot of refuse . """,,"The children are playing together in the courtyard, and the elders are watching them with smiles, while the women are preparing food and the men are discussing matters of the village; later, they all gather around the fire to share stories and sing songs, saying, ""Let us celebrate together.""",0.07930323
Sunsum nwuanzanwuanza ne kola maa yɛ tumi maa yɛgyinla amaneɛnwunlɛ biala anloa .,Holy spirit can empower us to endure any kind of adversity .,,The spirit gives us power to endure the hardships of life.,0.7873486
Suzu mɔɔ zile wɔ nɔe ne mɔɔ aleɛ kye a bɛbahu Gyisɛse la anwo .,Consider what happened the night before Jesus was to be executed .,,Translation not available,-0.017906435
Toa mɔɔ ɛlɛyɛ la azo . ',Keep doing what you are doing . ',,The sun is shining today.,0.099791214
"Tɛ ye zɔ a , ɔkpa kpuyia ne ko na ɔtoa zo ɔ nee suamenle ne suzu nwo .","Otherwise , he selects a question and continues the discussion without putting the householder on the spot .",,"When you have a child, you must nurture and guide them, for they will become the future of the community.",0.12785383
Tɛnlabelɛ boni mɔ anu a ɔwɔ kɛ yɛsi abotane a ?,"With that in mind , what are some circumstances that call for patience ?",,Do you have any idea what this is?,-0.09228544
Wulomuma 8 : 6 ka ye wienyi kɛ : ' Adwenle mɔɔ gyi sunsum ne azo la wie ngoane nee anzodwolɛ . ',"Romans 8 : 6 answers clearly : "" Setting the mind on the spirit means life and peace . """,,"Listen, O people, and understand: “The spirit of the Lord is with us and will guide us forever.”",0.6417078
"Wɔ 1919 , bɛkpale Baebolo sukoavoma ekpunli ekyi bie kɛ ' akɛlɛ nɔhavo nee nrɛlɛbɛvolɛ . '","In 1919 , a small group of Bible students was appointed as "" the faithful and discreet slave . """,,"In 1919, the Baebolo school was founded and began its activities.",0.22105283
"Wɔ 1979 , me nee Lene wole Daniel , yɛ ra mɔɔ tɔ zo nnu .","In 1979 , Lene and I welcomed the arrival of our fifth child , Daniel .",,"In 1979, I met Lene and Daniel, and we went to the market together.",0.5264307
