text,ref,Unnamed: 2,translated,similarity_score
"Saa ɛsuzu ninyɛne mɔɔ bɛhile ye wɔ ɛlɛka ne anu la anwo a , ɔbamaa wɔahɔ zo wɔava wuluwuluyɛlɛ wɔaha edwɛkɛ ne .",Examining the points listed in the box can motivate you to continue preaching with zeal .,,"When the child grows up and becomes strong, he will take over the farm and the house, and the old man will rest",0.13835216
"Saa ɛyɛ mɔɔ ɛbahola biala la wɔ Gyihova ɛzonlenlɛ nu kɛmɔ kunlavolɛ raalɛ ehyianli ne yɛle la a , ɛnee ɔwɔ kɛ ɛnyia anwodozo kɛ ɛwɔ "" diedi ne "" anu .","When , like the needy widow , you are doing all you can in Jehovah 's service , you have solid reason for believing that you are "" in the faith . """,,It is good to wait for Jehovah's salvation and to wait for him in our days and to be silent,0.43848327
"Saa ɛyɛ zɔ a , ɔbamaa wɔava ɛtane wɔahyɛ .","Experience the peace of mind , unity , and divine blessings that come to those who have a forgiving disposition . - Rom .",,"This is a Nzima language text, and its translation to English is: ""That is why the woman is calling her husband.""",0.1853984
"Samuel toa zo kɛ : "" Amaa yɛ nwo ayɛ se wɔ sunsum nu la , me nee me ye hɔle debiezukoalɛ wɔ asafo mɔɔ bɛfa yɛ sua zo aneɛ bɛdi gyima la anu .","Samuel adds : "" To keep ourselves spiritually strong , my wife and I also attended meetings in our language .",,"Samuel said: ""But if we are going to die, I and my people will die like brave warriors in battle, and not sit down to be killed like chickens.""",0.31329545
Sime nee Haidee,Sime and Haidee,,We are Haidee,0.5724982
"Sonla ɛhye mɔɔ ɛnee le Falasiinli la hanle bɔbɔ kɛ saa ɔfa mɔɔ ɛnee ɔsuzu kɛ nwolɛ hyia la ɔto ndelebɛbo fofolɛ ne mɔɔ yɛnyia ye wɔ Nyamenle bodane ne mɔ anwo nee nwolɛ adenle mɔɔ yɛnyia ye wɔ Keleseɛne ɛzonlenlɛ gyima ne anu la anwo a , ɔle kɛ "" fovolɛ zo ewula la . ""","This former Pharisee went so far as to say that compared with his new , enlightened understanding of God 's purposes and the privilege of the Christian ministry , what he once thought was important he now considered to be "" a lot of refuse . """,,"The sun rises over the mountains and shines brightly in the sky and lights up the world and gives life to all living things and brings warmth to the people of the earth and gives light to the darkness and brings joy to the hearts of men and women, and it is said that ""it is a beautiful thing.""",0.17020795
Sunsum nwuanzanwuanza ne kola maa yɛ tumi maa yɛgyinla amaneɛnwunlɛ biala anloa .,Holy spirit can empower us to endure any kind of adversity .,,"Our elders say that when the kola nut is cracked, it shows the beauty of the inside",0.16308215
Suzu mɔɔ zile wɔ nɔe ne mɔɔ aleɛ kye a bɛbahu Gyisɛse la anwo .,Consider what happened the night before Jesus was to be executed .,,The rain fell and destroyed all the farms and the farmers are crying to God for help.,0.22272567
Toa mɔɔ ɛlɛyɛ la azo . ',Keep doing what you are doing . ',,The dog is very beautiful today.,0.089018606
"Tɛ ye zɔ a , ɔkpa kpuyia ne ko na ɔtoa zo ɔ nee suamenle ne suzu nwo .","Otherwise , he selects a question and continues the discussion without putting the householder on the spot .",,"When you are going, take your bag and let your things be in your hands and your heart be at peace.",0.112033136
Tɛnlabelɛ boni mɔ anu a ɔwɔ kɛ yɛsi abotane a ?,"With that in mind , what are some circumstances that call for patience ?",,What type of animal is that which we see in the bush?,-0.087645486
