Model,Similarity Score (%),Raw Score
kimi-k2-instruct-0905,42.28%,42.27675309166524
qwen3-235b-a22b,39.74%,39.74139243713114
gemini-2.5-flash,37.88%,37.87592061360677
claude-sonnet-4-5,37.48%,37.47740936279297
qwq-32b,37.24%,37.24346490618412
mistral-medium-3-instruct,36.43%,36.430786157026525
gemma2-9b-it,35.57%,35.566771084
deepseek-v3.1,35.21%,35.21400434429033
llama-4-maverick-17b-128e-instruct,35.12%,35.11745807021829
gpt-4.1,33.22%,33.21624024709065
seed-oss-36b-instruct,32.75%,32.753948580350944
llama-3.3-70b-instruct,32.42%,32.4191029315625
qwen3-32b,31.66%,31.6571619
mistral-7b-instruct-v0.3,31.02%,31.022050299999997
llama-3.1-405b-instruct,30.93%,30.932858031190257
gemma-2-27b-it,30.89%,30.894174309700944
gemma-2-9b-it,28.69%,28.685958304099877
palmyra-med-70b,24.76%,24.76429086
gpt-oss-120b,19.96%,19.95859120789668
