Model,BLEU,chrF,Average,BLEU_raw,chrF_raw,Average_raw
claude-sonnet-4-5,4.85,24.48,14.67,4.854466244839343,24.480431242135523,14.66744874348743
gemini-2.5-flash,4.24,23.24,13.74,4.235313554407097,23.237044791144818,13.736179172775955
gpt-4.1,4.23,23.02,13.63,4.225475876888577,23.024642039312845,13.62505895810071
mistral-7b-instruct-v0.3,2.39,20.45,11.42,2.391217994521436,20.447296700949387,11.419257347735412
palmyra-med-70b,3.63,19.01,11.32,3.6285481225031107,19.011455084599284,11.320001603551196
qwen3-32b,2.63,20.00,11.32,2.6289544954739124,20.00305953119529,11.316007013334604
gemma2-9b-it,2.62,20.01,11.32,2.61639803049483,20.01380771325838,11.315102871876604
deepseek-v3.1,2.68,19.28,10.98,2.6804608394976093,19.278608240252517,10.979534539875061
kimi-k2-instruct-0905,2.38,19.05,10.71,2.382379997449084,19.047221537213648,10.714800767331367
llama-3.1-405b-instruct,1.73,18.85,10.29,1.7311480767322587,18.850982417080914,10.291065246906586
llama-3.3-70b-instruct,2.09,18.23,10.16,2.0911065265530304,18.234903116899165,10.163004821726098
llama-4-maverick-17b-128e-instruct,1.98,18.22,10.10,1.9793422928569986,18.220435366090683,10.09988882947384
seed-oss-36b-instruct,1.83,17.87,9.85,1.8305832940150832,17.87158394734498,9.851083620680033
qwen3-235b-a22b,1.95,16.98,9.47,1.9476190011877608,16.98486662519526,9.46624281319151
gpt-oss-120b,2.01,16.58,9.30,2.0125263964597444,16.582517789567834,9.29752209301379
mistral-medium-3-instruct,1.70,16.73,9.21,1.701648187218195,16.727862108750323,9.21475514798426
gemma-2-27b-it,1.85,15.37,8.61,1.845275290826671,15.371979122268096,8.608627206547382
qwq-32b,1.71,15.48,8.59,1.7070076751682857,15.482631493463971,8.594819584316129
gemma-2-9b-it,1.49,15.18,8.34,1.4923351514718028,15.179139856945268,8.335737504208534
