Model,BLEU,chrF,Average,BLEU_raw,chrF_raw,Average_raw
gemini-2.5-flash,19.41,28.30,23.86,19.411236698717225,28.301685841788235,23.85646127025273
qwen3-32b,16.08,21.21,18.65,16.08198681929369,21.2103512363175,18.646169027805595
kimi-k2-instruct-0905,12.05,24.60,18.32,12.047113836499031,24.601830296462833,18.324472066480933
claude-sonnet-4-5,7.87,28.43,18.15,7.867967656274216,28.433327410186177,18.150647533230195
llama-4-maverick-17b-128e-instruct,10.25,24.52,17.38,10.248211208197947,24.520899800990424,17.384555504594186
llama-3.1-405b-instruct,8.49,24.81,16.65,8.48843700454315,24.80699091515211,16.64771395984763
gpt-4.1,9.31,23.85,16.58,9.313775329024091,23.850812519739012,16.582293924381553
gemma2-9b-it,6.24,24.01,15.12,6.237319008221976,24.011406689871478,15.124362849046728
llama-3.3-70b-instruct,6.65,23.41,15.03,6.64985359260107,23.414854376535224,15.032353984568147
qwen3-235b-a22b,5.82,23.64,14.73,5.823008428865949,23.635345796522525,14.729177112694238
gpt-oss-120b,10.11,19.09,14.60,10.112817421599875,19.090216442178853,14.601516931889364
deepseek-v3.1,4.76,24.13,14.45,4.76285179490201,24.133371007231098,14.448111401066555
seed-oss-36b-instruct,2.80,24.12,13.46,2.798350480636942,24.118086730663045,13.458218605649993
qwq-32b,3.79,22.64,13.22,3.7892392721389228,22.64179010539443,13.215514688766676
palmyra-med-70b,3.73,22.64,13.19,3.734838697170881,22.63624855452285,13.185543625846865
mistral-medium-3-instruct,4.03,22.21,13.12,4.0341101701202575,22.20711618249783,13.120613176309044
gemma-2-27b-it,3.34,21.66,12.50,3.344035978652222,21.66062753894872,12.502331758800471
gemma-2-9b-it,4.75,18.23,11.49,4.747573105125849,18.234248786545567,11.490910945835708
mistral-7b-instruct-v0.3,2.07,20.36,11.21,2.0695671411434566,20.359529883581377,11.214548512362416
