Translation Benchmark Results for bwu-eng
Generated on: 2026-01-19 11:10:30

Model Performance:
gemini-2.5-flash: 48.75%
claude-sonnet-4-5: 45.36%
llama-4-maverick-17b-128e-instruct: 38.64%
kimi-k2-instruct-0905: 37.68%
gpt-4.1: 37.50%
deepseek-v3.1: 37.29%
qwq-32b: 36.11%
palmyra-med-70b: 35.34%
qwen3-235b-a22b: 35.25%
seed-oss-36b-instruct: 34.61%
mistral-7b-instruct-v0.3: 34.40%
qwen3-32b: 32.91%
gemma-2-9b-it: 32.74%
llama-3.3-70b-instruct: 32.34%
mistral-medium-3-instruct: 31.25%
gemma-2-27b-it: 31.21%
gpt-oss-120b: 28.43%
llama-3.1-405b-instruct: 27.15%
gemma2-9b-it: 26.28%

Best Model: gemini-2.5-flash (48.75%)
Average Score: 34.91%
