Model,BLEU,chrF,Average,BLEU_raw,chrF_raw,Average_raw
gpt-4.1,48.55,23.48,36.02,48.55146706424486,23.483966900208248,36.01771698222655
gemini-2.5-flash,35.93,29.41,32.67,35.930245296132746,29.407448009695557,32.668846652914155
claude-sonnet-4-5,33.37,26.12,29.75,33.37313439924682,26.122443232922688,29.747788816084757
deepseek-v3.1,14.67,23.35,19.01,14.666403289493571,23.353268349334858,19.009835819414214
llama-3.1-405b-instruct,15.11,21.06,18.08,15.107224131656512,21.056594953476832,18.08190954256667
kimi-k2-instruct-0905,10.33,23.36,16.84,10.327133617440396,23.358739794312218,16.842936705876305
llama-3.3-70b-instruct,11.39,20.61,16.00,11.390778025531027,20.60725780657329,15.999017916052159
llama-4-maverick-17b-128e-instruct,7.97,23.56,15.76,7.972012998953358,23.55593590854078,15.763974453747068
gemma2-9b-it,9.92,19.39,14.65,9.915499897247548,19.393263446043886,14.654381671645716
qwen3-32b,7.05,21.47,14.26,7.050012289384432,21.47228785769653,14.261150073540481
mistral-7b-instruct-v0.3,5.83,21.14,13.48,5.825370608258271,21.14249616927284,13.483933388765555
gpt-oss-120b,7.41,19.11,13.26,7.40996657130874,19.11243802372933,13.261202297519034
qwen3-235b-a22b,5.14,21.30,13.22,5.137471968406921,21.296955133294503,13.217213550850712
palmyra-med-70b,5.73,20.50,13.11,5.7259987315337755,20.502347956798907,13.11417334416634
mistral-medium-3-instruct,3.92,22.17,13.05,3.916152028516837,22.17410750314232,13.045129765829579
gemma-2-27b-it,4.92,20.53,12.73,4.922411556119534,20.53053312700973,12.726472341564632
seed-oss-36b-instruct,3.85,21.08,12.47,3.852271667309993,21.082101573030595,12.467186620170294
qwq-32b,4.90,19.72,12.31,4.897809490466367,19.715231511618633,12.306520501042499
gemma-2-9b-it,7.83,16.28,12.06,7.831920286654844,16.282138884864057,12.057029585759452
