Model,Similarity Score (%),Raw Score
gemini-2.5-flash,61.64%,61.639882405598954
kimi-k2-instruct-0905,60.97%,60.965043944633145
llama-4-maverick-17b-128e-instruct,58.42%,58.42396452667648
deepseek-v3.1,56.14%,56.13733916820289
llama-3.1-405b-instruct,55.10%,55.10061833294927
mistral-medium-3-instruct,53.88%,53.884981559623014
qwen3-235b-a22b,51.67%,51.6733791455797
llama-3.3-70b-instruct,51.23%,51.23408045724638
gemma-2-9b-it,50.10%,50.10353072290518
claude-sonnet-4-5,47.39%,47.39194997151693
gpt-4.1,44.85%,44.845591227213546
seed-oss-36b-instruct,44.43%,44.43481168814517
gemma-2-27b-it,43.04%,43.04333437823841
qwq-32b,39.70%,39.70054392242944
qwen3-32b,38.67%,38.67484256
gpt-oss-120b,38.35%,38.351870647362134
gemma2-9b-it,37.53%,37.53253148
palmyra-med-70b,32.05%,32.046224965
mistral-7b-instruct-v0.3,31.21%,31.206612659999998
