Model,BLEU,chrF,Average,BLEU_raw,chrF_raw,Average_raw
gpt-4.1,14.04,25.86,19.95,14.036652078033967,25.85583236688873,19.94624222246135
gemini-2.5-flash,10.45,27.59,19.02,10.447655558341625,27.589550603236088,19.018603080788857
claude-sonnet-4-5,8.82,28.20,18.51,8.818239281751483,28.20421517662219,18.511227229186836
kimi-k2-instruct-0905,7.13,22.12,14.62,7.128143622915,22.121342239455142,14.624742931185072
deepseek-v3.1,7.42,21.36,14.39,7.423447100714543,21.35531462553013,14.389380863122337
llama-4-maverick-17b-128e-instruct,4.12,24.06,14.09,4.121595972758672,24.05717912659967,14.089387549679172
gemma2-9b-it,6.19,21.77,13.98,6.187211469508654,21.770229833186107,13.97872065134738
seed-oss-36b-instruct,6.13,21.24,13.69,6.134227411504095,21.241020171510915,13.687623791507505
qwen3-235b-a22b,5.41,20.90,13.16,5.410416402992539,20.902922521145666,13.156669462069102
palmyra-med-70b,4.82,21.42,13.12,4.818705793464987,21.42251232244732,13.120609057956154
llama-3.3-70b-instruct,3.39,22.64,13.01,3.3904171493338366,22.635809464489604,13.01311330691172
qwen3-32b,5.11,20.76,12.94,5.113818794967396,20.758635682665673,12.936227238816535
llama-3.1-405b-instruct,6.30,18.11,12.20,6.301174143805815,18.105889773091512,12.203531958448664
gpt-oss-120b,7.14,17.24,12.19,7.144846455259341,17.241564845810785,12.193205650535063
gemma-2-27b-it,4.50,19.88,12.19,4.500731941285453,19.883577774347316,12.192154857816384
mistral-7b-instruct-v0.3,3.12,20.26,11.69,3.121786996909528,20.262229615653187,11.692008306281357
qwq-32b,4.23,18.85,11.54,4.2334599404591655,18.850415973626646,11.541937957042906
mistral-medium-3-instruct,2.92,18.32,10.62,2.922188263486253,18.31739537869492,10.619791821090585
gemma-2-9b-it,4.74,16.27,10.51,4.744188024111083,16.27049704029224,10.507342532201662
