Language,Average Score (%)
Twi,62.3189794313426
Fante,53.919249048566
Dagbani,47.70984143374662
Ga,47.1784807243853
Abron,46.998092986956536
Kusaal,45.91701878199735
Ewe,44.94318319033081
Tumulung Sisaala,40.9119382262257
Lelemi,40.66293890380786
Tampulma,40.082697186615974
Anufo,39.51203008440274
Chumburung,38.007031413585594
Esahie,37.88385513684337
Hanga,37.29080270132354
Siwu,36.94944619263606
Farefare,36.21153506161778
Delo,35.570578984306
Avatime,35.385180769573566
Buli,34.90779732238733
Konkomba,34.63287843684172
Gonja,34.19379115983111
Ntcham,33.59773362267421
Gikyode,33.428404569754505
Nyagbo,33.39180166983186
Selee,33.32885982835828
Dangme,33.22241985448541
Sekpele,33.02443828577517
Tuwuli,32.66458093222491
Tafi,32.194543457574596
Bisa,31.690419275629026
Paasaal,30.88082999448902
Nawuri,30.806763692793155
Southern Birifor,30.501609513429518
Vagla,29.970589578726575
Mampruli,29.57275641332306
Konni,29.51388055386846
Kasem,28.78381259388228
Southern Dagaare,28.164693718957334
Anyin,27.62103327735698
Deg,26.31903171832273
Bimoba,25.620688831875487
Nzema,25.485817813210254
Nkonya,17.961371032342896
