Model,Similarity Score (%),Raw Score
gemini-2.5-flash,53.81%,53.80997721354167
claude-sonnet-4-5,51.44%,51.44299189249675
llama-4-maverick-17b-128e-instruct,49.08%,49.075561871305965
deepseek-v3.1,48.44%,48.44430895745483
kimi-k2-instruct-0905,47.93%,47.92552461765408
gpt-4.1,44.13%,44.13435504833858
gemma-2-27b-it,43.27%,43.270865546309324
llama-3.3-70b-instruct,42.84%,42.84395300050994
gemma2-9b-it,40.55%,40.548332024
qwen3-235b-a22b,40.15%,40.15115258696488
qwq-32b,37.42%,37.42336669143178
palmyra-med-70b,37.32%,37.3174244
seed-oss-36b-instruct,36.39%,36.38814171561539
mistral-medium-3-instruct,35.00%,35.00030411353327
qwen3-32b,34.73%,34.729629082399995
mistral-7b-instruct-v0.3,34.63%,34.62870453000001
gpt-oss-120b,34.56%,34.55890609108924
gemma-2-9b-it,33.69%,33.69116317473354
llama-3.1-405b-instruct,31.94%,31.94216374090909
