Translation Benchmark Results for maw-eng
Generated on: 2026-01-19 12:02:44

Model Performance:
deepseek-v3.1: 59.18%
gemini-2.5-flash: 58.49%
kimi-k2-instruct-0905: 54.44%
claude-sonnet-4-5: 41.44%
palmyra-med-70b: 38.23%
gpt-4.1: 35.22%
llama-3.1-405b-instruct: 35.10%
llama-4-maverick-17b-128e-instruct: 32.06%
qwen3-32b: 30.07%
gemma2-9b-it: 26.55%
llama-3.3-70b-instruct: 22.03%
qwen3-235b-a22b: 21.28%
gemma-2-27b-it: 18.51%
seed-oss-36b-instruct: 17.41%
mistral-medium-3-instruct: 16.26%
qwq-32b: 15.47%
gemma-2-9b-it: 15.42%
mistral-7b-instruct-v0.3: 13.03%
gpt-oss-120b: 11.69%

Best Model: deepseek-v3.1 (59.18%)
Average Score: 29.57%
