Model,BLEU,chrF,Average,BLEU_raw,chrF_raw,Average_raw
gemini-2.5-flash,23.18,28.01,25.59,23.17511932071925,28.00841122144487,25.59176527108206
llama-4-maverick-17b-128e-instruct,17.08,26.79,21.93,17.07889374809039,26.78904927571226,21.933971511901326
kimi-k2-instruct-0905,13.49,27.05,20.27,13.494045360169336,27.049977260055144,20.27201131011224
claude-sonnet-4-5,11.39,26.56,18.98,11.390778025531022,26.564597337249495,18.977687681390258
palmyra-med-70b,14.94,22.13,18.54,14.942825782038728,22.133872095944195,18.53834893899146
deepseek-v3.1,7.80,27.73,17.77,7.802873871541012,27.731888956210796,17.767381413875903
gpt-4.1,11.45,23.79,17.62,11.44707843033496,23.78850333527148,17.61779088280322
qwen3-235b-a22b,5.09,25.16,15.13,5.09035939130606,25.161939430509147,15.126149410907603
llama-3.1-405b-instruct,5.03,24.97,15.00,5.033937723948129,24.972582906482263,15.003260315215195
seed-oss-36b-instruct,7.10,21.88,14.49,7.103702656973528,21.87928954598837,14.49149610148095
gemma2-9b-it,8.03,19.00,13.52,8.034095158584922,19.002782585364102,13.518438871974512
llama-3.3-70b-instruct,7.00,19.87,13.43,6.9953569096145465,19.868326429636294,13.43184166962542
gpt-oss-120b,5.02,20.97,13.00,5.024385356323939,20.970874535624844,12.997629945974392
mistral-medium-3-instruct,4.82,20.09,12.45,4.8166393300477806,20.09111102925539,12.453875179651586
gemma-2-27b-it,4.62,19.72,12.17,4.620856909230222,19.716181609813994,12.168519259522107
mistral-7b-instruct-v0.3,3.94,20.25,12.09,3.9386441723466263,20.25065827595838,12.094651224152503
qwq-32b,3.62,19.68,11.65,3.6164117246195175,19.675846576394502,11.64612915050701
qwen3-32b,4.85,18.15,11.50,4.848189163173709,18.151765800461927,11.499977481817819
gemma-2-9b-it,3.65,17.66,10.66,3.6540485487441523,17.65804180153179,10.656045175137972
