Translation Benchmark Results for akp-eng
Generated on: 2026-01-19 11:10:30

Model Performance:
kimi-k2-instruct-0905: 46.69%
deepseek-v3.1: 43.38%
mistral-medium-3-instruct: 41.23%
qwen3-32b: 40.50%
gemini-2.5-flash: 39.78%
claude-sonnet-4-5: 39.69%
qwen3-235b-a22b: 39.57%
llama-3.3-70b-instruct: 39.17%
llama-4-maverick-17b-128e-instruct: 38.80%
gemma-2-27b-it: 36.60%
llama-3.1-405b-instruct: 35.74%
gpt-4.1: 35.51%
gpt-oss-120b: 35.02%
seed-oss-36b-instruct: 34.15%
gemma-2-9b-it: 33.78%
qwq-32b: 31.86%
mistral-7b-instruct-v0.3: 31.82%
palmyra-med-70b: 29.92%
gemma2-9b-it: 28.81%

Best Model: kimi-k2-instruct-0905 (46.69%)
Average Score: 36.95%
