Translation Benchmark Results for lip-eng
Generated on: 2026-01-16 11:13:53

Model Performance:
gemini: 43.00%
qwen3-32b: 38.36%
palmyra-med-70b: 37.16%
llama-4-maverick-17b-128e-instruct: 36.89%
claude: 36.35%
kimi-k2-instruct-0905: 36.28%
llama-3.1-405b-instruct: 34.98%
mistral-medium-3-instruct: 33.95%
chatgpt: 33.93%
qwen3-235b-a22b: 33.20%
gemma2-9b-it: 31.39%
llama-3.3-70b-instruct: 30.18%
seed-oss-36b-instruct: 28.70%
deepseek-v3.1: 28.62%
gemma-2-27b-it: 27.83%
qwq-32b: 27.76%
mistral-7b-instruct-v0.3: 27.51%
gemma-2-9b-it: 26.12%
gpt-oss-120b: 23.03%

Best Model: gemini (43.00%)
Average Score: 32.38%
