Model,BLEU,chrF,Average,BLEU_raw,chrF_raw,Average_raw
kimi-k2-instruct-0905,72.06,29.77,50.92,72.05815373945792,29.77258854952931,50.91537114449362
deepseek-v3.1,70.01,27.50,48.75,70.00700175052519,27.496228488857785,48.751615119691486
gemini-2.5-flash,39.82,30.91,35.37,39.81877794489762,30.91499077072468,35.366884357811145
gpt-4.1,42.13,24.63,33.38,42.13287322556836,24.630726349057145,33.38179978731275
claude-sonnet-4-5,35.59,25.61,30.60,35.59364187634128,25.613557116585287,30.603599496463282
llama-3.1-405b-instruct,31.77,24.11,27.94,31.768172511165375,24.106723321835617,27.937447916500496
llama-4-maverick-17b-128e-instruct,15.73,24.82,20.28,15.733304984782075,24.81980884513314,20.276556914957606
qwen3-235b-a22b,9.11,23.91,16.51,9.107438368292145,23.913453092102486,16.510445730197315
mistral-medium-3-instruct,6.77,22.91,14.84,6.771348622460586,22.91397239971088,14.842660511085732
gemma-2-27b-it,8.30,20.51,14.40,8.295979222819085,20.510710455566038,14.403344839192561
llama-3.3-70b-instruct,5.76,22.36,14.06,5.761382487689774,22.361356016668385,14.06136925217908
qwen3-32b,5.73,21.13,13.43,5.72775097716449,21.133162346356794,13.430456661760642
palmyra-med-70b,4.09,22.01,13.05,4.087670487427096,22.00841897734673,13.048044732386913
gemma-2-9b-it,6.26,19.52,12.89,6.259768097362956,19.51639910481526,12.888083601089107
seed-oss-36b-instruct,2.81,21.22,12.01,2.8094617486126285,21.216193777336922,12.012827762974776
qwq-32b,0.00,23.23,11.61,0.0,23.229776217992452,11.614888108996226
gemma2-9b-it,4.08,18.89,11.49,4.0780981832636725,18.89310229113234,11.485600237198007
mistral-7b-instruct-v0.3,4.67,15.81,10.24,4.674499231292217,15.812773128130072,10.243636179711144
gpt-oss-120b,0.00,19.12,9.56,0.0,19.1183522310506,9.5591761155253
