ref,text,translated,source_zip_file,bleu_score,chrf_score,avg_score
"and named it “Sky.” Evening came, then morning—that was the second day. The Third Day","Eye Mawu yɔ alilia be dziƒo. Ale zã do, eye ŋu ke, eya nye ŋkeke evelia.","And God called the expanse Heaven. And there was evening, and there was morning, the second day.",output_proprietary_batch1,13.520459769143477,36.530319191151435,25.025389480147457
So God created humans to be like himself; he made men and women.,"Eye Mawu wɔ ame ɖe ye ŋutɔ ƒe nɔnɔme, Mawu ƒe nɔnɔme nue wòwɔe ɖo; ŋutsu kple nyɔnu wòwɔ.","And God created man in His own image, in the image of God He created him; male and female He created them.",output_proprietary_batch1,3.787865612579481,29.6784695273367,16.73316756995809
"And I have given the green plants as food for everything else that breathes, including animals, both wild and tame, and birds. And so it was.","ke gbewo kple amagbewo katã nanye nuɖuɖu na anyigba dzi lãwo katã kple dziƒoxe dzodzoewo katã kple nusiwo katã tana, siwo me agbe le, le anyigba dzi. Eye wòva me nenema.","But all green plants and all vegetation shall be food for all the animals on the earth, and all the birds of the air, and all creatures that move along the ground and have the breath of life in",output_proprietary_batch1,3.7633156116070006,36.35622681326377,20.059771212435383
"By the seventh day God had finished his work, and so he rested.","Eye Mawu wu eƒe ɖo, si wòwɔ la nu le ŋkeke adreagbe, eye wòdzudzɔ le ŋkeke adreagbe tso eƒe do, siwo katã wòwɔ la me.","And God finished his work, which he had done, on the seventh day, and he rested on the seventh day from all his work which he had done.",output_proprietary_batch1,13.336225508365068,57.48103159226496,35.408628550315015
"That's how God created the heavens and the earth. The Garden of Eden When the Lord God made the heavens and the earth,","Esia nye dziƒo kple anyigba ƒe dzɔdzɔmenyawo le wo wɔwɔ me le ɣeyiɣi, si me Yehowa Mawu wo anyigba kple dziƒo.","This is the account of the origins of the heavens and the earth in their making, at the time when Jehovah God made the earth and the heavens.",output_proprietary_batch1,20.45751403232799,50.528699052043834,35.49310654218591
"But the Lord told him, “You may eat fruit from any tree in the garden,",Eye Yehowa Mawu de se na ame gblɔ bena: Ɖu abɔmetiawo katã ƒe tsetse faa;,"And Jehovah God commanded man, saying: You may freely eat of the fruit of all the trees in the garden;",output_proprietary_batch1,7.832899330004498,37.83320173287065,22.83305053143757
"The Lord God said, “It isn't good for the man to live alone. I will make a suitable partner for him.”","Eye Yehowa Mawu gblɔ bena: Menyo bena ame la natsi akogo o; mawɔ kpeɖeŋutɔ, si asɔ ɖe eŋu la nɛ.",And Jehovah God said: It is not good for the man to be alone; I will make a helper suitable for him.,output_proprietary_batch1,31.208484537307275,55.52080553092843,43.36464503411785
The man Adam named his wife Eve because she would become the mother of all who live.,"Eye ame la tsɔ ŋkɔ na srɔ̃a bena Xawa, elabena eya ava nye ame gbagbewo katã dada.","And the man named his wife Eve, because she would be the mother of all living.",output_proprietary_batch1,34.49651062777743,66.88650184550892,50.69150623664318
but not with Cain and his offering. This made Cain so angry that he could not hide his feelings.,"ke Kain kple eƒe nunana ya medze eŋu o. Eye Kain bi dzi ŋutɔ, eye wòɖo adã.","But Cain and his offering he did not accept. And Cain became very angry, and his face fell.",output_proprietary_batch1,14.64087843918566,36.84498001199952,25.74292922559259
The Lord said to Cain: What's wrong with you? Why do you look so angry?,"Tete Yehowa gblɔ na Kain bena: Nukaŋuti nèle dzi bim, eye nukaŋuti nèle adã ɖom?","Then Jehovah said to Cain: Why are you angry, and why is your face downcast?",output_proprietary_batch1,15.989214998944036,34.83666101689595,25.412938007919994
