ref,text,translated,source_zip_file,chrf_sentence,corpus_bleu,corpus_chrf
"So the Lord's promise came true, just as the prophet had said,","Nwagbe ɔɖuɖu ɔba sɔ si nnɛ i Ɣaa ɔɣɛ ɔkigu i ɔ̃ kanyaɖidze ɔwɛ̃ iso aaba i ne ame sɔ,","When food comes to the house today, God's work that he has done for us is not for one person,",output_proprietary_batch1,21.4768585702596,13.763495471936647,5.015673981191222
"After King Herod died, an angel from the Lord appeared in a dream to Joseph while he was still in Egypt.","Gɔ Herodes ɔkpi ne, Ɣaa kpabo ɔwɛ̃ ɔɖi so ɔte Yosef i kurɛ ame i Egipte.","When Herod died, God's angel appeared in a dream to Joseph in Egypt.",output_proprietary_batch1,50.27725130007755,13.763495471936647,5.015673981191222
Joseph got up and left with them for Israel.,Ne ɔso Yosef ɔta ɔkɔ ɔbi gu ɔnyi marui makɛlɛ Israel karɔ̃ iso.,And so Joseph took his two sons to his father Israel.,output_proprietary_batch1,34.81412482654665,13.763495471936647,5.015673981191222
Do something to show you have really given up your sins.,Mite i mi nsɛgbai ame sɔ miɔfiniki mibɔrɛ i mi akpi ame.,We should not be jealous of people so that we can live with them in peace.,output_proprietary_batch1,17.27741320709351,13.763495471936647,5.015673981191222
John wore clothes made of camel's hair. He had a leather strap around his waist and ate grasshoppers and wild honey.,"Awu wa i Yohanes ɔpia ne, kapuipɔngɔ siwɛrɛ̃ masu mawe ala, fiɛ ɔsu bɔi ɔko kafiami ɔtɔ so ɔsɔ. Maɣendu gu kugbadzedzei loɖe ɔ̃ aɖera.","When John's disciples came, they took the body and buried it in a tomb. Then they went and told Jesus.",output_proprietary_batch1,17.939795627992147,13.763495471936647,5.015673981191222
"But instead of staying in Nazareth, Jesus moved to Capernaum. This town was beside Lake Galilee in the territory of Zebulun and Naphtali.","Ɔ̃iwe i Nasaret, ɣɛɛ ɔkɛlɛ Kapernaum, ɔmagɛ̃ gɔ nse i Galilea itubu kanya i Zebulon gu Naftali karɔ̃ iso.","He left Nazareth and went to live in Capernaum, a town by the sea in the region of Galilee in the territory of Zebulun and Naphtali.",output_proprietary_batch1,53.89733254214612,13.763495471936647,5.015673981191222
"Then the devil came to him and said, “If you are God's Son, tell these stones to turn into bread.”","Mmɔ i Tsirise ɔba ɔ̃ kɔrɛ ɔɣere wũ sɔ, “Si fɔ nɖe Ɣaa Ɔbi ne, ɣere ata wagbe sɔ akpese aɖera.”","""When Christ comes, he will say, 'If you love God, then you must love your neighbor.'""",output_proprietary_batch1,19.530969882315986,13.763495471936647,5.015673981191222
"You are the salt for everyone on earth. But if salt no longer tastes like salt, how can it make food salty? All it is good for is to be thrown out and walked on.","“Mi nse lɛ mma mitã maturi ɔɖuɖu, ɣɛɛ si mma ɔyu me ɔmɛrɛ̃ ne, maisibawo ɔri kuwɛ̃ iso ɔki ɔpia me ɔmɛrɛ̃. Misiina kusia kukuwɛ̃ iɖo sɔ maasu me mawiri maturi ɔsɛ me iso.","I know that when my children mature physically, but they are not yet mature in mind, sometimes bad things happen to them in their minds. So I want to train them to mature in their thinking as well.",output_proprietary_batch1,16.876186423582908,13.763495471936647,5.015673981191222
"You know our ancestors were told, “Don't use the Lord's name to make a promise unless you are going to keep it.”","“Ɔwiɔ ne minɔ masɛ maɣɛ ana sɔ, ‘Daatu ndamu, Ɣɛɛ bara i nnɛ aɣɛ sɔ aabara atã Ɣaa iso.’","He/She said to me, 'My daughter, God has shown you that he/she will do all God's will.'",output_proprietary_batch1,12.695127967174406,13.763495471936647,5.015673981191222
"You know you have been taught, “An eye for an eye and a tooth for a tooth.”","“Minɔ masɛ maɣɛ sɔ, ‘Si abiɛ fɔ ɔlaa inɔmi ne, maabiɛ fɔ ire, fiɛ si akpa fɔ ɔlaa inyɛ ne, maakpa fɔ ire fɔ wũ.’","And I say to them that, 'If you do to the least of these, you have done to me, and if you don't do to the least of these, you have not done to me also.'",output_proprietary_batch1,21.500513639797287,13.763495471936647,5.015673981191222
"If you love only those people who love you, will God reward you for this? Even tax collectors love their friends.","Si misɛ miɖɔɛ mma nsɛ maɖɔɛ mi ɔnɔwɛ̃ ne, be kuso miafɔ i Ɣaa kɔrɛ? Ma lampofɔdze ma wũ masɛ mabara ngbɔ.","If I had not done among them the works that no one else did, they would not be guilty. But now they have seen and yet they have hated both me and my Father.",output_proprietary_batch1,14.349350563231855,13.763495471936647,5.015673981191222
"When you pray, don't be like those show-offs who love to stand up and pray in the synagogues and on the street corners. They do this just to look good. I can assure you that they already have their reward.","“Fiɛ si mito mikparama kayi ne, midaase lɛ mma nsɛ mabara ara si mabo maturi anɔ. Masɛ mabie sɔ maata maya makparama kayi i kasɔrɛkɔ̃ gu kuɣa ame sɔ maturi si manya ma. Lobie sɔ lotã mi itsue sɔ ma kuso ame maɔfɔ mmɔ ne.","When we were young, we were taught that we should respect our elders. I was told that I should greet my elders in the morning before they greet me. It is good that you also do the same so that people will respect you.",output_proprietary_batch1,25.267770587314352,13.763495471936647,5.015673981191222
