ref,text,translated,source_zip_file,similarity_score,chrf_sentence,corpus_bleu,corpus_chrf
"After King Herod died, an angel from the Lord appeared in a dream to Joseph while he was still in Egypt.","Gɔ Herodes ɔkpi ne, Ɣaa kpabo ɔwɛ̃ ɔɖi so ɔte Yosef i kurɛ ame i Egipte.","When Herod the king heard this, he was afraid, and he went to Egypt with Joseph and the child Jesus.",Dec 08 output,,26.487606962813796,8.757447681401308,1.74140182847192
Why worry about clothes? Look how the wild flowers grow. They don't work hard to make their clothes.,“Be ɔso mito mimararã so i nnɛ miapia iso? Minyɔ ipo ame adziri kumɛgɔ asɛ amɔ. Aisɛ ata ɖɔti ɣee awe sikati.,Do you know where I went to? I went to the market to buy something. I bought a beautiful cloth.,Dec 08 output,,18.719858865484454,8.757447681401308,1.74140182847192
"You are a bunch of evil snakes, so how can you say anything good? Your words show what is in your hearts.",Mi ma lonyanyarĩ lɛ maɣɛ! Nda miabara fiɛ miawo ara sɛɛ ɔɣɛ gɔ miɖe maturi lalaa? Alasɔ nnɛ loyi ɔturi ɔtu ame i kanya sɛ kaɣɛ.,"My mother, I am very happy! I am very grateful for the food you have prepared for me. Alas, today is Thursday, the 24th of the month, and I have to go to work.",Dec 08 output,,15.936403108837366,8.757447681401308,1.74140182847192
"Someone may say, “Here is the Messiah!” or “There he is!” But don't believe it.","Ne ɔso si ɔrere ɔba ɔ̃aɣere mi sɔ, ‘Nyɔ, ɔɔnya Kristo i ngbe,’ ɣee ɔrere ɔɣere mi sɔ, ‘Ɔpia i mmɔ’ ne, midaafɔ miɖe.","Then the man said to him, ‘Lord, have mercy on me,’ and the man who was blind said, ‘I want to see,’ and he touched his eyes.",Dec 08 output,,16.785532496980476,8.757447681401308,1.74140182847192
"Peter began to curse and swear, “I don't know that man!” Right then a rooster crowed,","Ne Petro ɔɣɛ sɔ, “Lokã sɔ ɔnukuare nto loɣɛ! Ɣaa si ɔkpadzɛ̃ me kutsue si iiɖe gbaã iɖe sɔ loiɣe ɔrɛrɛ̃ gɔmɔ!” Ɔluwɛ̃ ne, kɔkɔ ɔɖi kanya.","Peter said, ""Let us go up to the roof! I will pray there for you, that the Lord may give you a sign of his grace!"" And he went up to the roof.",Dec 08 output,,20.67023921974117,8.757447681401308,1.74140182847192
"After King Herod died, an angel from the Lord appeared in a dream to Joseph while he was still in Egypt.","Gɔ Herodes ɔkpi ne, Ɣaa kpabo ɔwɛ̃ ɔɖi so ɔte Yosef i kurɛ ame i Egipte.","When Herod died, behold, an angel of the Lord appeared to Joseph in a dream, saying, ""Rise, take the young child and his mother, and flee to Egypt, and stay there until I tell you; for Herod will seek the young child to destroy him.""",onesimus_31223989_Dec 12 output,,45.88776768345046,8.757447681401308,1.74140182847192
Why worry about clothes? Look how the wild flowers grow. They don't work hard to make their clothes.,“Be ɔso mito mimararã so i nnɛ miapia iso? Minyɔ ipo ame adziri kumɛgɔ asɛ amɔ. Aisɛ ata ɖɔti ɣee awe sikati.,Have you ever heard such a thing? I have never heard anything like it. This is a very strange thing indeed.,onesimus_31223989_Dec 12 output,,14.176345422704447,8.757447681401308,1.74140182847192
"You are a bunch of evil snakes, so how can you say anything good? Your words show what is in your hearts.",Mi ma lonyanyarĩ lɛ maɣɛ! Nda miabara fiɛ miawo ara sɛɛ ɔɣɛ gɔ miɖe maturi lalaa? Alasɔ nnɛ loyi ɔturi ɔtu ame i kanya sɛ kaɣɛ.,"My mother, I am going to the market. I want to buy some things for the family.  Alas, today is Thursday, the 24th of the month, and I don't have enough money.",onesimus_31223989_Dec 12 output,,18.483869600811236,8.757447681401308,1.74140182847192
"Someone may say, “Here is the Messiah!” or “There he is!” But don't believe it.","Ne ɔso si ɔrere ɔba ɔ̃aɣere mi sɔ, ‘Nyɔ, ɔɔnya Kristo i ngbe,’ ɣee ɔrere ɔɣere mi sɔ, ‘Ɔpia i mmɔ’ ne, midaafɔ miɖe.","Then the one who had been healed said to him, ‘Lord, thank you for healing me.’ And he went his way.",onesimus_31223989_Dec 12 output,,16.51747428432031,8.757447681401308,1.74140182847192
"Peter began to curse and swear, “I don't know that man!” Right then a rooster crowed,","Ne Petro ɔɣɛ sɔ, “Lokã sɔ ɔnukuare nto loɣɛ! Ɣaa si ɔkpadzɛ̃ me kutsue si iiɖe gbaã iɖe sɔ loiɣe ɔrɛrɛ̃ gɔmɔ!” Ɔluwɛ̃ ne, kɔkɔ ɔɖi kanya.","Peter said, ""Let us go up to the roof! I will pray there."" He went up, and the disciples followed him.",onesimus_31223989_Dec 12 output,,19.73057304079836,8.757447681401308,1.74140182847192
