Translation Benchmark Results for fat-eng
Generated on: 2026-01-19 12:02:40

Model Performance:
gemini-2.5-flash: 70.91%
gpt-4.1: 69.76%
claude-sonnet-4-5: 69.66%
deepseek-v3.1: 68.52%
llama-4-maverick-17b-128e-instruct: 62.14%
kimi-k2-instruct-0905: 60.21%
gpt-oss-120b: 58.20%
mistral-medium-3-instruct: 55.64%
llama-3.3-70b-instruct: 53.79%
gemma-2-9b-it: 53.17%
gemma-2-27b-it: 52.24%
llama-3.1-405b-instruct: 52.06%
qwen3-235b-a22b: 49.51%
gemma2-9b-it: 48.94%
palmyra-med-70b: 46.87%
qwen3-32b: 43.27%
seed-oss-36b-instruct: 39.87%
qwq-32b: 36.72%
mistral-7b-instruct-v0.3: 32.97%

Best Model: gemini-2.5-flash (70.91%)
Average Score: 53.92%
