Model,Similarity Score (%),Raw Score
gemini-2.5-flash,70.91%,70.90885416666667
gpt-4.1,69.76%,69.76228841145833
claude-sonnet-4-5,69.66%,69.65726725260417
deepseek-v3.1,68.52%,68.52319146194853
llama-4-maverick-17b-128e-instruct,62.14%,62.14319042082089
kimi-k2-instruct-0905,60.21%,60.2111565765411
gpt-oss-120b,58.20%,58.203105013059705
mistral-medium-3-instruct,55.64%,55.6421445686508
llama-3.3-70b-instruct,53.79%,53.79114818586282
gemma-2-9b-it,53.17%,53.16753146513158
gemma-2-27b-it,52.24%,52.243205629559434
llama-3.1-405b-instruct,52.06%,52.063547407628676
qwen3-235b-a22b,49.51%,49.513397401132245
gemma2-9b-it,48.94%,48.93934916
palmyra-med-70b,46.87%,46.87445009999999
qwen3-32b,43.27%,43.265985635999996
seed-oss-36b-instruct,39.87%,39.866667901688444
qwq-32b,36.72%,36.717760864000496
mistral-7b-instruct-v0.3,32.97%,32.9714903
