Model,Similarity Score (%),Raw Score
gemini-2.5-flash,50.50%,50.500467936197914
claude-sonnet-4-5,48.78%,48.77804819742838
gemma2-9b-it,40.38%,40.3833032
gpt-4.1,38.20%,38.199918031692505
llama-3.3-70b-instruct,38.17%,38.16847746764493
kimi-k2-instruct-0905,38.00%,38.00206856095439
qwen3-235b-a22b,37.53%,37.53365584093311
deepseek-v3.1,36.92%,36.917467843382354
qwen3-32b,36.74%,36.738437733333335
mistral-7b-instruct-v0.3,32.92%,32.91845372
qwq-32b,32.57%,32.5739332822234
seed-oss-36b-instruct,31.42%,31.42215460805129
palmyra-med-70b,30.03%,30.0328711
gemma-2-27b-it,29.67%,29.6693368397208
mistral-medium-3-instruct,27.72%,27.723005466707747
gemma-2-9b-it,26.19%,26.190647746680778
llama-3.1-405b-instruct,26.00%,25.99831826419005
llama-4-maverick-17b-128e-instruct,25.32%,25.320698282569076
gpt-oss-120b,22.61%,22.6107679150809
