Model,BLEU,chrF,Average,BLEU_raw,chrF_raw,Average_raw
gemini-2.5-flash,29.29,30.29,29.79,29.287875728747775,30.291950263354945,29.78991299605136
claude-sonnet-4-5,17.80,25.08,21.44,17.798185213207663,25.082717373205256,21.440451293206458
gpt-4.1,9.73,24.08,16.90,9.727145467584462,24.081448621069114,16.90429704432679
gemma2-9b-it,12.80,19.81,16.31,12.798580850556064,19.81495669037803,16.306768770467045
llama-4-maverick-17b-128e-instruct,8.21,22.50,15.36,8.214528602945162,22.501316980851588,15.357922791898375
kimi-k2-instruct-0905,7.30,22.02,14.66,7.298194967325294,22.023847396099253,14.661021181712274
llama-3.1-405b-instruct,8.27,20.74,14.51,8.272578739609001,20.744833022128997,14.508705880868998
palmyra-med-70b,4.89,22.29,13.59,4.886496082151865,22.285987092723538,13.586241587437701
deepseek-v3.1,6.09,21.07,13.58,6.086877407549214,21.065343443685755,13.576110425617484
qwen3-32b,4.36,21.83,13.10,4.359970845202385,21.833675109172418,13.0968229771874
llama-3.3-70b-instruct,5.52,20.51,13.01,5.52167715431954,20.5072009764548,13.01443906538717
mistral-medium-3-instruct,3.71,21.53,12.62,3.7095737431423905,21.531783106370405,12.620678424756397
gpt-oss-120b,5.55,18.79,12.17,5.546385070864082,18.793310908835213,12.169847989849647
qwen3-235b-a22b,2.92,20.38,11.65,2.9235459524224097,20.38421564393703,11.653880798179719
gemma-2-27b-it,3.57,19.20,11.39,3.5689481241136556,19.202670544765486,11.385809334439571
seed-oss-36b-instruct,1.32,20.63,10.97,1.3165098360944842,20.629648868586052,10.973079352340267
qwq-32b,4.07,17.27,10.67,4.066870399856363,17.27356389636664,10.670217148111501
mistral-7b-instruct-v0.3,2.65,18.31,10.48,2.650569807248719,18.306612120518313,10.478590963883516
gemma-2-9b-it,2.71,14.99,8.85,2.705315504899177,14.985493534367189,8.845404519633183
