text,ref,Unnamed: 2,translated,source_zip_file,chrf_sentence,corpus_bleu,corpus_chrf
"Then, let’s try to eat foods that help the liver healthy, some like onion, ginger, lime and varieties of vegetables.","Afei, yɛmmɔ mmɔden sɛ yɛbɛdi nnuane a ɛboa brɛboɔ no apɔmuden, bi te sɛ gyeene, anwoo, akekaduro, akutoɔ ne atosodeɛ ahodoɔ.",,"Ɛnde, momma yɛnbɔ mmɔden di aduane a ɛboa ma yɛn bɔdee yɛ apɔ, bi te sɛ gyeene, akekaduro, ankaa awerɛ ne nhabamma ahodoɔ.",run1,45.208021339334834,28.977907494497103,6.052454606590451
"Some are about the behaviors we need to exhibit to achieve good health, others are about the foods we need to eat, the medications we need to be able to take and the amounts we need to take into our bodies.","Ebinom fa nneyɛeɛ a ɛsɛ sɛ yɛda no adi ma yɛn nsa ka apɔmuden pa ho, ebinom fa nnuane a ɛsɛ sɛ yɛdi, nnuro a ɛsɛ sɛ yɛtumi fa ne dodoɔ a ɛtwa sɛ yɛde kɔ yɛn nipadua mu ho.",,"Ebi fa nneyɛe a ɛsɛ sɛ yɛyi kyerɛ de nya apɔmuden pa ho, ebi nso fa aduane a ɛsɛ sɛ yɛdi, nnuro a ɛsɛ sɛ yɛtumi nom ne dodow a ɛsɛ sɛ yɛfa guu yɛn nipadua mu ho.",run1,63.39423596466492,28.977907494497103,6.052454606590451
Some have expressed respect for him for the steps he has taken to make his family a priority.,Ebinom akyerɛ obuo a wɔanya ama no ɛnam anammɔn a watu na wama n'abusua ayɛ ade titire ama no no nti.,,Ebinom ayi no anuonyam esiane anammɔn a ɔafiri de ne busuafoɔ asi ɛkan no.,run1,27.5035481897906,28.977907494497103,6.052454606590451
It can cure chickenpox.,Ɛtumi sa borɔmpete,,Ɛtumi sa nnuruwaa.,run1,33.27755577755578,28.977907494497103,6.052454606590451
Doctors say women tend to develop this problem more quickly than men because their ducts that carry urine from the bladder to the street are shorter than men's.,"Adɔkotafoɔ kyerɛ sɛ mmaa taa nya saa ɔhaw yi ntɛntɛm so sene mmarima ɛfiri sɛ, wɔn drobɛn a ɛgye dwonsɔ firi dwonsɔtwaa no hɔ de ba abɔntene no yɛ tia sene mmarima deɛ.",,Dɔkotafo ka sɛ mmaa no taa nya saa ɔhaw yi ntɛm sen mmarima efiri sɛ wɔn dwonsɔ a ɛfa dwonsɔ no firi atoano mu de kɔ abɔnten no sua sen mmarima dea.,run1,47.78894109656775,28.977907494497103,6.052454606590451
It is said that the extortion used by Nana Agradaa to extort money from the people has now reached his temple.,"Wɔkyerɛ mu a, apoobɔ a na Nana Agradaa de di dwuma gye ɔmamfoɔ sika firi wɔn ho no, wasane de aduru n'asɔrefie seesei nso.",,"Wɔka sɛ sika a Nana Agradaa de adwemmɔne yɛɛ ho kwan gyee firii nnipa no nsam no, ɛnnɛ aba ne abosomfie no mu.",run1,31.39910952711393,28.977907494497103,6.052454606590451
A study of lentils from 1996 - 2020 found that eating two large lentils a day can protect against cancer.,"Nhwehwɛmu bi a animdefoɔ binom yɛ faa mmire ho firi 1996 - 2020 daa no adi sɛ, sɛ onipa tumi di mmire akɛseɛ mmienu da koro a, ɛtumi bɔ ne ho ban firi kokoram yareɛ no ho.",,"Nhwehwɛmu bi a wɔyɛɛ wɔ lentils so firi 1996 - 2020 huu sɛ sɛ obi di lentils akɛseɛ mmienu da biara a, ɛbɔ no ho ban fi kansa ho.",run1,38.505175510660045,28.977907494497103,6.052454606590451
"In most cases, what happens is that the person ends up not caring about their appearance anymore.","Mpɛn pii no, deɛ ɛtaa si ne sɛ, saa nipa no mfa n'ahonidie ho koraa.",,"Mpɛn pii no, deɛ ɛba ne sɛ obi no twa ne ho gyinae sɛ ɔnhwɛ ne ho to so bio.",run1,34.00334278467789,28.977907494497103,6.052454606590451
"Apart from Vitamin E which helps cleanse the body, Vitamins B1, B3, B6 and B12 all help the body fight against asthma","Vaetamɛn E a ɛboa hohoro nipadua no mu no da nkyɛn a, Vaetamɛn  B1, B3, B6 ne B12 nyinaa boa ma nipadua no ko tia asikyire yareɛ.",,"Vitamin E a boa ma nipadua no yɛ ne ho tew no akyi no, Vitamins B1, B3, B6 ne B12 nyinaa boa nipadua no ko tia asthma yare",run1,55.79446954355978,28.977907494497103,6.052454606590451
"Then, he was released from prison and became a leader in charge of various government agencies.","Afei, wɔyii no firii afiase maa no bɛyɛɛ ɔkannifoɔ a na ɔda aban nnwuma ahodoɔ ano.",,"Afei, wɔgyaa no firii afiase na ɔbɛyɛɛ ɔkannifo a na ɔhwɛ aban nhyehyɛe ahorow so.",run1,50.43709579733504,28.977907494497103,6.052454606590451
