text,ref,Unnamed: 2,translated,source_zip_file,chrf_sentence,corpus_bleu,corpus_chrf
"Then, let’s try to eat foods that help the liver healthy, some like onion, ginger, lime and varieties of vegetables.","Afei, yɛmmɔ mmɔden sɛ yɛbɛdi nnuane a ɛboa brɛboɔ no apɔmuden, bi te sɛ gyeene, anwoo, akekaduro, akutoɔ ne atosodeɛ ahodoɔ.",,"Na saa ara, momma yɛn hwɛ sɛ yɛdi aduane a ɛboa yɛn afu na ɛtena pintinn, bɛyɛ sɛ gyeene, akekaduro, ankaa ketewa ne nkyekyem ahorow a ɛyɛ pii.",run1,34.97290033363859,12.42416606498705,5.714285714285714
"Some are about the behaviors we need to exhibit to achieve good health, others are about the foods we need to eat, the medications we need to be able to take and the amounts we need to take into our bodies.","Ebinom fa nneyɛeɛ a ɛsɛ sɛ yɛda no adi ma yɛn nsa ka apɔmuden pa ho, ebinom fa nnuane a ɛsɛ sɛ yɛdi, nnuro a ɛsɛ sɛ yɛtumi fa ne dodoɔ a ɛtwa sɛ yɛde kɔ yɛn nipadua mu ho.",,"Ebi fa nneyɛe a yehia sɛ yɛyɛ na yɛanya apɔmuden pa, ebi fa aduane a yehia sɛ yɛdi, nnuaba a yehia sɛ yɛtumi fa ne ɛhia sɛ yɛde fa yɛn ho.",run1,40.519203162484054,12.42416606498705,5.714285714285714
Some have expressed respect for him for the steps he has taken to make his family a priority.,Ebinom akyerɛ obuo a wɔanya ama no ɛnam anammɔn a watu na wama n'abusua ayɛ ade titire ama no no nti.,,Ebinom aka sɛ wɔde onipanim kyɛ no wɔ nkwankyerɛ a ɔafa no ho de ama ne fifo ayɛ ade titiriw wɔ ne nkwa mu.,run1,33.694485255641624,12.42416606498705,5.714285714285714
It can cure chickenpox.,Ɛtumi sa borɔmpete,,Ɛtumi sa chickenpox.,run1,34.375960753586895,12.42416606498705,5.714285714285714
Doctors say women tend to develop this problem more quickly than men because their ducts that carry urine from the bladder to the street are shorter than men's.,"Adɔkotafoɔ kyerɛ sɛ mmaa taa nya saa ɔhaw yi ntɛntɛm so sene mmarima ɛfiri sɛ, wɔn drobɛn a ɛgye dwonsɔ firi dwonsɔtwaa no hɔ de ba abɔntene no yɛ tia sene mmarima deɛ.",,"Adiyifo ka sɛ mmaa wɔ ho kwan sɛ wɔanya saa yare yi ntɛmntɛm sen mmarima, efisɛ wɔn nsɛm a ɛde twa firi bladder no mu kɔ ɔpɔn no mu no yɛ tia sen mmarima no dea.",run1,35.42202212516744,12.42416606498705,5.714285714285714
It is said that the extortion used by Nana Agradaa to extort money from the people has now reached his temple.,"Wɔkyerɛ mu a, apoobɔ a na Nana Agradaa de di dwuma gye ɔmamfoɔ sika firi wɔn ho no, wasane de aduru n'asɔrefie seesei nso.",,Wɔka se ɔhaw a Nana Agradaa de taa nnipa no de sika firi wɔn nkyɛn no afa n'asɔredan mu ankasa.,run1,35.964151309321814,12.42416606498705,5.714285714285714
A study of lentils from 1996 - 2020 found that eating two large lentils a day can protect against cancer.,"Nhwehwɛmu bi a animdefoɔ binom yɛ faa mmire ho firi 1996 - 2020 daa no adi sɛ, sɛ onipa tumi di mmire akɛseɛ mmienu da koro a, ɛtumi bɔ ne ho ban firi kokoram yareɛ no ho.",,"Ɔhwehwɛ bi a wɔyɛɛ ho ɔkwan so firi 1996 kosi 2020 de nso aduan a wɔfrɛ no lentils kyerɛɛ sɛ sɛ obi di lentils kɛseɛ abien da biara a, ɛtumi bɔ no ho ban fi kankam yareɛ.",run1,35.361630794182034,12.42416606498705,5.714285714285714
"In most cases, what happens is that the person ends up not caring about their appearance anymore.","Mpɛn pii no, deɛ ɛtaa si ne sɛ, saa nipa no mfa n'ahonidie ho koraa.",,"Ɛkɛse bebree mu, ɛyɛ sɛ onipa no awie de n'adwene to ne ho nhwɛso bio.",run1,20.834119339789094,12.42416606498705,5.714285714285714
"Apart from Vitamin E which helps cleanse the body, Vitamins B1, B3, B6 and B12 all help the body fight against asthma","Vaetamɛn E a ɛboa hohoro nipadua no mu no da nkyɛn a, Vaetamɛn  B1, B3, B6 ne B12 nyinaa boa ma nipadua no ko tia asikyire yareɛ.",,"Gye Vitamin E a ɔboa sane ho dwira no ho, Vitamin B1, B3, B6 ne B12 nyinaaboa onipa ho so ko tia asthma",run1,40.272601761403095,12.42416606498705,5.714285714285714
"Then, he was released from prison and became a leader in charge of various government agencies.","Afei, wɔyii no firii afiase maa no bɛyɛɛ ɔkannifoɔ a na ɔda aban nnwuma ahodoɔ ano.",,"Afei no, wɔgyee no fii afiase na obɛyɛɛ ɔkannifo a ɔhwɛ so ahorow a ɛfa ɔman nhyehyɛe ho.",run1,39.962275633480715,12.42416606498705,5.714285714285714
