text,ref,Unnamed: 2,translated,source_zip_file,chrf_sentence,corpus_bleu,corpus_chrf
"Then, let’s try to eat foods that help the liver healthy, some like onion, ginger, lime and varieties of vegetables.","Afei, yɛmmɔ mmɔden sɛ yɛbɛdi nnuane a ɛboa brɛboɔ no apɔmuden, bi te sɛ gyeene, anwoo, akekaduro, akutoɔ ne atosodeɛ ahodoɔ.",,"Afei, momma yɛnhwɛ na yɛnni aduan a ɛboa ma yafunu mu nsono no yɛ apɔmuden, bi te sɛ gyeene, akakaduro, ankaa ne nhabannuru ahorow.",run1,40.58477324890725,30.694767198711272,6.147540983606558
"Some are about the behaviors we need to exhibit to achieve good health, others are about the foods we need to eat, the medications we need to be able to take and the amounts we need to take into our bodies.","Ebinom fa nneyɛeɛ a ɛsɛ sɛ yɛda no adi ma yɛn nsa ka apɔmuden pa ho, ebinom fa nnuane a ɛsɛ sɛ yɛdi, nnuro a ɛsɛ sɛ yɛtumi fa ne dodoɔ a ɛtwa sɛ yɛde kɔ yɛn nipadua mu ho.",,"Ebinom fa nneyɛe a ɛsɛ sɛ yɛda no adi na yɛanya akwahosan pa ho, afoforo nso fa aduane a ɛsɛ sɛ yɛdi, nnuru a ɛsɛ sɛ yɛtumi nom ne dodow a ɛsɛ sɛ yɛde hyɛ yɛn nipadua mu ho.",run1,61.78822624051408,30.694767198711272,6.147540983606558
Some have expressed respect for him for the steps he has taken to make his family a priority.,Ebinom akyerɛ obuo a wɔanya ama no ɛnam anammɔn a watu na wama n'abusua ayɛ ade titire ama no no nti.,,Ebinom akyerɛ no obu esiane anammɔn a wafa de ayɛ n'abusua nea edi kan.,run1,38.20853914002524,30.694767198711272,6.147540983606558
It can cure chickenpox.,Ɛtumi sa borɔmpete,,Ɛtumi sa ntumu.,run1,35.8770579018983,30.694767198711272,6.147540983606558
Doctors say women tend to develop this problem more quickly than men because their ducts that carry urine from the bladder to the street are shorter than men's.,"Adɔkotafoɔ kyerɛ sɛ mmaa taa nya saa ɔhaw yi ntɛntɛm so sene mmarima ɛfiri sɛ, wɔn drobɛn a ɛgye dwonsɔ firi dwonsɔtwaa no hɔ de ba abɔntene no yɛ tia sene mmarima deɛ.",,"Abenfoɔ ka sɛ mmea taa nya saa ɔhaw yi ntɛmntɛm sen mmarima, ɛfiri sɛ wɔn mpumpun a ɛde ahoɔ firi funtum mu kɔ abɔnten no yɛ tiaa sen mmarima deɛ.",run1,45.24041176262965,30.694767198711272,6.147540983606558
It is said that the extortion used by Nana Agradaa to extort money from the people has now reached his temple.,"Wɔkyerɛ mu a, apoobɔ a na Nana Agradaa de di dwuma gye ɔmamfoɔ sika firi wɔn ho no, wasane de aduru n'asɔrefie seesei nso.",,"Wɔka sɛ asisie a Nana Agradaa de sisii nnipa sika no, adu ne asɔredan mu seesei.",run1,30.683275958847094,30.694767198711272,6.147540983606558
A study of lentils from 1996 - 2020 found that eating two large lentils a day can protect against cancer.,"Nhwehwɛmu bi a animdefoɔ binom yɛ faa mmire ho firi 1996 - 2020 daa no adi sɛ, sɛ onipa tumi di mmire akɛseɛ mmienu da koro a, ɛtumi bɔ ne ho ban firi kokoram yareɛ no ho.",,"Nhwehwɛmu bi a ɛfa adwe ho a ɛfiri afe 1996 kɔsi afe 2020 huu sɛ sɛ obi di adwe akɛseɛ mmienu da biara a, betumi abɔ ne ho ban afiri kokoram ho.",run1,42.16214353956624,30.694767198711272,6.147540983606558
"In most cases, what happens is that the person ends up not caring about their appearance anymore.","Mpɛn pii no, deɛ ɛtaa si ne sɛ, saa nipa no mfa n'ahonidie ho koraa.",,"Mpɛn pii no, nea ɛba ne sɛ onipa no gyae ne ho so hwɛ bio.",run1,32.70223006275127,30.694767198711272,6.147540983606558
"Apart from Vitamin E which helps cleanse the body, Vitamins B1, B3, B6 and B12 all help the body fight against asthma","Vaetamɛn E a ɛboa hohoro nipadua no mu no da nkyɛn a, Vaetamɛn  B1, B3, B6 ne B12 nyinaa boa ma nipadua no ko tia asikyire yareɛ.",,"Gye sɛ Vitamin E a ɛtew nipadua no ho, Vitamin ahorow B1, B3, B6 ne B12 nyinaa boa nipadua no ma ɛko tia ahonhono.",run1,49.36538272400652,30.694767198711272,6.147540983606558
"Then, he was released from prison and became a leader in charge of various government agencies.","Afei, wɔyii no firii afiase maa no bɛyɛɛ ɔkannifoɔ a na ɔda aban nnwuma ahodoɔ ano.",,"Afei, wɔgyaa no firii afiase na ɔbɛyɛɛ ɔkannifoɔ a ɔhwɛ aban asoɛeɛ ahodoɔ pii so.",run1,55.52164736358657,30.694767198711272,6.147540983606558
