text,ref,Unnamed: 2,translated,source_zip_file,chrf_sentence,corpus_bleu,corpus_chrf
"Then, let’s try to eat foods that help the liver healthy, some like onion, ginger, lime and varieties of vegetables.","Afei, yɛmmɔ mmɔden sɛ yɛbɛdi nnuane a ɛboa brɛboɔ no apɔmuden, bi te sɛ gyeene, anwoo, akekaduro, akutoɔ ne atosodeɛ ahodoɔ.",,"Afei, momma yɛmmɔ mmɔden sɛ yebedi nnuan a ɛboa ma mmerɛbo no nya apɔwmuden, ebi te sɛ onion, ginger, lime ne nhabannuru ahorow.",run1,37.417968716742614,10.640850690356462,5.96816976127321
"Some are about the behaviors we need to exhibit to achieve good health, others are about the foods we need to eat, the medications we need to be able to take and the amounts we need to take into our bodies.","Ebinom fa nneyɛeɛ a ɛsɛ sɛ yɛda no adi ma yɛn nsa ka apɔmuden pa ho, ebinom fa nnuane a ɛsɛ sɛ yɛdi, nnuro a ɛsɛ sɛ yɛtumi fa ne dodoɔ a ɛtwa sɛ yɛde kɔ yɛn nipadua mu ho.",,"Ebi fa suban ahorow a ɛsɛ sɛ yɛda no adi na ama yɛanya akwahosan pa ho, afoforo nso fa nnuan a ɛsɛ sɛ yedi, nnuru a ɛsɛ sɛ yetumi nom ne dodow a ɛsɛ sɛ yɛfa kɔ yɛn nipadua mu ho.",run1,50.733753192569594,10.640850690356462,5.96816976127321
Some have expressed respect for him for the steps he has taken to make his family a priority.,Ebinom akyerɛ obuo a wɔanya ama no ɛnam anammɔn a watu na wama n'abusua ayɛ ade titire ama no no nti.,,Ebinom ada obu adi ama no wɔ anammɔn a watu de ama n’abusua ayɛ ade titiriw no ho.,run1,49.00682133354154,10.640850690356462,5.96816976127321
It can cure chickenpox.,Ɛtumi sa borɔmpete,,Ebetumi asa akokɔsrade.,run1,20.386637148736163,10.640850690356462,5.96816976127321
Doctors say women tend to develop this problem more quickly than men because their ducts that carry urine from the bladder to the street are shorter than men's.,"Adɔkotafoɔ kyerɛ sɛ mmaa taa nya saa ɔhaw yi ntɛntɛm so sene mmarima ɛfiri sɛ, wɔn drobɛn a ɛgye dwonsɔ firi dwonsɔtwaa no hɔ de ba abɔntene no yɛ tia sene mmarima deɛ.",,Nnuruyɛfo ka sɛ mmea taa nya ɔhaw yi ntɛmntɛm sen mmarima efisɛ wɔn ntini a ɛde nsu fi akisikuru mu kɔ abɔnten no yɛ tiaa sen mmarima de.,run1,36.49626296953724,10.640850690356462,5.96816976127321
It is said that the extortion used by Nana Agradaa to extort money from the people has now reached his temple.,"Wɔkyerɛ mu a, apoobɔ a na Nana Agradaa de di dwuma gye ɔmamfoɔ sika firi wɔn ho no, wasane de aduru n'asɔrefie seesei nso.",,Wɔkyerɛ sɛ apoobɔ a Nana Agradaa de gyee sika firii nkurɔfoɔ hɔ no adu n’asɔrefie seesei.,run1,47.062034752891144,10.640850690356462,5.96816976127321
A study of lentils from 1996 - 2020 found that eating two large lentils a day can protect against cancer.,"Nhwehwɛmu bi a animdefoɔ binom yɛ faa mmire ho firi 1996 - 2020 daa no adi sɛ, sɛ onipa tumi di mmire akɛseɛ mmienu da koro a, ɛtumi bɔ ne ho ban firi kokoram yareɛ no ho.",,"Nhwehwɛmu bi a wɔyɛe wɔ atoko ho fi 1996 - 2020 kyerɛ sɛ sɛ wodi atoko akɛse abien da biara a, ebetumi abɔ wo ho ban afi kokoram ho.",run1,33.24949066604027,10.640850690356462,5.96816976127321
"In most cases, what happens is that the person ends up not caring about their appearance anymore.","Mpɛn pii no, deɛ ɛtaa si ne sɛ, saa nipa no mfa n'ahonidie ho koraa.",,"Mpɛn pii no, nea ɛba ne sɛ onipa no kowie sɛ onnwen ne honam ani hwɛbea ho bio.",run1,35.70138405478908,10.640850690356462,5.96816976127321
"Apart from Vitamin E which helps cleanse the body, Vitamins B1, B3, B6 and B12 all help the body fight against asthma","Vaetamɛn E a ɛboa hohoro nipadua no mu no da nkyɛn a, Vaetamɛn  B1, B3, B6 ne B12 nyinaa boa ma nipadua no ko tia asikyire yareɛ.",,"Sɛ Vitamin E a ɛboa ma nipadua no ho tew da nkyɛn a, Vitamins B1, B3, B6 ne B12 nyinaa boa nipadua no ko tia ayamtu",run1,60.884624765534426,10.640850690356462,5.96816976127321
"Then, he was released from prison and became a leader in charge of various government agencies.","Afei, wɔyii no firii afiase maa no bɛyɛɛ ɔkannifoɔ a na ɔda aban nnwuma ahodoɔ ano.",,"Afei, woyii no fii afiase na ɔbɛyɛɛ ɔkannifo a ɔhwɛ aban ahyehyɛde ahorow so.",run1,45.10526265791952,10.640850690356462,5.96816976127321
This help the brain to have enough rest and energy to perform its task correctly.,Wei bɛboa ama adwene no anya ahoɔden a ɛhia de adi ne dwuma nyinaa.,,Eyi boa amemene no ma enya ahomegye ne ahoɔden a ɛdɔɔso a ɛbɛma ayɛ n’adwuma no yiye.,run1,40.84918697691685,10.640850690356462,5.96816976127321
