Model,BLEU,chrF,Average,BLEU_raw,chrF_raw,Average_raw
llama-4-maverick-17b-128e-instruct,7.09,29.53,18.31,7.090956936340244,29.52547890398055,18.3082179201604
gemini-2.5-flash,5.46,25.91,15.69,5.4575579347381495,25.91350745693648,15.685532695837313
kimi-k2-instruct-0905,5.06,26.24,15.65,5.063697828111592,26.240892065502404,15.652294946806995
mistral-medium-3-instruct,5.07,25.64,15.35,5.067386063866793,25.637802400304274,15.352594232085533
deepseek-v3.1,4.01,26.48,15.25,4.014044976881143,26.47858922183261,15.246317099356876
claude-sonnet-4-5,4.25,24.77,14.51,4.250820359865566,24.772203919457127,14.511512139661345
gpt-4.1,4.07,23.29,13.68,4.071476770567595,23.2901466233039,13.680811696935747
llama-3.1-405b-instruct,1.82,25.21,13.51,1.8175813060869748,25.20846557941635,13.513023442751663
llama-3.3-70b-instruct,2.93,23.20,13.06,2.927204012028327,23.19870544752419,13.062954729776257
seed-oss-36b-instruct,1.86,24.15,13.01,1.8628903923870888,24.152019260552567,13.007454826469829
qwen3-32b,2.54,23.01,12.78,2.5430384048979082,23.012872060028194,12.77795523246305
gemma-2-9b-it,2.90,22.64,12.77,2.8978647265463606,22.63625144799451,12.767058087270437
qwen3-235b-a22b,2.65,22.18,12.41,2.645371396606588,22.176567240363017,12.410969318484801
qwq-32b,2.08,22.35,12.21,2.0799424578026326,22.348322159517313,12.214132308659972
gemma2-9b-it,2.06,22.14,12.10,2.0571255934670227,22.139723224846122,12.098424409156571
gemma-2-27b-it,2.84,21.10,11.97,2.8394358484267914,21.101996303706237,11.970716076066513
palmyra-med-70b,2.53,20.86,11.70,2.5346075884395853,20.86133592906065,11.697971758750118
mistral-7b-instruct-v0.3,2.10,20.61,11.35,2.0958583981382173,20.61348375485003,11.354671076494123
gpt-oss-120b,1.98,20.13,11.05,1.9829588111540866,20.1252267559879,11.054092783570992
