Translation Benchmark Results for ntr-eng
Generated on: 2026-01-19 12:02:44

Model Performance:
llama-4-maverick-17b-128e-instruct: 46.33%
gemini-2.5-flash: 41.75%
mistral-medium-3-instruct: 40.60%
deepseek-v3.1: 39.67%
kimi-k2-instruct-0905: 39.42%
qwen3-235b-a22b: 37.96%
gemma-2-9b-it: 37.91%
claude-sonnet-4-5: 37.52%
llama-3.1-405b-instruct: 36.57%
gemma-2-27b-it: 35.86%
seed-oss-36b-instruct: 35.30%
gemma2-9b-it: 34.39%
gpt-4.1: 34.01%
qwen3-32b: 33.96%
llama-3.3-70b-instruct: 32.32%
qwq-32b: 31.24%
palmyra-med-70b: 29.24%
gpt-oss-120b: 27.09%
mistral-7b-instruct-v0.3: 24.71%

Best Model: llama-4-maverick-17b-128e-instruct (46.33%)
Average Score: 35.57%
