Model,BLEU,chrF,Average,BLEU_raw,chrF_raw,Average_raw
gpt-4.1,25.92,31.16,28.54,25.91641360720012,31.15765048529629,28.537032046248207
claude-sonnet-4-5,20.24,33.02,26.63,20.236360012390445,33.022603550542314,26.62948178146638
gemini-2.5-flash,11.36,34.12,22.74,11.36192633466682,34.11653870257722,22.73923251862202
kimi-k2-instruct-0905,8.82,23.53,16.17,8.818239281751483,23.529250735996342,16.17374500887391
llama-3.1-405b-instruct,7.38,23.43,15.40,7.378790595215932,23.42854909239664,15.403669843806286
llama-3.3-70b-instruct,8.23,22.46,15.34,8.225964699966557,22.459359073989567,15.342661886978062
gpt-oss-120b,10.22,20.43,15.33,10.21619866588636,20.433829899914617,15.325014282900488
deepseek-v3.1,6.47,23.11,14.79,6.4718242450883325,23.110118687324732,14.790971466206532
qwen3-235b-a22b,8.83,20.48,14.66,8.8345241881953,20.477824934593468,14.656174561394383
palmyra-med-70b,9.55,19.40,14.48,9.548450962056531,19.40369472305415,14.476072842555341
mistral-medium-3-instruct,5.17,23.31,14.24,5.165604006110218,23.305070780424636,14.235337393267427
gemma2-9b-it,4.52,22.82,13.67,4.5153886139928225,22.818433566856328,13.666911090424575
mistral-7b-instruct-v0.3,3.55,21.81,12.68,3.554180921777833,21.8071631462269,12.680672034002367
seed-oss-36b-instruct,2.91,22.19,12.55,2.9134768634787753,22.192431052218932,12.552953957848853
llama-4-maverick-17b-128e-instruct,3.06,21.83,12.45,3.0647874896641047,21.833866939679815,12.44932721467196
gemma-2-27b-it,3.85,20.15,12.00,3.8461875130248733,20.146174737321683,11.996181125173278
qwq-32b,3.11,19.58,11.35,3.1142484770067225,19.5766764656224,11.34546247131456
qwen3-32b,0.52,21.89,11.20,0.5239941898939261,21.88554499621236,11.204769593053143
gemma-2-9b-it,2.21,18.17,10.19,2.2102485003825127,18.169214436659562,10.189731468521037
