text,ref,translated,source_zip_file,chrf_sentence,corpus_bleu,corpus_chrf
"Be careful, thieves carry dangerous weapons along with them.","Kpɔ nyuie, tsɔ aʋawɔnu vɔ̃ɖiwo kpe ɖe fiafitɔwo ŋu.","Kpɔ nyuie, fiafitɔwo tsɔa aʋawɔnu siwo me afɔku le ɖe asi.",run1,51.36213956233813,17.609282679116177,5.51844321812373
"Indeed, all these customs and roles signify the importance and relevance of the Queenmother in Akans' culture and society. Yes, in the Akan society, many Queenmothers have reigned alongside Kings.","Nyateƒee, kɔnu kple akpa siawo katã ɖe Fianyɔnu Dada ƒe vevienyenye kple vevienyenye fia le Akantɔwo ƒe dekɔnuwo kple hadomegbenɔnɔ me. Ẽ, le Akantɔwo ƒe hadomegbenɔnɔ me la, Fianyɔnu vidada geɖewo ɖu fia kpe ɖe Fiawo ŋu.","Nyateƒee, kɔnu kple akpa siawo katã ɖe Fianyɔnu Dada ƒe vevienyenye kple vevienyenye fia le Akantɔwo ƒe dekɔnuwo kple hadomegbenɔnɔ me. Ẽ, le Akantɔwo ƒe hadomegbenɔnɔ me la, Fianyɔnu vidada geɖewo ɖu fia kpe ɖe Fiawo ŋu.",run1,100.0,17.609282679116177,5.51844321812373
"Eyes- maize, carrots, eggs, beans, pepper, salmon, sweet potato.","Ŋku- bli, karɔt, koklozi, ayi, atadi, salmon, nagoti.","Ŋku- bli, karɔt, azi, gbe, atadi, salmon, mɔli vivi.",run1,58.29994340327668,17.609282679116177,5.51844321812373
"Some are still in use, but the majority are no longer in use.","Wogale wo dometɔ aɖewo zãm, gake womegale wo dometɔ akpa gãtɔ zãm o.","Wogakpɔtɔ le wo dometɔ aɖewo zãm, gake womegale wo dometɔ akpa gãtɔ zãm o.",run1,93.79393256960515,17.609282679116177,5.51844321812373
"Investigations even showed that, some people were severely injured, when they were straggling to get inside.","Numekukuwo ɖee fia gɔ̃ hã be, ame aɖewo xɔ abi vevie, esime wonɔ agbagba dzem be yewoage ɖe eme.","Numekukuwo ɖee fia gɔ̃ hã be, ame aɖewo xɔ abi vevie, esime wonɔ agbagba dzem be yewoage ɖe eme.",run1,100.0,17.609282679116177,5.51844321812373
"He said that is, this process is the direction of the chief ministers and the presidential advisory board which is expected to start in February","Egblɔ be, ɖoɖo sia nye dziɖuɖumegãwo kple dukplɔla ƒe aɖaŋuɖoha ƒe mɔfiame si wole mɔ kpɔm be adze egɔme le February me","Egblɔ be, ɖoɖo sia nye dziɖuɖumegãwo kple dukplɔla ƒe aɖaŋuɖoha ƒe mɔfiame si wole mɔ kpɔm be adze egɔme le February me",run1,100.0,17.609282679116177,5.51844321812373
School labs need to be fully equipped to handle Chemistry lessons.,Ehiã be sukudodokpɔkpɔwo nanɔ dzadzraɖoɖi bliboe be woate ŋu asrɔ̃ nu tso sukudɔwɔƒewo ŋu.,Ele be suku ƒe dodokpɔxɔwo nanɔ dzadzraɖoɖi bliboe be woate ŋu akpɔ Dzɔdzɔmeŋusẽŋununya ƒe nusɔsrɔ̃wo gbɔ.,run1,58.54506874339127,17.609282679116177,5.51844321812373
Members of parliament represent different regions of the country.,Dziɖuɖumegãwo ƒe hamemetsiwo nye dukɔa ƒe nuto vovovowo.,Sewɔtakpekpe me tɔwo le dukɔa ƒe nuto vovovowo teƒe.,run1,45.40948736920496,17.609282679116177,5.51844321812373
The dangers of this disease will be assessed and remedies will be provided.,Woadzro dɔléle sia ƒe afɔkuwo me eye woakpɔ egbɔe.,Woada afɔku siwo le dɔléle sia me kpɔ eye woana atikewo.,run1,42.03530929333111,17.609282679116177,5.51844321812373
This year's festive season may not be as exciting as usual since public gatherings have been banned,Ðewohĩ ƒe sia ƒe azãɖuɣi madzɔ dzi na ame abe alesi wònɔna ɖaa ene o elabena wode se ɖe dutoƒo kpekpewo nu,Ðewohĩ ƒe sia ƒe ƒe azãɖuɣi madzɔ dzi na ame abe alesi wònɔna ɖaa ene o elabena wode se ɖe dutoƒo kpekpewo nu,run1,98.28363351252774,17.609282679116177,5.51844321812373
