text,ref,translated,source_zip_file,chrf_sentence,corpus_bleu,corpus_chrf
"Be careful, thieves carry dangerous weapons along with them.","Kpɔ nyuie, tsɔ aʋawɔnu vɔ̃ɖiwo kpe ɖe fiafitɔwo ŋu.","Kpɔ ɖa nyuie, fiafitɔwo tsɔa nuwɔame vɔ̃ɖiwo ɖe asi.",run1,46.12020512143882,10.91708860711953,0.2756499535747447
"Indeed, all these customs and roles signify the importance and relevance of the Queenmother in Akans' culture and society. Yes, in the Akan society, many Queenmothers have reigned alongside Kings.","Nyateƒee, kɔnu kple akpa siawo katã ɖe Fianyɔnu Dada ƒe vevienyenye kple vevienyenye fia le Akantɔwo ƒe dekɔnuwo kple hadomegbenɔnɔ me. Ẽ, le Akantɔwo ƒe hadomegbenɔnɔ me la, Fianyɔnu vidada geɖewo ɖu fia kpe ɖe Fiawo ŋu.","Nyateƒe la, kɔnu kple dɔdasi siawo katã ɖee fia be Nɔnɔa ƒe ɖoƒe le vevie eye wòle hiahiã ŋutɔ le Akan-dukɔa ƒe kɔnu kple amegbetɔwo ƒe agbenɔnɔ me. Ɛ̃, le Akan-dukɔa me la, Nɔnɔ geɖewo ɖu fia kple Fiawo le ɣeyiɣi ɖeka me.",run1,45.2451700719291,10.91708860711953,0.2756499535747447
"Eyes- maize, carrots, eggs, beans, pepper, salmon, sweet potato.","Ŋku- bli, karɔt, koklozi, ayi, atadi, salmon, nagoti.","Ŋku: bli, kɔti, koklo-dzi, aɖu, atadi, salmon, kɔti-gbe",run1,48.94436152590154,10.91708860711953,0.2756499535747447
"Some are still in use, but the majority are no longer in use.","Wogale wo dometɔ aɖewo zãm, gake womegale wo dometɔ akpa gãtɔ zãm o.","Wo dometɔ ʋɛ aɖewo gale dɔ wɔm, gake nu geɖe wu la, womele dɔ wɔm o.",run1,33.00237949181899,10.91708860711953,0.2756499535747447
"Investigations even showed that, some people were severely injured, when they were straggling to get inside.","Numekukuwo ɖee fia gɔ̃ hã be, ame aɖewo xɔ abi vevie, esime wonɔ agbagba dzem be yewoage ɖe eme.","Nupekpɛkpɛwo gɔ̃ hã ɖee fia be, amewo dometɔ aɖewo xɔ abi vevie esime wole agbagba dzem be yewoage ɖe eme.",run1,67.57033180445156,10.91708860711953,0.2756499535747447
"He said that is, this process is the direction of the chief ministers and the presidential advisory board which is expected to start in February","Egblɔ be, ɖoɖo sia nye dziɖuɖumegãwo kple dukplɔla ƒe aɖaŋuɖoha ƒe mɔfiame si wole mɔ kpɔm be adze egɔme le February me","Egblɔ be esia nye dɔwɔnu sia ƒe mɔfiafia tso dɔdzikpɔla gãwo kple dukplɔla ƒe aɖaŋuɖotagã la gbɔ, si wole mɔ kpɔm be adze egɔme le Dzove me.",run1,63.129682597964276,10.91708860711953,0.2756499535747447
School labs need to be fully equipped to handle Chemistry lessons.,Ehiã be sukudodokpɔkpɔwo nanɔ dzadzraɖoɖi bliboe be woate ŋu asrɔ̃ nu tso sukudɔwɔƒewo ŋu.,Suku laboratorowo hiã be woaɖo nu siwo katã hiã le wo me ale be woate ŋu awɔ Khemistri nusɔsrɔ̃wo.,run1,27.73448405529208,10.91708860711953,0.2756499535747447
Members of parliament represent different regions of the country.,Dziɖuɖumegãwo ƒe hamemetsiwo nye dukɔa ƒe nuto vovovowo.,Sewɔtakpekpe me tɔwo le dɔ teƒe na nuto vovovowo le dukɔa me.,run1,37.22721392362708,10.91708860711953,0.2756499535747447
The dangers of this disease will be assessed and remedies will be provided.,Woadzro dɔléle sia ƒe afɔkuwo me eye woakpɔ egbɔe.,Woado nu me le dɔlélé sia ƒe afɔkuwo ŋu eye woana dɔdamɔnuwo.,run1,44.63189012664714,10.91708860711953,0.2756499535747447
This year's festive season may not be as exciting as usual since public gatherings have been banned,Ðewohĩ ƒe sia ƒe azãɖuɣi madzɔ dzi na ame abe alesi wònɔna ɖaa ene o elabena wode se ɖe dutoƒo kpekpewo nu,"Nuɖuɖu ɣeyiɣi sia ƒe ŋkekenyuiwo ate ŋu anyo o abe ale si wòle ɣeyiɣi bubuwo me ene, elabena woɖo kpe nu kple amewo ƒe habɔbɔwo dzi.",run1,33.507206832549166,10.91708860711953,0.2756499535747447
One can be disabled and still live a normal life like others.,Wo dometɔ ɖeka ate ŋu awɔ nu vevii eye wòakpɔtɔ anye ame bubuwo tɔ.,Ame ate ŋu anye dɔnɔgã alo dɔléle aɖe nɔa ame ŋu gake wòanɔ agbe nyui abe ame bubuwo ene.,run1,33.359762070193675,10.91708860711953,0.2756499535747447
We have examined the reign of 16 chiefs who ruled over the Asante Kingdom from its inception.,Míedzro fia 16 siwo ɖu Asante Fiaɖuƒea dzi tso eƒe gɔmedzedze la ƒe dziɖuɣi me.,Míedzro fia 16 siwo ɖu dzi le Asante Fiaɖuƒea dzi tso esime wòdze egɔme la ŋu kpɔ.,run1,64.74453101106353,10.91708860711953,0.2756499535747447
This is because in the process of puberty rites they do anoka.,"Esia le alea elabena le sɔhɛmenɔɣi ƒe kɔnuwɔwɔwo me la, wowɔa ɖᴐɖᴐe kpᴐkpᴐ.","Esia nye elabena le gomehehe ƒe kɔnuwo wɔɣi la, wowɔa anoka.",run1,37.73703315837076,10.91708860711953,0.2756499535747447
"When someone is seen in this position, what it communicates is that the person is saddened.","Ne wokpɔ ame aɖe le nɔnɔme sia me la, nusi wòɖonae nye be amea léa blanui.","Ne wòle be wokpɔ ame aɖe le nɔnɔme sia me la, nu si wòfiae nye be nu te ɖe ame ma dzi alo dzi blɔe.",run1,67.22528633296538,10.91708860711953,0.2756499535747447
