text,ref,translated,source_zip_file,chrf_sentence,corpus_bleu,corpus_chrf
"Be careful, thieves carry dangerous weapons along with them.","Kpɔ nyuie, tsɔ aʋawɔnu vɔ̃ɖiwo kpe ɖe fiafitɔwo ŋu.","Dzo kpɔ, agbagbatɔwo tso nudzodzoe vovovovo kple wòwo",run1,13.543348295059287,7.129384882260374,5.042462845010616
"Indeed, all these customs and roles signify the importance and relevance of the Queenmother in Akans' culture and society. Yes, in the Akan society, many Queenmothers have reigned alongside Kings.","Nyateƒee, kɔnu kple akpa siawo katã ɖe Fianyɔnu Dada ƒe vevienyenye kple vevienyenye fia le Akantɔwo ƒe dekɔnuwo kple hadomegbenɔnɔ me. Ẽ, le Akantɔwo ƒe hadomegbenɔnɔ me la, Fianyɔnu vidada geɖewo ɖu fia kpe ɖe Fiawo ŋu.","Naneke, mɔ̃ kple wòanɔ̃wo katã kple wòwɔwɔwo vivi ɖe Queenmother ƒe nyatefe kple nuvevenyuie ŋu le Akan ƒe lãme kple xexeame me. Ɛɛ, le Akan xexeame me, Queenmothers geɖe wòle ŋu aƒo ɣeyiɣi kple Fiawowo.",run1,26.270289799645585,7.129384882260374,5.042462845010616
"Eyes- maize, carrots, eggs, beans, pepper, salmon, sweet potato.","Ŋku- bli, karɔt, koklozi, ayi, atadi, salmon, nagoti.","Ɣlɔ̃ - agble, karɔti, dzigbe, avaɖe, atadi, salmon, nukutitri.",run1,44.404245014998104,7.129384882260374,5.042462845010616
"Some are still in use, but the majority are no longer in use.","Wogale wo dometɔ aɖewo zãm, gake womegale wo dometɔ akpa gãtɔ zãm o.","Etɔ̃wo le zãzã me o gbã, gake woɖe wu la, wòle zãzã me o.",run1,22.19391381493634,7.129384882260374,5.042462845010616
"Investigations even showed that, some people were severely injured, when they were straggling to get inside.","Numekukuwo ɖee fia gɔ̃ hã be, ame aɖewo xɔ abi vevie, esime wonɔ agbagba dzem be yewoage ɖe eme.","Nuŋɔŋlɔwo kpɔ gake be, ame geɖewo ƒe ʋu dɔ wo wu, gbã be woawɔ ɖoɖo aɖe be wòanɔeme.",run1,22.693703044580516,7.129384882260374,5.042462845010616
"He said that is, this process is the direction of the chief ministers and the presidential advisory board which is expected to start in February","Egblɔ be, ɖoɖo sia nye dziɖuɖumegãwo kple dukplɔla ƒe aɖaŋuɖoha ƒe mɔfiame si wole mɔ kpɔm be adze egɔme le February me","Ɖo nu le eŋu be, dɔwɔwɔ sia nye tiatia na dukɔfia ƒe wɔlawo kple amewo si le aɖaŋudede na gavɔŋutɔ ƒe ŋutinya ƒe ƒoƒo, si wò bia be woaƒo ɖo le Februari me",run1,31.94264987262682,7.129384882260374,5.042462845010616
School labs need to be fully equipped to handle Chemistry lessons.,Ehiã be sukudodokpɔkpɔwo nanɔ dzadzraɖoɖi bliboe be woate ŋu asrɔ̃ nu tso sukudɔwɔƒewo ŋu.,Ƒuƒoƒo xƒã wo le suklu nu wò ƒo ŋu be woate ŋu aƒo Chemistry dɔwɔƒe.,run1,24.19655989237536,7.129384882260374,5.042462845010616
Members of parliament represent different regions of the country.,Dziɖuɖumegãwo ƒe hamemetsiwo nye dukɔa ƒe nuto vovovowo.,Parlamentogawo doa amewo ƒe nutome vovovowo ŋu.,run1,30.103908162548255,7.129384882260374,5.042462845010616
The dangers of this disease will be assessed and remedies will be provided.,Woadzro dɔléle sia ƒe afɔkuwo me eye woakpɔ egbɔe.,Axɔdzedzea siwo le dɔ sia me wòanɔ su le ŋu eye woana dɔwɔwɔ siwo aɖe.,run1,22.00023452358393,7.129384882260374,5.042462845010616
This year's festive season may not be as exciting as usual since public gatherings have been banned,Ðewohĩ ƒe sia ƒe azãɖuɣi madzɔ dzi na ame abe alesi wònɔna ɖaa ene o elabena wode se ɖe dutoƒo kpekpewo nu,"Ƒe sia ƒe blibo ɣeyiɣi le wòaba nɔ nyuie abe aleke gbã la ene o, elabena wòaƒo xɔ amewo dome kpokpoe",run1,31.039978688644528,7.129384882260374,5.042462845010616
