Translation Benchmark Results for kus-eng
Generated on: 2026-01-16 14:45:14

Model Performance:
claude: 59.28%
gemini: 57.32%
deepseek-v3.1: 55.20%
kimi-k2-instruct-0905: 52.16%
llama-3.3-70b-instruct: 51.56%
llama-3.1-405b-instruct: 51.29%
llama-4-maverick-17b-128e-instruct: 50.07%
gemma2-9b-it: 49.99%
chatgpt: 49.40%
qwen3-235b-a22b: 49.10%
palmyra-med-70b: 45.65%
qwen3-32b: 41.17%
seed-oss-36b-instruct: 40.53%
gpt-oss-120b: 40.07%
mistral-medium-3-instruct: 40.03%
gemma-2-27b-it: 38.11%
qwq-32b: 37.64%
gemma-2-9b-it: 37.00%
mistral-7b-instruct-v0.3: 22.05%

Best Model: claude (59.28%)
Average Score: 45.66%
