Model,BLEU,chrF,Average,BLEU_raw,chrF_raw,Average_raw
gemini-2.5-flash,14.29,26.42,20.35,14.287202148494003,26.4165072858003,20.35185471714715
gpt-4.1,12.06,23.91,17.99,12.063971136943232,23.909516103427652,17.986743620185443
claude-sonnet-4-5,7.44,27.19,17.31,7.441064390829719,27.187157768981095,17.314111079905405
llama-4-maverick-17b-128e-instruct,11.37,21.28,16.32,11.371681934875244,21.275920442657444,16.323801188766346
kimi-k2-instruct-0905,12.05,20.17,16.11,12.045422179467963,20.172573191278495,16.10899768537323
llama-3.3-70b-instruct,9.87,19.53,14.70,9.871721786705415,19.52871007066109,14.700215928683253
deepseek-v3.1,7.52,20.21,13.87,7.523574722594688,20.213385671492194,13.868480197043441
gemma-2-27b-it,8.66,18.91,13.78,8.657107714332325,18.905444084942058,13.78127589963719
qwen3-235b-a22b,7.65,19.29,13.47,7.653441199848259,19.29317241395808,13.47330680690317
gpt-oss-120b,9.51,17.17,13.34,9.507244120026236,17.165401065549297,13.336322592787766
llama-3.1-405b-instruct,7.08,19.12,13.10,7.077187862619299,19.116433716728224,13.09681078967376
gemma2-9b-it,7.24,18.15,12.69,7.238177794755686,18.149230193297953,12.69370399402682
mistral-7b-instruct-v0.3,2.49,21.80,12.15,2.4900807945060754,21.800891245854572,12.145486020180323
qwq-32b,4.29,19.89,12.09,4.285112899606139,19.886992676937282,12.086052788271711
palmyra-med-70b,2.96,20.61,11.79,2.961812761725358,20.608695039419427,11.785253900572393
gemma-2-9b-it,5.14,18.20,11.67,5.136663909505951,18.203945225652213,11.670304567579082
seed-oss-36b-instruct,3.14,19.51,11.32,3.1373448198584004,19.51150214258619,11.324423481222293
qwen3-32b,2.48,19.69,11.08,2.4845580970334677,19.68501554599835,11.084786821515909
mistral-medium-3-instruct,2.33,18.32,10.33,2.3340245115476215,18.323458988864743,10.328741750206182
