Model,BLEU,chrF,Average,BLEU_raw,chrF_raw,Average_raw
gemini-2.5-flash,14.13,30.54,22.34,14.13084448848397,30.54081900363241,22.33583174605819
claude-sonnet-4-5,13.83,27.10,20.46,13.826777579228938,27.10114710408087,20.463962341654906
llama-3.3-70b-instruct,12.45,20.10,16.27,12.446366700418011,20.095419244225276,16.270892972321644
llama-3.1-405b-instruct,9.92,21.91,15.91,9.915499897247548,21.911643456004565,15.913571676626056
gpt-4.1,6.02,23.30,14.66,6.024757292375468,23.29805682294392,14.661407057659694
palmyra-med-70b,6.92,22.29,14.60,6.917184228205474,22.292533557449058,14.604858892827266
kimi-k2-instruct-0905,7.43,21.34,14.38,7.428860694358236,21.337007204419763,14.382933949388999
deepseek-v3.1,7.68,21.00,14.34,7.682709195409893,20.99815684184002,14.340433018624957
qwen3-235b-a22b,8.04,20.54,14.29,8.039313477786735,20.54320005651775,14.291256767152243
qwen3-32b,6.30,21.81,14.06,6.300334062720186,21.81049126018336,14.055412661451772
llama-4-maverick-17b-128e-instruct,5.73,21.42,13.57,5.730386865842681,21.41705402720155,13.573720446522117
seed-oss-36b-instruct,5.59,20.36,12.98,5.594147299480393,20.362846460491625,12.97849687998601
gemma2-9b-it,6.29,19.57,12.93,6.288914797547567,19.566619115753987,12.927766956650776
mistral-medium-3-instruct,3.22,20.23,11.73,3.2210808545375818,20.23381293056451,11.727446892551047
gpt-oss-120b,6.90,15.74,11.32,6.896869224045711,15.740915760901535,11.318892492473623
gemma-2-9b-it,4.45,17.55,11.00,4.449945957170704,17.545615778186097,10.9977808676784
mistral-7b-instruct-v0.3,3.34,18.37,10.85,3.3401870323578753,18.368545968188364,10.85436650027312
gemma-2-27b-it,4.48,16.26,10.37,4.4782388238006465,16.264001614485824,10.371120219143236
qwq-32b,0.00,18.81,9.40,0.0,18.805681899389384,9.402840949694692
