Model,Similarity Score (%),Raw Score
gemini-2.5-flash,46.47%,46.471930185953774
claude-sonnet-4-5,38.56%,38.56210581461589
gpt-4.1,32.07%,32.0712038675944
qwen3-32b,30.03%,30.026065708
palmyra-med-70b,26.73%,26.729853200000004
deepseek-v3.1,25.86%,25.856230492080005
llama-4-maverick-17b-128e-instruct,25.69%,25.688665029833025
llama-3.3-70b-instruct,25.35%,25.345786664159725
qwen3-235b-a22b,25.23%,25.229983184863137
kimi-k2-instruct-0905,24.05%,24.05057582028628
seed-oss-36b-instruct,23.88%,23.88308344031628
mistral-medium-3-instruct,23.81%,23.814962006685985
mistral-7b-instruct-v0.3,22.97%,22.974313300000002
qwq-32b,22.90%,22.904215249584475
gemma-2-9b-it,21.36%,21.36222178518709
gemma-2-27b-it,21.18%,21.183695780419498
llama-3.1-405b-instruct,19.52%,19.516849682269243
gemma2-9b-it,19.06%,19.062045618
gpt-oss-120b,12.06%,12.059300975785405
