text,ref,Unnamed: 2,translated
"Awiei koraa no , bere a midii bɛyɛ asram du wɔ afiase no , wodii m 'asɛm gyaee me .","Finally , after about ten months in prison , I was brought to trial and released .",,"In the end, when I had been staying at home for about ten months, they dismissed my case and left me."
"Awiei koraa no , mifii sraadi no mu , nanso na meda so ara wɔ ɔhaw mu .","Finally , I left the army , but I still had trouble .",,"At the very end, I got out of the trap, but I was still in trouble."
"Awiei koraa no , wɔyɛɛ sɔhwɛ a ɛma wogye obi wɔ Australia Ballet Kuw no mu wɔ June 1970 mu .","Finally , in June 1970 , auditions for the Australian Ballet Company were held .",,"Finally, they held a trial that led to someone's acceptance into the Australian Ballet Company in June 1970."
Awo Bere Ho Amanne no a Yɛbɛhwɛ no Yiye,A Closer Look at Nativity Traditions,,"When the time comes, we will examine it carefully."
"Awofo , so mopɛ sɛ mo mma suasua amanne a ɛyɛ hu yi ?","Parents , do you want your children imitating these sinister rituals ?",,"Parents, do you want your children to learn this terrible tradition?"
"Awofo a wɔwɔ mmusua a ɛte saa mu fi ɔdɔ mu ma wɔn ani kũ wɔn mma ho , na wɔma wonya gyinapɛn ne botae horow a ɛfata .",Parents of such families provide their children with loving attention and impart to them proper values and goals .,,"Parents who have families like this, out of love, keep a watchful eye over their children, and provide them with proper guidance and appropriate goals."
Ayarefo 13 a aka no gyee mogya .,The other 13 patients received blood .,,The remaining 13 patients took blood.
Ayeyi ne Adɛfɛdɛfɛsɛm Ho Nkyerɛkyerɛmu,Praise and Flattery Defined,,Interpretation of Praise and Beauty
"BAKERSFIELD , CA ( Spania kasa nkutoo ) , Rabobank Arena , 1001 Truxtun Ave .","BAKERSFIELD , CA ( Spanish only ) , Rabobank Arena , 1001 Truxtun Ave .",,"BAKERSFIELD, CA (Spanish language only), Rabobank Arena, 1001 Truxtun Ave"
"BERE A ƆWƐMFO BI BOBƆƆ M 'ASOM ESIANE SƐ MANYƐ NASIFO AKOHYƐN A ƐTOTO APRƐM HO NNEƐMA NTI NO , ƆWƐMFO FOFORO KA KYERƐƐ NO SƐ : "" ƐBƐYƐ PAPA SƐ WUGYAE .","WHEN A GUARD REPEATEDLY HIT ME IN THE FACE BECAUSE I REFUSED TO WORK ON PARTS FOR NAZI BOMBERS , ANOTHER GUARD SAID TO HER : "" YOU MIGHT AS WELL STOP .",,"When a pastor repeatedly interrupts my service because I have been making mistakes that affect the congregation's affairs, a new pastor told me: ""It would be better if you stopped."""
BERE BƐN NA YESU BA ?,WHEN DOES JESUS COME ?,,When will Jesus come?
"BIBLE AFOTUSƐM : "" Mommma sikanibereɛ mmma mo asetena mu , na momma deɛ mowɔ no ara nnɔɔso mma mo . "" - Hebrifoɔ 13 : 5 .","BIBLE PRINCIPLE : "" Let your way of life be free of the love of money , while you are content with the present things . "" - Hebrews 13 : 5 .",,"PROVERB FROM THE BIBLE: “Do not let money rule your life, but let what you have be enough for you.” – Hebrews 13:5"
BIBLE MA YENYA NSƐMMISA A ƐHO HIA PA ARA WƆ ASETENAM NO HO MMUAE . EBI NE :,"THE BIBLE ALSO ANSWERS LIFE 'S BIG QUESTIONS , SUCH AS :",,The Bible gives us messages that are very important for life’s answers. One is:
Baabiara a Wusiw Wɔ no Ogya Wɔ Hɔ,Where There 's Smoke There 's Fire,,"Every place where there is destruction, there is fire"
"Bayie no ma wo ahofadi a wode bɛpaw Nyame ko a wopɛ sɛ wosom no , na ɛma wunya kwan de di w 'ankasa Nyame ni . ""","The Craft gives you the freedom to pick and subsequently honor your own forms of the Divine . """,,"Give yourself the freedom to choose the God you wish to worship, and it will give you the path to truly follow that God yourself."
Ben : Saa pɛpɛɛpɛ .,Mauricio : Precisely .,,Ben: Exactly like that.
Ben Asher Abusua No,The Ben Asher Family,,Ben Asher’s family
"Bere a Adam , ɔbarima a odi kan no hyɛɛ da tew Onyankopɔn so atua no , ɔde n 'asefo nyinaa kɔhyɛɛ bɔne , amanehunu ne owu ase .","When the first man , Adam , deliberately rebelled against God , he subjected all his offspring to sin , suffering , and death .",,"When Adam, the first man, set his foot upon the holy ground of God, he led all his descendants into sin, suffering, and death."
"Bere a Adam ne Hawa dii saa dua no aba no bi no , wɔbɛyɛɛ nkurɔfo a na wɔrentumi nnye wɔn ntom bio sɛ Onyankopɔn amansan abusua no mufo .","When Adam and Eve ate of that fruit , they put themselves in a position where they could no longer be accepted as members of God 's universal family .",,"When Adam and Eve ate from that tree, they became people who could no longer accept themselves as members of God's family."
"Bere a Amalekfo kɔtow hyɛɛ Siklag so no , wɔfaa Dawid ne ne mmarima yerenom ne wɔn mma kɔe .","When the Amalekites raided the city of Ziklag , they carried off David 's wives and children as well as those of his men .",,"When the Amalekites went out to attack Siklag, they seized David, his men, his wives, and their children."
"Bere a Budny rekyerɛ ase no , ɔtoo ne bo ase susuw asɛmfua biara ne nea ɛbata ho ho wɔ ɔkwan a na obiara nyɛɛ saa da so wɔ Poland .","When translating , Budny thoroughly analyzed every word and its variants in a way no one in Poland had done before .",,"When Budny began his explanation, he lowered his head and contemplated every word and its meaning in the way no one had ever done before in Poland."
"Bere a Dawid rekasa akyerɛ odiyifo Natan no , ɔkae sɛ : "" Hwɛ , me de , mete nkyeneduru dan mu , na [ Yehowa , NW ] apam adaka no wɔ ntama ase . "" - 1 Beresosɛm 17 : 1 .","Speaking to the prophet Nathan , David said : "" Here I am dwelling in a house of cedars , but the ark of the covenant of Jehovah is under tent cloths . "" - 1 Chronicles 17 : 1 .",,"When David was speaking to the prophet Nathan, he said: “Look, I am in a room of darkness, and [Jehovah, NW"
"Bere a Elisa somfo sɔre kɔɔ abɔnten no , ohuu atamfo a wɔrepɛ odiyifo no akyere no no .","When Elisha 's attendant arose and went outside , he saw the prophet 's would - be captors .",,"When Elisa’s servant got up and went outside, he/she saw the enemies who were trying to catch the prophet."
"Bere a Hindusom fii ase wɔ Indus ho no , Buddhasom fii ase wɔ Ganga ho .","While Hinduism was started around the Indus , Buddhism has its roots near the Ganga .",,"When Hinduism began near the Indus, Buddhism began near the Ganges."
"Bere a Israel mmea fii ase yii Dawid ayɛ sɛ ɔyɛ ɔsraani ɔkokodurufo no , Ɔhene Saul benyaa Dawid ho tan araa ma ɔtow peaw sɛ ɔde rewɔ no mpɛn abien .","When the women of Israel began praising David for his military prowess , King Saul became so consumed with jealousy that on two occasions he hurled his spear at David .",,"When the women of Israel began to treat David as a foreigner, King Saul became extremely angry with David and threw a stone at him twice."
Bere a Macbeth kenkanee Nyan !,Upon reading an Awake !,,"When Macbeth first arrived, Nyan!"
"Bere a Mary san nyinsɛnee no , wɔkaa biribi a na yɛnhwɛ kwan koraa ho asɛm kyerɛɛ yɛn .","When Mary became pregnant again , a big surprise awaited us .",,"When Mary repeated the sermon, they told us something about a way we had never considered."
"Bere a Matthew Henry 's Commentary on the Whole Bible reka nkyekyem yi ho asɛm no , ɛka sɛ : "" Ɛyɛ atreneefo su sɛ . . . wɔn koma abubu na wɔn honhom di yaw , kyerɛ sɛ , bɔne abrɛ wɔn ase , na wobu wɔn ho sɛ wɔnsom bo ; wɔba fam wɔ wɔn ankasa ani so , na wonni ahotoso wɔ wɔn ankasa mmɔdenbɔ mu . ""","Commenting on this verse , Matthew Henry 's Commentary on the Whole Bible notes : "" It is the character of the righteous . . . that they are of a broken heart and a contrite spirit , that is , humbled for sin , and emptied of self ; they are low in their own eyes , and have no confidence in their own merit . """,,"When Matthew Henry’s Commentary on the Whole Bible discusses this passage, it says: “It is a sorrowful thing for the faithful … that their hearts are broken and their spirits are in pain, meaning that sin has humbled them, and they consider themselves unworthy; they fall down before their own eyes, and they have no confidence in their own efforts.”"
"Bere a Nikodemo gye tom sɛ wɔn a wɔdan Yudafo no hia awo foforo no , obebu adeyɛ a ɛte saa sɛ entumi nyɛ yiye wɔ Yudafo ankasa fam - ɛte sɛ nea wɔsan kɔ awotwaa no mu .","While acknowledging a new birth for proselytes , Nicodemus would view such a process as impossible for natural Jews - reentry to the womb as it were .",,"When Nicodemus admits that those who become Jews need a new birth, he will do something like this that cannot be done properly among the Jews themselves – it is as if they are returning to the wilderness."
Bere a Nsusuwii Bɔne Befi Hɔ Koraa,When Wrong Thinking Will Be No More,,When the evil thoughts arise
"Bere a Onua Larson de Romafo 8 : 38 , 39 redi dwuma no , otuu adesuafo no fo sɛ : "" Munnyina na munsusuw tumi a Onyankopɔn de redi mo ho dwuma no ho , na monkae sɛ biribiara nni hɔ a ebetumi atetew mo ne Yehowa ntam abusuabɔ no mu . ""","Drawing on Romans 8 : 38 , 39 , Brother Larson admonished the students : "" Stop and reflect on the power that God is using in your behalf , and remember that nothing can break Jehovah 's personal attachment to you . """,,"When Brother Larson was 8:38, 39 minutes into the work, he told the students: “Do not stand still and think about the power God is using to work in you, and remember that nothing can break the relationship between you and Jehovah.”"
"Bere a Onyankopɔn de Ahenni no resi hɔ no , ɔkae sɛ : "" Me na masi me hene . ""","At the inauguration of the Kingdom , God says : "" I , even I , have installed my king . """,,"When God established the kingdom, He said, “I am the one who has made myself king.”"
"Bere a Onyankopɔn reka Adam bɔne ho asotwe akyerɛ no no , saa bere no nkutoo na Onyankopɔn kaa owu ho asɛm .",The only time that God mentioned death was when he told Adam of the punishment for disobedience .,,"At the time when God showed Adam the consequences of sin, that very moment was also when God spoke about death."
"Bere a Paulo kaa nna a edi akyiri no mu tebea horow ho asɛm siei no , ɔhyɛɛ nkɔm sɛ mmofra pii bɛyɛ awofo asɛm ho asoɔdenfo .","When Paul foretold conditions in the last days , he prophesied that many children would be disobedient to parents .",,"When Paul later spoke about the various situations, he prophesied that many children would become fierce defenders of parental matters."
"Bere a Paulo yɛ aberante no , na ɔyɛ Farisini .","As a young Pharisee , Paul did things that he later regretted .",,"When Paulo was a teenager, he was French."
"Bere a Petro kyerɛw krataa kɔmaa ne nuanom Kristofo no , ɔkyerɛɛ mu sɛ ' tweatiboɔ ' a na wɔahyɛ ho nkɔm no ne Awurade Yesu Kristo , Mesia no .","When he quoted one of them in a letter to his fellow believers , Peter explained that the prophesied "" cornerstone "" was the Lord Jesus Christ , the Messiah .",,"When Petro wrote a letter to his fellow Christians, he explained that the “prophecy” they had been given was about the Lord Jesus Christ, the Messiah."
"Bere a Samuel da so ara yɛ abofra no , Yehowa kaa atemmu a ɔde bɛba Eli fie so ho asɛm kyerɛɛ no .","When Samuel is still of tender age , Jehovah speaks to him , pronouncing judgment against the house of Eli .",,"When Samuel was still a child, Jehovah told him about the judgment He would bring upon Eli’s house."
"Bere a Satan sɔɔ Yesu hwɛe no , dɛn na Yesu gyinaa so maa no mmuae ?",Upon what did Jesus base his answers to Satan 's temptations ?,,"When Satan looked at Jesus, what did Jesus stand on to give him an answer?"
"Bere a Yesu beduu Betania no , na Lasaro awu ma adi nnannan .","When Jesus finally reached Bethany , Lazarus had been dead for four days .",,"When Jesus arrived at Bethany, Lazarus had been dead for four days."
