text,ref,Unnamed: 2,translated
"Awiei koraa no , bere a midii bɛyɛ asram du wɔ afiase no , wodii m 'asɛm gyaee me .","Finally , after about ten months in prison , I was brought to trial and released .",,"Sometimes, when I have stayed in the farm for two years, you come to visit me."
"Awiei koraa no , mifii sraadi no mu , nanso na meda so ara wɔ ɔhaw mu .","Finally , I left the army , but I still had trouble .",,"Sometimes, I go to school, but I don't learn anything because I am always sleeping."
"Awiei koraa no , wɔyɛɛ sɔhwɛ a ɛma wogye obi wɔ Australia Ballet Kuw no mu wɔ June 1970 mu .","Finally , in June 1970 , auditions for the Australian Ballet Company were held .",,"Eventually, she was accepted into the Australian Ballet School in June 1970."
Awo Bere Ho Amanne no a Yɛbɛhwɛ no Yiye,A Closer Look at Nativity Traditions,,They will take care of the child and raise him
"Awofo , so mopɛ sɛ mo mma suasua amanne a ɛyɛ hu yi ?","Parents , do you want your children imitating these sinister rituals ?",,"Parents, do you know the importance of this proverb?"
"Awofo a wɔwɔ mmusua a ɛte saa mu fi ɔdɔ mu ma wɔn ani kũ wɔn mma ho , na wɔma wonya gyinapɛn ne botae horow a ɛfata .",Parents of such families provide their children with loving attention and impart to them proper values and goals .,,Parents in such families take care of their children from birth and provide them with the necessary support and resources.
Ayarefo 13 a aka no gyee mogya .,The other 13 patients received blood .,,Thirteen thieves have stolen the blood.
Ayeyi ne Adɛfɛdɛfɛsɛm Ho Nkyerɛkyerɛmu,Praise and Flattery Defined,,Praise and Thanksgiving to the Almighty God
"BAKERSFIELD , CA ( Spania kasa nkutoo ) , Rabobank Arena , 1001 Truxtun Ave .","BAKERSFIELD , CA ( Spanish only ) , Rabobank Arena , 1001 Truxtun Ave .",,"BAKERSFIELD, CA (Spain's dry land), Rabobank Arena, 1001 Truxtun Ave."
"BERE A ƆWƐMFO BI BOBƆƆ M 'ASOM ESIANE SƐ MANYƐ NASIFO AKOHYƐN A ƐTOTO APRƐM HO NNEƐMA NTI NO , ƆWƐMFO FOFORO KA KYERƐƐ NO SƐ : "" ƐBƐYƐ PAPA SƐ WUGYAE .","WHEN A GUARD REPEATEDLY HIT ME IN THE FACE BECAUSE I REFUSED TO WORK ON PARTS FOR NAZI BOMBERS , ANOTHER GUARD SAID TO HER : "" YOU MIGHT AS WELL STOP .",,"When I was growing up my mother told me that if I ever misbehave and my father beats me, another mother will say to me: ""It is your fault."""
BERE BƐN NA YESU BA ?,WHEN DOES JESUS COME ?,,Where are Jesus' disciples?
"BIBLE AFOTUSƐM : "" Mommma sikanibereɛ mmma mo asetena mu , na momma deɛ mowɔ no ara nnɔɔso mma mo . "" - Hebrifoɔ 13 : 5 .","BIBLE PRINCIPLE : "" Let your way of life be free of the love of money , while you are content with the present things . "" - Hebrews 13 : 5 .",,"Your lives should be untainted by love for money, being content with what you have, for He has said, ""I will never leave you, nor will I ever forsake you."" - Hebrews 13:5"
BIBLE MA YENYA NSƐMMISA A ƐHO HIA PA ARA WƆ ASETENAM NO HO MMUAE . EBI NE :,"THE BIBLE ALSO ANSWERS LIFE 'S BIG QUESTIONS , SUCH AS :",,The Bible says that it is more blessed to give than to receive.
Baabiara a Wusiw Wɔ no Ogya Wɔ Hɔ,Where There 's Smoke There 's Fire,,Barbara and her husband are at home
"Bayie no ma wo ahofadi a wode bɛpaw Nyame ko a wopɛ sɛ wosom no , na ɛma wunya kwan de di w 'ankasa Nyame ni . ""","The Craft gives you the freedom to pick and subsequently honor your own forms of the Divine . """,,"The child's mother advised her that when she went to church, she should pray to God herself."
Ben : Saa pɛpɛɛpɛ .,Mauricio : Precisely .,,It's very hot
Ben Asher Abusua No,The Ben Asher Family,,The Ben Asher Family House
"Bere a Adam , ɔbarima a odi kan no hyɛɛ da tew Onyankopɔn so atua no , ɔde n 'asefo nyinaa kɔhyɛɛ bɔne , amanehunu ne owu ase .","When the first man , Adam , deliberately rebelled against God , he subjected all his offspring to sin , suffering , and death .",,"And Adam, the first man, disobeyed God's command and led all his descendants into sin, suffering and death."
"Bere a Adam ne Hawa dii saa dua no aba no bi no , wɔbɛyɛɛ nkurɔfo a na wɔrentumi nnye wɔn ntom bio sɛ Onyankopɔn amansan abusua no mufo .","When Adam and Eve ate of that fruit , they put themselves in a position where they could no longer be accepted as members of God 's universal family .",,"When Adam and Eve ate the forbidden fruit, they became people who could no longer see their nakedness as God's family members."
"Bere a Amalekfo kɔtow hyɛɛ Siklag so no , wɔfaa Dawid ne ne mmarima yerenom ne wɔn mma kɔe .","When the Amalekites raided the city of Ziklag , they carried off David 's wives and children as well as those of his men .",,"When the Amalekites attacked Siklag and took it, they had taken David's and his men's wives and children captive."
"Bere a Budny rekyerɛ ase no , ɔtoo ne bo ase susuw asɛmfua biara ne nea ɛbata ho ho wɔ ɔkwan a na obiara nyɛɛ saa da so wɔ Poland .","When translating , Budny thoroughly analyzed every word and its variants in a way no one in Poland had done before .",,"Before the Second World War, he made his home and any utterance or action on the way that anyone took that day in Poland."
"Bere a Dawid rekasa akyerɛ odiyifo Natan no , ɔkae sɛ : "" Hwɛ , me de , mete nkyeneduru dan mu , na [ Yehowa , NW ] apam adaka no wɔ ntama ase . "" - 1 Beresosɛm 17 : 1 .","Speaking to the prophet Nathan , David said : "" Here I am dwelling in a house of cedars , but the ark of the covenant of Jehovah is under tent cloths . "" - 1 Chronicles 17 : 1 .",,"When David had settled into his house, he spoke to the prophet Nathan, saying: 'Here I am, living in a house of cedar, but the ark of the covenant of the Lord is under tent cloths.'"" - 1 Chronicles 17:1"
"Bere a Elisa somfo sɔre kɔɔ abɔnten no , ohuu atamfo a wɔrepɛ odiyifo no akyere no no .","When Elisha 's attendant arose and went outside , he saw the prophet 's would - be captors .",,"When Elisa the prophet went to the river, she met the servants who were waiting for the prophet's servant."
"Bere a Hindusom fii ase wɔ Indus ho no , Buddhasom fii ase wɔ Ganga ho .","While Hinduism was started around the Indus , Buddhism has its roots near the Ganga .",,"Just as Hinduism originated from the Indus, Buddhism originated from the Ganges."
"Bere a Israel mmea fii ase yii Dawid ayɛ sɛ ɔyɛ ɔsraani ɔkokodurufo no , Ɔhene Saul benyaa Dawid ho tan araa ma ɔtow peaw sɛ ɔde rewɔ no mpɛn abien .","When the women of Israel began praising David for his military prowess , King Saul became so consumed with jealousy that on two occasions he hurled his spear at David .",,"Now the Israelites had come to fight against David, the king Saul became jealous of David and tried to kill him twice."
Bere a Macbeth kenkanee Nyan !,Upon reading an Awake !,,The witch has possessed Macbeth!
"Bere a Mary san nyinsɛnee no , wɔkaa biribi a na yɛnhwɛ kwan koraa ho asɛm kyerɛɛ yɛn .","When Mary became pregnant again , a big surprise awaited us .",,"When Mary gave her testimony, they shared something we had never heard before with us."
