text,ref,Unnamed: 2,translated,similarity_score
"Awiei koraa no , bere a midii bɛyɛ asram du wɔ afiase no , wodii m 'asɛm gyaee me .","Finally , after about ten months in prison , I was brought to trial and released .",,"Eventually, when I had spent about ten weeks in the village, they held a meeting and dismissed me.",0.38468593
"Awiei koraa no , mifii sraadi no mu , nanso na meda so ara wɔ ɔhaw mu .","Finally , I left the army , but I still had trouble .",,"Even at the end, I came out of the prison, but I was still in trouble.",0.41566837
"Awiei koraa no , wɔyɛɛ sɔhwɛ a ɛma wogye obi wɔ Australia Ballet Kuw no mu wɔ June 1970 mu .","Finally , in June 1970 , auditions for the Australian Ballet Company were held .",,"Finally, an audition was held for the Australian Ballet Company in June 1970.",0.97053987
Awo Bere Ho Amanne no a Yɛbɛhwɛ no Yiye,A Closer Look at Nativity Traditions,,A Closer Look at the Customs of the Awo Bere Festival,0.406833
"Awofo , so mopɛ sɛ mo mma suasua amanne a ɛyɛ hu yi ?","Parents , do you want your children imitating these sinister rituals ?",,"Parents, do you also want your children to learn this shameful culture?",0.5910657
"Awofo a wɔwɔ mmusua a ɛte saa mu fi ɔdɔ mu ma wɔn ani kũ wɔn mma ho , na wɔma wonya gyinapɛn ne botae horow a ɛfata .",Parents of such families provide their children with loving attention and impart to them proper values and goals .,,Parents in such families lovingly care for their children and provide them with appropriate guidance and goals.,0.93654096
Ayarefo 13 a aka no gyee mogya .,The other 13 patients received blood .,,13 patients received blood.,0.9520938
Ayeyi ne Adɛfɛdɛfɛsɛm Ho Nkyerɛkyerɛmu,Praise and Flattery Defined,,Praise and Worship Commentary,0.3984762
"BAKERSFIELD , CA ( Spania kasa nkutoo ) , Rabobank Arena , 1001 Truxtun Ave .","BAKERSFIELD , CA ( Spanish only ) , Rabobank Arena , 1001 Truxtun Ave .",,"Bakersfield, CA (Spanish only), Rabobank Arena, 1001 Truxtun Ave.",0.99999994
"BERE A ƆWƐMFO BI BOBƆƆ M 'ASOM ESIANE SƐ MANYƐ NASIFO AKOHYƐN A ƐTOTO APRƐM HO NNEƐMA NTI NO , ƆWƐMFO FOFORO KA KYERƐƐ NO SƐ : "" ƐBƐYƐ PAPA SƐ WUGYAE .","WHEN A GUARD REPEATEDLY HIT ME IN THE FACE BECAUSE I REFUSED TO WORK ON PARTS FOR NAZI BOMBERS , ANOTHER GUARD SAID TO HER : "" YOU MIGHT AS WELL STOP .",,"When a certain priest was about to excommunicate me because I had made a collection of ancient artifacts around April, another priest told him: ""It would be better if you stopped.""",0.49128804
BERE BƐN NA YESU BA ?,WHEN DOES JESUS COME ?,,WHEN WILL JESUS COME?,0.9835466
"BIBLE AFOTUSƐM : "" Mommma sikanibereɛ mmma mo asetena mu , na momma deɛ mowɔ no ara nnɔɔso mma mo . "" - Hebrifoɔ 13 : 5 .","BIBLE PRINCIPLE : "" Let your way of life be free of the love of money , while you are content with the present things . "" - Hebrews 13 : 5 .",,"""Let your conversation be without covetousness; and be content with such things as ye have: for he hath said, I will never leave thee, nor forsake thee."" - Hebrews 13:5",0.34037766
BIBLE MA YENYA NSƐMMISA A ƐHO HIA PA ARA WƆ ASETENAM NO HO MMUAE . EBI NE :,"THE BIBLE ALSO ANSWERS LIFE 'S BIG QUESTIONS , SUCH AS :",,THE BIBLE PROVIDES US WITH ANSWERS TO THE MOST IMPORTANT QUESTIONS OF LIFE. SOME OF THEM ARE:,0.8603253
Baabiara a Wusiw Wɔ no Ogya Wɔ Hɔ,Where There 's Smoke There 's Fire,,"Wherever there is smoke, there is fire",0.9083049
"Bayie no ma wo ahofadi a wode bɛpaw Nyame ko a wopɛ sɛ wosom no , na ɛma wunya kwan de di w 'ankasa Nyame ni . ""","The Craft gives you the freedom to pick and subsequently honor your own forms of the Divine . """,,"""The sacrifice gives you the freedom to choose which God you want to serve, and it enables you to have your own personal God.""",0.4782212
Ben : Saa pɛpɛɛpɛ .,Mauricio : Precisely .,,Ben: That's very good.,0.35966232
Ben Asher Abusua No,The Ben Asher Family,,Ben Asher's Family,0.9321699
