Model,Similarity Score (%),Raw Score
kimi-k2-instruct-0905,72.73%,72.73404939820205
deepseek-v3.1,70.82%,70.82126773024983
llama-3.1-405b-instruct,66.40%,66.39833772647059
gemini-2.5-flash,66.05%,66.04897054036458
llama-4-maverick-17b-128e-instruct,65.85%,65.84950748365671
llama-3.3-70b-instruct,60.23%,60.2250089771875
mistral-medium-3-instruct,52.74%,52.74495473271169
claude-sonnet-4-5,49.14%,49.13817823531237
gemma-2-9b-it,46.90%,46.898560913103076
gpt-4.1,45.09%,45.093650817871094
qwen3-235b-a22b,44.53%,44.53286137171829
gemma-2-27b-it,43.00%,43.00212683596311
qwen3-32b,40.78%,40.776664919999995
palmyra-med-70b,39.55%,39.5519984
gemma2-9b-it,34.78%,34.77953388
seed-oss-36b-instruct,27.69%,27.68860623089718
qwq-32b,27.28%,27.280074804261595
gpt-oss-120b,27.15%,27.146935923215953
mistral-7b-instruct-v0.3,25.78%,25.775698320000007
