Model,BLEU,chrF,Average,BLEU_raw,chrF_raw,Average_raw
gemini-2.5-flash,21.48,31.82,26.65,21.48382012269679,31.817780039281352,26.65080008098907
claude-sonnet-4-5,13.30,27.24,20.27,13.300116941224493,27.235643280511965,20.26788011086823
llama-4-maverick-17b-128e-instruct,9.56,26.06,17.81,9.557083774398006,26.056700600473608,17.806892187435807
kimi-k2-instruct-0905,5.88,28.16,17.02,5.875581881262648,28.158888281721737,17.017235081492192
gpt-4.1,6.17,27.09,16.63,6.167940872397263,27.088545744992857,16.62824330869506
mistral-medium-3-instruct,5.26,26.62,15.94,5.256886485157955,26.621393422316356,15.939139953737156
llama-3.3-70b-instruct,7.30,23.19,15.25,7.299435237743245,23.19166157828772,15.245548408015484
deepseek-v3.1,0.06,29.67,14.87,0.06101018957710146,29.67236129386555,14.866685741721325
gemma-2-9b-it,8.29,21.26,14.78,8.293780155900174,21.259515622503127,14.776647889201652
llama-3.1-405b-instruct,3.82,25.20,14.51,3.8194159046977187,25.198359986025306,14.508887945361511
qwen3-235b-a22b,3.98,24.92,14.45,3.979278124471254,24.924454234541223,14.451866179506238
qwq-32b,5.76,22.38,14.07,5.760009107710788,22.378647505322206,14.069328306516496
gemma2-9b-it,7.17,19.62,13.40,7.172667185723055,19.624189011056103,13.39842809838958
gpt-oss-120b,6.59,19.91,13.25,6.585865159374887,19.912908573117818,13.249386866246352
seed-oss-36b-instruct,2.26,23.51,12.88,2.260960191138009,23.506672888743754,12.88381653994088
mistral-7b-instruct-v0.3,2.84,22.68,12.76,2.8423265381137037,22.68209029116083,12.762208414637266
gemma-2-27b-it,5.19,20.20,12.70,5.189906102049057,20.203267870060287,12.696586986054673
qwen3-32b,4.64,20.35,12.50,4.644490371552311,20.353700155353273,12.499095263452793
palmyra-med-70b,5.17,18.47,11.82,5.174135388923546,18.472802730505926,11.823469059714736
