Model,BLEU,chrF,Average,BLEU_raw,chrF_raw,Average_raw
gemini-2.5-flash,5.75,26.11,15.93,5.750359469184087,26.112726672153542,15.931543070668816
gemma2-9b-it,6.98,23.54,15.26,6.977051287104327,23.53864026125939,15.257845774181856
gpt-4.1,5.64,24.72,15.18,5.64351680054996,24.721415848778616,15.182466324664286
claude-sonnet-4-5,5.26,24.98,15.12,5.259504347768872,24.984568197111354,15.122036272440115
palmyra-med-70b,3.01,22.97,12.99,3.0085685578968127,22.974963557810703,12.991766057853761
qwen3-32b,2.84,22.01,12.42,2.8415850120972697,22.006870928554253,12.424227970325763
llama-3.3-70b-instruct,2.86,20.56,11.71,2.8629265153502454,20.558711079596044,11.710818797473145
seed-oss-36b-instruct,2.44,20.56,11.50,2.437603346229159,20.55924720893972,11.498425277584442
kimi-k2-instruct-0905,2.52,19.97,11.25,2.5249119978292027,19.96672867799107,11.245820337910137
llama-4-maverick-17b-128e-instruct,2.12,20.26,11.19,2.121192393952494,20.256691317065094,11.188941855508794
llama-3.1-405b-instruct,1.93,20.17,11.05,1.9291286036409145,20.169340049212458,11.049234326426685
qwen3-235b-a22b,2.38,19.05,10.72,2.37979844518294,19.05328938087477,10.716543913028856
mistral-medium-3-instruct,1.96,19.18,10.57,1.957654176334825,19.18052660978552,10.569090393060172
deepseek-v3.1,2.06,18.96,10.51,2.055989536823207,18.955965344222264,10.505977440522734
qwq-32b,1.96,18.76,10.36,1.9610241061285463,18.7567809053848,10.358902505756674
mistral-7b-instruct-v0.3,2.06,18.48,10.27,2.0607263530670954,18.476229562582297,10.268477957824697
gpt-oss-120b,2.43,17.69,10.06,2.433365899784968,17.691813675348513,10.062589787566742
gemma-2-27b-it,2.37,17.64,10.01,2.3726790873142756,17.637873942335464,10.00527651482487
gemma-2-9b-it,1.94,17.87,9.90,1.9376827784314896,17.867455184691472,9.902568981561481
