Translation Benchmark Results for bov-eng
Generated on: 2026-01-19 11:10:33

Model Performance:
gemini-2.5-flash: 44.53%
claude-sonnet-4-5: 41.53%
qwen3-32b: 39.38%
gpt-4.1: 38.73%
palmyra-med-70b: 38.12%
seed-oss-36b-instruct: 35.07%
llama-4-maverick-17b-128e-instruct: 35.06%
gemma2-9b-it: 34.09%
gemma-2-9b-it: 32.80%
qwen3-235b-a22b: 32.27%
kimi-k2-instruct-0905: 31.70%
llama-3.1-405b-instruct: 31.43%
mistral-7b-instruct-v0.3: 29.71%
deepseek-v3.1: 28.22%
llama-3.3-70b-instruct: 28.09%
gemma-2-27b-it: 28.05%
mistral-medium-3-instruct: 26.28%
qwq-32b: 23.85%
gpt-oss-120b: 21.72%

Best Model: gemini-2.5-flash (44.53%)
Average Score: 32.66%
