Model,Similarity Score (%),Raw Score
gemini-2.5-flash,46.22%,46.22040557861328
claude-sonnet-4-5,42.06%,42.063673655192055
palmyra-med-70b,38.78%,38.7826666
gpt-4.1,36.80%,36.79798380533854
qwen3-32b,36.26%,36.256639166666666
kimi-k2-instruct-0905,31.20%,31.198551758608733
llama-4-maverick-17b-128e-instruct,30.94%,30.93960820484834
deepseek-v3.1,30.69%,30.693623343910847
llama-3.1-405b-instruct,29.97%,29.97204511326287
llama-3.3-70b-instruct,29.94%,29.941989741410847
qwen3-235b-a22b,29.17%,29.168051445792738
gemma-2-27b-it,28.37%,28.369442037028804
qwq-32b,27.62%,27.62316528719148
gemma-2-9b-it,27.36%,27.362997785460934
mistral-medium-3-instruct,27.00%,26.99849459328621
gpt-oss-120b,26.84%,26.844918564546127
seed-oss-36b-instruct,25.90%,25.898883402132938
gemma2-9b-it,21.10%,21.099981292
mistral-7b-instruct-v0.3,20.50%,20.502648519999997
