Translation Benchmark Results for sig-eng
Generated on: 2026-01-19 12:02:44

Model Performance:
gemini-2.5-flash: 46.22%
claude-sonnet-4-5: 42.06%
palmyra-med-70b: 38.78%
gpt-4.1: 36.80%
qwen3-32b: 36.26%
kimi-k2-instruct-0905: 31.20%
llama-4-maverick-17b-128e-instruct: 30.94%
deepseek-v3.1: 30.69%
llama-3.1-405b-instruct: 29.97%
llama-3.3-70b-instruct: 29.94%
qwen3-235b-a22b: 29.17%
gemma-2-27b-it: 28.37%
qwq-32b: 27.62%
gemma-2-9b-it: 27.36%
mistral-medium-3-instruct: 27.00%
gpt-oss-120b: 26.84%
seed-oss-36b-instruct: 25.90%
gemma2-9b-it: 21.10%
mistral-7b-instruct-v0.3: 20.50%

Best Model: gemini-2.5-flash (46.22%)
Average Score: 30.88%
