Model,BLEU,chrF,Average,BLEU_raw,chrF_raw,Average_raw
claude-sonnet-4-5,19.55,32.20,25.88,19.554016376461806,32.19858419039646,25.87630028342913
gpt-4.1,17.93,27.86,22.89,17.92725955004355,27.860491611803713,22.893875580923634
gemini-2.5-flash,12.74,30.09,21.41,12.740810460323601,30.087214779342435,21.414012619833017
llama-3.1-405b-instruct,12.06,28.47,20.27,12.062940248564933,28.46744160342023,20.26519092599258
kimi-k2-instruct-0905,7.17,29.89,18.53,7.1726671857230535,29.88810100083292,18.530384093277988
palmyra-med-70b,11.65,24.04,17.85,11.6539074539151,24.039170067814787,17.846538760864945
llama-3.3-70b-instruct,5.29,29.89,17.59,5.291907393644995,29.892605358530144,17.59225637608757
deepseek-v3.1,9.57,25.16,17.36,9.571879004652777,25.156807889016193,17.364343446834486
qwen3-235b-a22b,7.91,25.90,16.90,7.908296848436197,25.897997572035283,16.90314721023574
llama-4-maverick-17b-128e-instruct,5.78,27.58,16.68,5.7783239927083425,27.58467932988729,16.681501661297816
mistral-medium-3-instruct,3.76,27.38,15.57,3.759223836863586,27.38254089031736,15.570882363590474
gemma-2-27b-it,6.81,22.44,14.62,6.809398432036521,22.43948441210267,14.624441422069594
gemma2-9b-it,5.41,23.28,14.34,5.40720504024078,23.28055652155837,14.343880780899575
gpt-oss-120b,4.35,24.13,14.24,4.348949343910558,24.133176526790226,14.241062935350392
qwq-32b,4.82,23.41,14.11,4.818705793464987,23.409871247830974,14.11428852064798
qwen3-32b,7.13,20.94,14.03,7.126955677090929,20.939212209109385,14.033083943100157
mistral-7b-instruct-v0.3,9.04,18.20,13.62,9.042713792226897,18.203480987531215,13.623097389879057
gemma-2-9b-it,5.58,21.45,13.51,5.577144216540393,21.446831197552413,13.511987707046403
seed-oss-36b-instruct,2.87,23.88,13.37,2.865219607346697,23.8783052747616,13.371762441054148
