Model,Similarity Score (%),Raw Score
llama-4-maverick-17b-128e-instruct,46.33%,46.32795811717684
gemini-2.5-flash,41.75%,41.74779923756917
mistral-medium-3-instruct,40.60%,40.59900988986681
deepseek-v3.1,39.67%,39.67285100615934
kimi-k2-instruct-0905,39.42%,39.42364286916703
qwen3-235b-a22b,37.96%,37.963534854240706
gemma-2-9b-it,37.91%,37.90616189416872
claude-sonnet-4-5,37.52%,37.52346324920654
llama-3.1-405b-instruct,36.57%,36.57308330724813
gemma-2-27b-it,35.86%,35.85921866526019
seed-oss-36b-instruct,35.30%,35.29760777268442
gemma2-9b-it,34.39%,34.38878302695999
gpt-4.1,34.01%,34.00592199961344
qwen3-32b,33.96%,33.95901709416667
llama-3.3-70b-instruct,32.32%,32.3201906045365
qwq-32b,31.24%,31.235827801772786
palmyra-med-70b,29.24%,29.235257200000003
gpt-oss-120b,27.09%,27.092389261016752
mistral-7b-instruct-v0.3,24.71%,24.709282851000005
