Model,BLEU,chrF,Average,BLEU_raw,chrF_raw,Average_raw
gemini-2.5-flash,6.34,27.82,17.08,6.3355476585493005,27.816040498555,17.07579407855215
claude-sonnet-4-5,5.21,26.08,15.65,5.21277041773897,26.084289368011927,15.64852989287545
gpt-4.1,4.18,24.32,14.25,4.179740002402829,24.323837881882657,14.251788942142745
palmyra-med-70b,2.13,21.78,11.96,2.1307104942218555,21.782886938729824,11.95679871647584
deepseek-v3.1,3.48,20.28,11.88,3.482779727097217,20.275447068901325,11.879113397999271
qwen3-32b,2.21,20.94,11.58,2.2121787926523546,20.94356702260517,11.577872907628764
llama-4-maverick-17b-128e-instruct,2.79,19.33,11.06,2.789406477419067,19.333134278181902,11.061270377800485
mistral-7b-instruct-v0.3,1.89,19.70,10.79,1.8923880116486458,19.696450059202444,10.794419035425545
kimi-k2-instruct-0905,2.68,18.81,10.75,2.6816195357982364,18.81344862724654,10.747534081522389
llama-3.1-405b-instruct,2.19,19.26,10.73,2.194785757407925,19.264401768059937,10.729593762733932
gemma-2-27b-it,2.87,18.12,10.50,2.8749288316884813,18.123891758317566,10.499410295003024
seed-oss-36b-instruct,2.22,18.69,10.45,2.2161853003335845,18.689152728916902,10.452669014625243
qwq-32b,2.76,18.00,10.38,2.763231778147335,18.000003356843,10.381617567495168
qwen3-235b-a22b,2.68,17.91,10.30,2.684606927040478,17.910931783242514,10.297769355141495
gemma-2-9b-it,2.75,16.96,9.85,2.7451344469451207,16.963182108932973,9.854158277939046
mistral-medium-3-instruct,2.22,17.26,9.74,2.2180761621651244,17.26491288150103,9.741494521833078
gpt-oss-120b,2.69,16.58,9.64,2.693543116444168,16.580268297733365,9.636905707088767
gemma2-9b-it,2.26,16.72,9.49,2.261279295603157,16.715140690517686,9.488209993060421
llama-3.3-70b-instruct,2.27,16.63,9.45,2.2731545311082053,16.625286019332073,9.449220275220139
