Translation Benchmark Results for sig-eng
Generated on: 2026-01-16 14:45:15

Model Performance:
gemini: 48.32%
claude: 42.25%
palmyra-med-70b: 38.78%
chatgpt: 37.47%
qwen3-32b: 35.19%
kimi-k2-instruct-0905: 31.20%
llama-4-maverick-17b-128e-instruct: 30.94%
deepseek-v3.1: 30.69%
llama-3.1-405b-instruct: 29.97%
llama-3.3-70b-instruct: 29.94%
qwen3-235b-a22b: 29.17%
qwq-32b: 27.54%
gemma-2-27b-it: 27.47%
mistral-medium-3-instruct: 27.00%
gpt-oss-120b: 26.59%
seed-oss-36b-instruct: 25.90%
gemma-2-9b-it: 25.19%
gemma2-9b-it: 21.10%
mistral-7b-instruct-v0.3: 20.50%

Best Model: gemini (48.32%)
Average Score: 30.80%
