ref,text,translated,similarity_score,source_zip_file,bleu_score,chrf_score,avg_score
"Jesus took the five loaves and the two fish. He looked up toward heaven and blessed the food. Then he broke the bread and handed it to his disciples to give to the people. He also divided the two fish, so everyone could have some.","Ti Yezu dikɛ boroboro banuu la zim i yi' la, gorege bihɛ saazuo, purɛ sum bahɛ dia la zuo gee fige boroboro la, dikɛ bo' a zahereba la yeti, ba to'e tɔrɛ nɛreba la, gee figehe zim i yi' la me bo' ba za'a.","In the beginning, Jesus spoke many words, and he created the earth and the heavens, and he called together the stars and the many waters, and he spoke his word, and there was light, and he separated the day from the night, and the waters were in the beginning, and the earth was empty.",0.44272512,output_mich001,1.870493404082208,24.9574347564211,13.413964080251654
"But if the sky is red and gloomy in the morning, you say it is going to rain. You can tell what the weather will be like by looking at the sky. But you don't understand what is happening now.","Ti bulika me, ya wan yeti, ‘Sabeeo wan lobe zina se'ere en sɔi la, sagbama la mu'ɛ mɛ gee bɔta saa.’ Ya mi' sagbama yɛla pa'ala, gee ya kan ta'am pa'alɛ saŋa woo daalehum en de se'em.","He said to me, 'The Strong One, the Wise One has spoken to the people, and the king has given the word of the ancestors.' He said, 'The king has spoken, the word that you have heard is the truth that will remain forever.'",0.24245158,output_mich001,1.2780430106230567,21.92029321329895,11.599168111961005
"But instead of staying in Nazareth, Jesus moved to Capernaum. This town was beside Lake Galilee in the territory of Zebulun and Naphtali.","A bahɛ Nazareti mɛ, gee kiŋɛ ta kɛ'ɛra Kapɛnum en lɛm ateko la, bɔna Zebulun la Nafetali sɔ'ɔlum puan la,",,-0.024241222,output_mich001,0.0,0.0,0.0
God blesses those people who are humble. The earth will belong to them!,"“Sum boi mɛ la sɛba en sigehe ba mɛhi, bamam n wan nyɛ tiŋa wa nyuurɔ.","My son is going to the market and to the village, I will prepare food for him.",0.18069935,output_mich001,2.6643211213888947,22.511242819962714,12.587781970675804
"In every village or farm or marketplace where Jesus went, the people brought their sick to him. They begged him to let them just touch his clothes, and everyone who did was healed.","Ti zi'an woo ti Yezu kiŋɛ, tinkãra bii timbibehi puan, bii va'am puan, nɛreba ni tari la bã'duma yehe na beŋe da'ahi puan, gee belum en ti a bahɛ ti ba yeen kalum a fuo la timpaberɛ, ti se'em woo n ni kalum ni sirum nyɛ la tibegɔ.","The one who is called Jesus the King, the way of life, the truth, the light of the world, the gate for the sheep, the shepherd of the flock, the bread of life.",0.2380614,output_mich001,2.4181756076515732,22.361089390513108,12.38963249908234
"When Jesus and his disciples were near the town of Caesarea Philippi, he asked them, “What do people say about the Son of Man?”","Yezu en paaɛ Kasariya Filipi tiŋa puan ba'ahɛ la, ti a nyaa soke a zahereba la yeti, “Nɛreba yeti mam Asaala Dayua wa dela ani?”","Jesus went to the house of Philip of Kasariya in the town of Philip, then he went to a certain place and said, ""Where are you from, Jesus, from the beginning?""",0.58305633,output-onesimus_003,4.9918233114942465,29.47954043105532,17.23568187127478
"At once the man's leprosy disappeared, and he was well.",Bilam bilam ti a kunkom la bahɛ en ti a iŋa saalum.,Bilam Bilam is working in the community and they are people together.,0.10038878,output-onesimus_003,4.065425428798724,18.778913621584216,11.422169525191471
Right then the two brothers dropped their nets and went with him.,Bilam bilam ti ba bahɛ ba yugehi la gee doohe en.,I really want to be with the people and they help me.,0.04327678,output-onesimus_003,4.368583925857938,18.314444912454736,11.341514419156336
Haven't you read in the Law of Moses that the priests are allowed to work in the temple on the Sabbath? But no one says they are guilty of breaking the law of the Sabbath.,"Bii ya ka kãalɛ nɔze'elego la puan, ti vo'ohego dabehere la, malema duma la en boi pu'uhegɔ yire la galum vo'ohego dabeherɛ la mɛ gee ti la ka galum?","Why don't you have the strength to go there and carry the burden on your back, when you have already prepared the path and the boat is ready? Why don't you start the journey now?",0.12276924,output-onesimus_003,1.6785205684066813,24.578463312914558,13.12849194066062
"When Jesus came to Jerusalem, everyone in the city was excited and asked, “Who can this be?”","Yezu en ta kɛ̃ Yerusalɛm la, tiŋa la za'a gbirege mɛ, sɔkera yeti, “Ani n de ena wa?”","When Jesus came to Jerusalem, the crowd saw him and said, ""Where is this one from?""",0.81553733,output-onesimus_003,26.035572673286655,43.450169504212475,34.74287108874957
