Model,BLEU,chrF,Average,BLEU_raw,chrF_raw,Average_raw
claude-sonnet-4-5,48.36,26.08,37.22,48.362473726532365,26.084289368011927,37.22338154727215
gpt-4.1,44.59,24.32,34.46,44.59245757344275,24.323837881882657,34.458147727662706
gemini-2.5-flash,30.84,27.82,29.33,30.839236477933014,27.816040498555,29.327638488244006
qwen3-32b,16.01,20.94,18.48,16.00703030791068,20.94356702260517,18.475298665257924
kimi-k2-instruct-0905,16.87,18.81,17.84,16.871203907150655,18.81344862724654,17.842326267198597
llama-4-maverick-17b-128e-instruct,10.07,19.33,14.70,10.07470807853229,19.333134278181902,14.703921178357096
llama-3.1-405b-instruct,9.61,19.26,14.44,9.611620285180416,19.264401768059937,14.438011026620178
deepseek-v3.1,8.34,20.28,14.31,8.339775806898658,20.275447068901325,14.307611437899991
mistral-7b-instruct-v0.3,7.20,19.70,13.45,7.200062223352653,19.696450059202444,13.448256141277549
seed-oss-36b-instruct,7.00,18.69,12.85,7.00452395445262,18.689152728916902,12.84683834168476
qwen3-235b-a22b,7.66,17.91,12.78,7.658412276041004,17.910931783242514,12.784672029641758
palmyra-med-70b,3.19,21.78,12.49,3.1876202279142682,21.782886938729824,12.485253583322047
gemma-2-9b-it,7.22,16.96,12.09,7.223943354597204,16.963182108932973,12.093562731765088
mistral-medium-3-instruct,6.42,17.26,11.84,6.423094863383858,17.26491288150103,11.844003872442443
llama-3.3-70b-instruct,6.42,16.63,11.52,6.423094863383858,16.625286019332073,11.524190441357966
qwq-32b,3.85,18.00,10.92,3.8461875130248733,18.000003356843,10.923095434933936
gemma-2-27b-it,3.31,18.12,10.72,3.3073817730640855,18.123891758317566,10.715636765690826
gemma2-9b-it,2.31,16.72,9.51,2.313323747289043,16.715140690517686,9.514232218903365
gpt-oss-120b,0.00,16.58,8.29,0.0,16.580268297733365,8.290134148866683
