Model,BLEU,chrF,Average,BLEU_raw,chrF_raw,Average_raw
kimi-k2-instruct-0905,2.93,20.17,11.55,2.9311576649344704,20.168400562723424,11.549779113828949
gemini-2.5-flash,3.27,18.53,10.90,3.271530091247463,18.528489754102193,10.900009922674828
claude-sonnet-4-5,3.07,18.03,10.55,3.073095188172597,18.029506487264502,10.551300837718548
llama-4-maverick-17b-128e-instruct,2.28,18.40,10.34,2.277202461591859,18.39783479721026,10.337518629401059
deepseek-v3.1,2.29,18.25,10.27,2.293502052302806,18.250134215320443,10.271818133811625
gpt-4.1,2.85,17.08,9.97,2.850929782392503,17.084510114565823,9.967719948479163
mistral-7b-instruct-v0.3,2.68,17.17,9.92,2.6819099838069076,17.166542324388082,9.924226154097495
mistral-medium-3-instruct,2.33,17.11,9.72,2.329263305322766,17.113127672583683,9.721195488953223
palmyra-med-70b,2.77,16.56,9.67,2.774885389602621,16.556546297370197,9.665715843486408
seed-oss-36b-instruct,2.16,16.81,9.48,2.156637565881317,16.80588241077789,9.481259988329603
qwq-32b,2.20,16.43,9.32,2.201611542979953,16.42898731192379,9.315299427451874
llama-3.3-70b-instruct,2.28,16.27,9.27,2.278814742883699,16.2669369742769,9.272875858580298
qwen3-235b-a22b,2.44,15.58,9.01,2.444311914240248,15.575639029949121,9.009975472094686
llama-3.1-405b-instruct,2.13,15.81,8.97,2.125077152437498,15.810784804236768,8.967930978337133
gpt-oss-120b,2.52,15.05,8.79,2.524806102981052,15.048008863292505,8.786407483136779
gemma-2-27b-it,2.32,15.24,8.78,2.3160126530053198,15.237229514739386,8.776621083872351
gemma2-9b-it,2.77,14.63,8.70,2.7706415055294893,14.630197378573417,8.700419442051453
qwen3-32b,2.34,14.94,8.64,2.3446504620886905,14.942517904386182,8.643584183237436
gemma-2-9b-it,2.33,14.92,8.62,2.327703372004411,14.919925672181385,8.623814522092896
