Model,BLEU,chrF,Average,BLEU_raw,chrF_raw,Average_raw
gemini-2.5-flash,7.22,29.41,18.32,7.223646707996516,29.407448009695557,18.315547358846032
claude-sonnet-4-5,5.07,26.12,15.60,5.074504265412101,26.122443232922688,15.598473749167393
gpt-4.1,4.02,23.48,13.75,4.018506940874163,23.483966900208248,13.751236920541205
kimi-k2-instruct-0905,2.94,23.36,13.15,2.940643441246317,23.358739794312218,13.149691617779265
llama-4-maverick-17b-128e-instruct,2.22,23.56,12.89,2.2195397952841773,23.55593590854078,12.887737851912476
deepseek-v3.1,2.41,23.35,12.88,2.4142184281798484,23.353268349334858,12.883743388757356
mistral-medium-3-instruct,2.20,22.17,12.18,2.1953957673788596,22.17410750314232,12.18475163526059
qwen3-32b,2.74,21.47,12.10,2.736495978026982,21.47228785769653,12.104391917861754
llama-3.1-405b-instruct,2.99,21.06,12.03,2.9947304356712645,21.056594953476832,12.025662694574049
qwen3-235b-a22b,2.14,21.30,11.72,2.144932490090372,21.296955133294503,11.720943811692436
mistral-7b-instruct-v0.3,1.96,21.14,11.55,1.964825239487634,21.14249616927284,11.553660704380233
seed-oss-36b-instruct,1.76,21.08,11.42,1.7629008614977855,21.082101573030595,11.422501217264191
palmyra-med-70b,2.13,20.50,11.32,2.134834869587549,20.502347956798907,11.31859141319323
llama-3.3-70b-instruct,1.91,20.61,11.26,1.9057088528647075,20.60725780657329,11.256483329719
gemma-2-27b-it,1.92,20.53,11.23,1.9221334384388848,20.53053312700973,11.226333282724308
gemma2-9b-it,2.59,19.39,10.99,2.5866414813451026,19.393263446043886,10.989952463694497
qwq-32b,1.70,19.72,10.71,1.6993584105955268,19.715231511618633,10.70729496110708
gpt-oss-120b,1.93,19.11,10.52,1.9259704915770453,19.11243802372933,10.519204257653186
gemma-2-9b-it,1.56,16.28,8.92,1.5603495464722423,16.282138884864057,8.92124421566815
