url,lang_code
https://www.bible.com/bible/1804/MAT.1.TPMNT,tpm
https://www.bible.com/bible/1613/GEN.1.AL,ewe
https://www.bible.com/bible/1938/GEN.1.VAG,vag
https://www.bible.com/bible/2168/MAT.1.CKO,cko
https://www.bible.com/bible/1751/MAT.1.BIB,bib
https://www.bible.com/bible/255/PSA.1.NKO,nko
https://www.bible.com/bible/1796/MAT.1.SNW,snw
https://www.bible.com/bible/1773/MAT.1.LIP,lip
https://www.bible.com/bible/2235/GEN.1.BASSARDC,bud
https://www.bible.com/bible/1836/MAT.1.NAW,naw
https://www.bible.com/bible/2148/MAT.1.BIV,biv
https://www.bible.com/bible/2176/GEN.1.BWU,bwu
https://www.bible.com/bible/1499/GEN.1.HAG,hag
https://www.bible.com/bible/2717/GEN.1.NB,nzi
https://www.bible.com/bible/2553/GEN.1.SIS,sil
https://www.bible.com/bible/2989/ACT.1.NYB,nyb
https://www.bible.com/bible/1752/MAT.1.BOV,bov
https://www.bible.com/bible/1978/MAT.1.SIGDBLNT,sig
https://www.bible.com/bible/2442/GEN.1.LEF,lef
https://www.bible.com/bible/1738/MAT.1.AKP,akp
https://www.bible.com/bible/1838/MAT.1.BIM,bim
https://www.bible.com/bible/2710/GEN.1.EBP,sfw
https://www.bible.com/bible/3070/MAT.1.TCD,tcd
https://www.bible.com/bible/1460/MAT.1.KUGL,xon
