lang,url
Ahanta,https://www.jw.org/tw/nhomakorabea/?contentLanguageFilter=aha
Asante Twi,https://www.jw.org/tw/nhomakorabea/?contentLanguageFilter=tw_x_tws
Akuapem Twi,https://www.jw.org/tw/nhomakorabea/?contentLanguageFilter=tw_x_twk
Anyin,https://www.jw.org/tw/nhomakorabea/?contentLanguageFilter=any-ci
Bisa,https://www.jw.org/tw/nhomakorabea/?contentLanguageFilter=bib
Dagbani,https://www.jw.org/tw/nhomakorabea/?contentLanguageFilter=dag
Dangme,https://www.jw.org/tw/nhomakorabea/?contentLanguageFilter=ada
Farefare,https://www.jw.org/tw/nhomakorabea/?contentLanguageFilter=gur
Ga,https://www.jw.org/tw/nhomakorabea/?contentLanguageFilter=gaa
Kasem,https://www.jw.org/tw/nhomakorabea/?contentLanguageFilter=xsm
Kusaal,https://www.jw.org/tw/nhomakorabea/?contentLanguageFilter=kus
Nzema,https://www.jw.org/tw/nhomakorabea/?contentLanguageFilter=nzi
