Model,BLEU,chrF,Average,BLEU_raw,chrF_raw,Average_raw
gemini-2.5-flash,7.99,30.29,19.14,7.993298323310084,30.291950263354945,19.142624293332513
claude-sonnet-4-5,4.81,25.08,14.95,4.8122154651409454,25.082717373205256,14.9474664191731
gpt-4.1,4.80,24.08,14.44,4.803256460953832,24.081448621069114,14.442352541011475
palmyra-med-70b,3.75,22.29,13.02,3.7528756251748066,22.285987092723538,13.019431358949172
kimi-k2-instruct-0905,3.60,22.02,12.81,3.597332628856643,22.023847396099253,12.810590012477949
llama-4-maverick-17b-128e-instruct,2.36,22.50,12.43,2.357610288399016,22.501316980851588,12.429463634625302
qwen3-32b,2.95,21.83,12.39,2.949406876585962,21.833675109172418,12.391540992879191
mistral-medium-3-instruct,2.74,21.53,12.13,2.736510113998765,21.531783106370405,12.134146610184583
deepseek-v3.1,2.51,21.07,11.79,2.5079917129013705,21.065343443685755,11.786667578293562
llama-3.1-405b-instruct,2.17,20.74,11.46,2.172071267208925,20.744833022128997,11.458452144668959
seed-oss-36b-instruct,2.17,20.63,11.40,2.174120985283586,20.629648868586052,11.40188492693482
qwen3-235b-a22b,2.40,20.38,11.39,2.40150297004257,20.38421564393703,11.392859306989797
llama-3.3-70b-instruct,1.81,20.51,11.16,1.8055821906739538,20.5072009764548,11.156391583564377
gemma2-9b-it,2.36,19.81,11.09,2.3590325767994695,19.81495669037803,11.086994633588747
gemma-2-27b-it,2.47,19.20,10.84,2.4744142617836555,19.202670544765486,10.838542403274571
gpt-oss-120b,2.51,18.79,10.65,2.5146961943738693,18.793310908835213,10.654003551604541
mistral-7b-instruct-v0.3,2.26,18.31,10.28,2.2618622984996923,18.306612120518313,10.284237209509001
qwq-32b,1.95,17.27,9.61,1.9455566507666162,17.27356389636664,9.609560273566627
gemma-2-9b-it,1.55,14.99,8.27,1.5536251988239618,14.985493534367189,8.269559366595576
