ref,text,translated,similarity_score,source_zip_file,bleu_score,chrf_score,avg_score
"Later that same day Isaac's servants came and said, “We've struck water!”",Ni eba mli nakai gbĩ le̱ noṅṅ ake̱ Isak tšũdši le̱ ha ni ame̱bagbale̱ nubu ni ame̱dše le̱ he sane ake̱: Wo̱yanina nu.,"He did not say anything to Isaac, but he said to them, ""I will give you a sign.""",0.54753697,output_mich001,1.958224832501124,16.2554099148066,9.106817373653861
"Isaac took Rebekah into the tent where his mother had lived before she died, and Rebekah became his wife. He loved her and was comforted over the loss of his mother.","Ni Isak ke̱le̱ ba enye Sara bū le̱ mli; ni eṅõ Rebeka ni ebatšṍ eṅã, ni esumo̱le̱. Ni Isak tšé̱ etšui eṅmẽ emli ye̱ *enye gbĕle le̱ se̱. *","And Isaac said to her, ""Sara, my wife, you are my mother; and Rebekah, my mother, she is my mother, and she is my mother. And Isaac said to her, ""My mother, you are my mother.""",0.7235206,output_mich001,3.0038402582596286,27.159816320237805,15.081828289248717
he put him in charge of the other prisoners and of everything that was done in the jail.,"Ni gbokle̱foi akwe̱lo̱ le̱ tu gbokle̱foi le̱ ni yo̱ tšũ le̱ṅ le̱ fẽ ewo Iosef deṅ, ni nofẽno ni afeo̱ ye̱ dše̱i le̱, le̱ efeo̱.","And they brought Joseph up and set him before Pharaoh, and Pharaoh said to his servants, ""See, this is the one whom God has made ready for me.""",0.35052124,output_mich001,1.5393730252811677,21.17198134404841,11.35567718466479
"Instead, go back to the land where I was born and find a wife for him from among my relatives.”",ši moṅ oote mišikpoṅ le̱ no̱ ke̱ miweku le̱ mli ni oyaw̌e̱ yō abahã mibi Isak.,"This morning, the young man went to the forest and found a woman there who was weeping. He asked her why she was weeping and she told him that her name was Isak.",0.1880024,output_mich001,2.9000744656730446,25.237473901646982,14.068774183660013
"I will bring you into the land that I solemnly promised to Abraham, Isaac, and Jacob, and it will be yours. I am the Lord!”","ni mike̱nye aate šikpoṅ ni *miwó minine no̱ ake̱ mike̱-ahã Abraham ke̱ Isak ke̱ Iakob le̱ no̱, ni mike̱-ahãnye ní nyeye no, midši Iehowa le̱! *","For Mike̱nye aate šikpoṅ ni *miwó minine no̱ ake̱ mike̱-ahã Abraham ke̱ Isak ke̱ Iakob le̱ no̱, ni mike̱-ahãnye ní nyeye no, midši Iehowa le̱!",0.21850394,output_mich001,1.6984210955039127,15.830071615249658,8.764246355376786
"When they arrived, Isaac asked, “Why are you here? Didn't you send me away because you hated me?”","Ni Isak kē̱ame̱ ake̱: Meni bewo̱ nyebaä miṅõ, nye ni nyenye̱o̱mi, ni nyeſiemi ye̱ nyemase̱i le̱?","Isak, what is your name? I don't know you, I haven't seen you before, have we met somewhere?",0.31335244,output-onesimus_003,2.5771688135729764,20.40619454891742,11.491681681245197
"While Joseph was in prison, both the king's personal servant and his chief cook made the king angry. So he had them thrown into the same prison with Joseph.","ni eyawoame̱ tšũṅ ye̱ oblafoi atše̱ le̱ šĩa le̱, ye̱ gbokle̱foi atšũ le̱ṅ, heni aṅõ *Iosef awo le̱. *",This is the story of Joseph.,0.57231224,output-onesimus_003,0.4086827192048129,8.66970043193729,4.539191575571052
"He cooked the tasty food, brought it to his father, and said, “Father, please sit up and eat the meat I have brought you, so you can give me your blessing.”","ni le̱ hũ efe niyenii ke̱ ṅõmo̱ ni eke̱-bahã etše̱, ni ekē̱ etše̱ ake̱: Hã mitše̱ ate ši, ni eye ehi mĩle̱lo le̱ eko, koni osusuma adšō̱mi.","You have a good heart, you are kind and generous, and you are always willing to help. You are a true friend, and I am grateful for your friendship.",0.14904344,output-onesimus_003,3.0290274846789016,19.74559485051076,11.38731116759483
"Abram moved from place to place in the Southern Desert. And finally, he went north and set up his tents between Bethel and Ai,","Ni ekã egbe̱fā̃i le̱ ahe ke̱-dše̱ wuoyigbe̱ le̱ ke̱-te Betel tō̃, ke̱-te heni eši ebū le̱ ye̱ tšutšu le̱, ye̱ Betel ke̱ Ai teṅ,","And he said to them, ""I will show you something, something that will happen in the future, in the days of the son of man.  And you will see the Son of Man coming in the clouds of heaven, with power and great glory.  And he will send his angels with a loud trumpet call, and they will gather his elect from the four winds, from one end of heaven to the other.""",0.28369358,output-onesimus_003,1.595387743412228,22.833941199400126,12.214664471406177
"Our Lord, I am waiting for you to save us.","Iehowa, owalaheremo̱ le̱ gbe̱ mikwe̱o̱ ne̱! Lal.","Jehovah, you are great and mighty! Hallelujah.",0.5080682,output-onesimus_003,4.521356896113449,11.686840844893263,8.104098870503357
