verse_number,english_verse,translation_verse
23,"“A virgin will have a baby boy, and he will be called Immanuel,” which means “God is with us.”",“Alebu ŋon ɔ te doo ta na baale see ya nɛ waa kyaŋ fulu na waa lola bu baale na baa baake e nyi Imanuɛle.” Keŋ nawolo nyi “Wurubuarɛ kyaa de man.”
11,"From David to the time of the exile in Babylonia, the ancestors of Jesus were: David, Solomon , Rehoboam, Abijah, Asa, Jehoshaphat, Jehoram; Uzziah, Jotham, Ahaz, Hezekiah, Manasseh, Amon, Josiah, and Jehoiachin and his brothers.",Gyosia lolana Gyekonia na ɔ naabia debaŋ keŋ bɔɔ kyaŋ Iseraetena yoo man mo gyu Babilɔn tɛɛle man nɛ.
16,"From the exile to the birth of Jesus, his ancestors were: Jehoiachin, Shealtiel, Zerubbabel, Abiud, Eliakim, Azor, Zadok, Achim; Eliud, Eleazar, Matthan, Jacob, and Joseph, the husband of Mary, the mother of Jesus, who is called the Messiah.",Gyekɔpo mɔ lolana Gyosɛfo. Te Gyosɛfo yala Mɛɛre ŋon ɔ ba lola Yesu ŋon bɛɛ baake e nyi Kristo nɛ. Ŋon yɛna nyeelɛɛre ŋon Wurubuarɛ be yako see nyi waa kɔŋ nɛ.
14,more to the birth of the Messiah. The Birth of Jesus (Luke,Asɔ lolana Sadoki te Sadoki mɔ lola Akim te Akim mɔ lola Eliudi.
18,"This is how Jesus Christ was born. A young woman named Mary was engaged to Joseph from King David's family. But before they were married, she learned that she was going to have a baby by God's Holy Spirit.","Yesu Kristo kalola wose man nombia yaa. Gyosɛfo na Yesu ɔ naa Mɛɛre yakowɔ see nyi baa yala dɔŋa. Mɔna Gyosɛfo ta kpeo ta e ya, te Wurubuarɛ feliŋ yela Mɛɛre kyaŋa fulu."
19,Joseph was a good man and did not want to embarrass Mary in front of everyone. So he decided to quietly call off the wedding.,"Na Gyosɛfo yɛɛ walaŋ ŋon ɔ gbɛɛneŋ tenɛɛ Wurubuarɛ siaman, te ɔ bɛɛ gyae nyi waa do Mɛɛre desɛŋ balaŋ man dɔɔ ya nɛ, ɔ yɛɛ wa agyueŋ nyi waa yo bɛɛ e keŋ ŋolo na ŋolo ba gyem ya."
20,"While Joseph was thinking about this, an angel from the Lord appeared to him in a dream. The angel said, “Joseph, the baby that Mary will have is from the Holy Spirit. Go ahead and marry her.","Debaŋ keŋ Gyosɛfo na mo mena agyueŋ kei nɛ, te de Gbeŋgyoo Wurubuarɛ kpilale ŋolo kaa lese ɔ wose wola e dosɛɛ man, te ɔ yako e nyiaa, “Defidi ɔ naanabii Gyosɛfo, na yee Mɛɛre ke yala ya. Nawolo nyi Wurubuarɛ feliŋ yele la te ɔ kyaŋa fulu kei."
21,"Then after her baby is born, name him Jesus, because he will save his people from their sins.”",Waa lola bu baale na n ka do e yele nyi Yesu. Nawolo nyi ŋon ne gyae la waa lese ɔ balaŋ lee be nombiakumɛɛ man.”
24,"After Joseph woke up, he and Mary were soon married, just as the Lord's angel had told him to do.","Mena dɔɔ Gyosɛfo kefoŋ nɛ, ɔ moo Mɛɛre yala ŋgba mena keŋ de Gbeŋgyoo Wurubuarɛ kpilale ŋon be yako e nɛ."
25,But they did not sleep together before her baby was born. Then Joseph named him Jesus.,Mɔna ŋon na Mɛɛre te doo ŋgba alo na baale nɛ ya kaboena ɔ lola bu baale. Te Gyosɛfo doo e yele nyi Yesu.
1,"When Jesus was born in the village of Bethlehem in Judea, Herod was king. During this time some wise men from the east came to Jerusalem","Ba lola Yesu bo Bɛtelɛhɛm donɔɔ keŋ ke kyaa Gyudia tɛɛle man nɛ man. Debaŋ kenaŋ na gyoo Herode ne diina gyoori. Be ka lola Yesu nɛ, te di weeya ala ya te siakaralatena baale baŋ ba gyeŋ kyolobiise wose man nombia nɛ lee weese dɛɛlee yenaŋ kɔŋ Gyerusalɛm donɔɔ man,"
2,"and said, “Where is the child born to be king of the Jews? We saw his star in the east and have come to worship him.”","kaa bɔɔse balaŋ nyiaa, “Aleŋ te ba lola bu ŋon waa kaa bese Gyudatena gyoo nɛ? Da te naa kyolobii ŋolo weese dɛɛlee yenaŋ keŋ na wola daa nyi be ta lola e, mena dɔɔ te de kɔŋawɔ de kaa som e.”"
3,"When King Herod heard about this, he was worried, and so was everyone else in Jerusalem.","Gyoo Herode na baŋ pou be kyaa Gyerusalɛm donɔɔ man ke nyii nombia kɛŋa nɛ, takaa wɔ nideli."
