verse_number,english_verse,translation_verse
23,"“A virgin will have a baby boy, and he will be called Immanuel,” which means “God is with us.”","“Bihɛ, pɔgesakãherɛ wan nyɔkɛ puurɛ dɔgɛ budibela, ti ba sigɛ ka yu'urɛ Emanuwɛl.” De vuurɛ dela, “Yinɛ boi la tɔ.”"
16,"From the exile to the birth of Jesus, his ancestors were: Jehoiachin, Shealtiel, Zerubbabel, Abiud, Eliakim, Azor, Zadok, Achim; Eliud, Eleazar, Matthan, Jacob, and Joseph, the husband of Mary, the mother of Jesus, who is called the Messiah.","ti Yakɔbe dɛna Yosefe sɔ, Mɛɛri sira la sɔ, Mɛɛri se'em en dɔgɛ Yezu, se'em ti ba yi'ira Kiresta la."
14,more to the birth of the Messiah. The Birth of Jesus (Luke,"ti Azɔr dɛna Zadɔki sɔ, ti Zadɔki dɛna Akim sɔ, ti Akim dɛna Eliyud sɔ,"
18,"This is how Jesus Christ was born. A young woman named Mary was engaged to Joseph from King David's family. But before they were married, she learned that she was going to have a baby by God's Holy Spirit.","Nananawa, Yezu en de Kiresta la dɔgum en doohe la sadɔtɔ kuna. Lan wa eŋa ti a ma Mɛɛri yeti a ele Yosefe la. Gee se'em ma'a ti ba ta yeti ba nyaa zi'ire la taaba la, a nyɛ ti pun tara la puurɛ, Fa'a Sia la paŋa puan."
19,Joseph was a good man and did not want to embarrass Mary in front of everyone. So he decided to quietly call off the wedding.,"Gee Yosefe a sira la, ka bɔta a diihe en vi nɛreba nɛŋan la, maahum mɛ ti a bahɛ en bããlam."
20,"While Joseph was thinking about this, an angel from the Lord appeared to him in a dream. The angel said, “Joseph, the baby that Mary will have is from the Holy Spirit. Go ahead and marry her.","Gee en ti'ihɛ ku ti a iŋɛ ŋwana wa la, ti Yinɛ suŋera niiɛ a mɛŋa bo' en zaaheŋɔ puan yi' en yeti, “Yosefe, Deviti dayua, da tara dabeem ti dabeem ti fum to'e Mɛɛri ti a dɛna fum pɔga. Se'ere sɔi la, bisɛka puurɛ ti a tara wa, dela Fa'a Sia la paŋa n bahɛ ti la iŋɛ bala."
21,"Then after her baby is born, name him Jesus, because he will save his people from their sins.”","A wan dɔgɛ la budibela ti fum sigɛ ka yu'urɛ Yezu. Se'ere en sɔi la, eŋa n yeti a faaɛ a nɛreba ba be'em puan bahɛ.”"
22,"So the Lord's promise came true, just as the prophet had said,","Yele ana za'a iŋɛ ti la bahɛ ti Daana la en tɔgɛ se'em doohe a nɔtɔgeha puan la wa'am sira na. La yeti,"
24,"After Joseph woke up, he and Mary were soon married, just as the Lord's angel had told him to do.","Yosefe en ihege a guum la puan la, a tum doohe la Daana suŋera la en bo' en nuurɛ se'em la, to'e Mɛɛri ti a dɛna a pɔga."
25,But they did not sleep together before her baby was born. Then Joseph named him Jesus.,"Gee Yosefe ka makɛ naaɛ la Mɛɛri ta paaɛ se'em ma'a ti Mɛɛri dɔgɛ budibela la, ti Yosefe sigɛ ka yu'urɛ Yezu."
1,"When Jesus was born in the village of Bethlehem in Judea, Herod was king. During this time some wise men from the east came to Jerusalem","Naba Hɛrɔd saŋa puan, ban wa dɔgɛ Yezu Bɛtelehɛm en boi Yudiya puan ba'ahɛ la, bihɛ ya, baŋereba duma ze'ele dapɔya bɔba ha wa'am Yerusalɛm na,"
2,"and said, “Where is the child born to be king of the Jews? We saw his star in the east and have come to worship him.”","sɔkera yeti, “Bɛha ti ba dɔgɛ se'em en de Yuuduma naba la? Beni zuo, tu nyɛ la ka ŋmarebila dapɔya ha, wa'am na ti tu na'ahɛ en.”"
3,"When King Herod heard about this, he was worried, and so was everyone else in Jerusalem.","Naba Hɛrɔd en wum ŋwana la, dabeem n kɛ en paaɛ paaɛ, la Yerusalɛm nɛreba za'a;"
4,"Herod brought together the chief priests and the teachers of the Law of Moses and asked them, “Where will the Messiah be born?”","ti a yi' malema kiinduma la za'a, la nɛreba la gɔnmi'ineba lagehɛ na viihɛ ba zi'an ti ba wan dɔgɛ Kiresta la."
5,"They told him, “He will be born in Bethlehem, just as the prophet wrote,","Ti ba yele en yeti, “Bɛtelehɛm n boi Yudiya puan, Se'ere n sɔi la, nɔtɔgeha la n gulehɛ se'em biŋe n bala:"
6,"‘Bethlehem in the land of Judea, you are very important among the towns of Judea. From your town will come a leader, who will be like a shepherd for my people Israel.’ ”","‘Fum Bɛtelehɛm, n boi Yuda puan wa, kan dɛna timbila Yuda naduma nɛŋan; se'ere n sɔi la, fum puan ti naba wan yehe na; dɛna dunkiina bo' mam nɛreba Iziraleduma.’ ”"
7,Herod secretly called in the wise men and asked them when they had first seen the star.,"Ti Hɛrɔd yi' baŋereba la bããlam ti a baŋɛ ba zi'an, hansɛka mɔpi ti ba nyɛ ŋmarebila la."
8,"He told them, “Go to Bethlehem and search carefully for the child. As soon as you find him, let me know. I also want to go and worship him.”","Gee nyaa tum ba Bɛtelehɛm yeti, “Kiŋɛ ya ta ɛ bia la ninmu'urɛ, ya ha nyɛ ka, bahɛ ya ti n tuberɛ wum, ti mam me kiŋɛ ta na'ahɛ ka.”"
9,The wise men listened to what the king said and then left. And the star they had seen in the east went on ahead of them until it stopped over the place where the child was.,"Ban wum Naba la sɔhega la ba'ahɛ la, ba yehe mɛ yɛ'a, bihɛ nyɛ ti ŋmarebila n bala, bɔna ba nɛŋa, ŋmarebila sɛka ti ba nyɛ dapɔya yia la, ti ka kina tara tara ta teke zi'an ti bia la bɔna la."
10,They were thrilled and excited to see the star.,"Ban nyɛ ti ŋmarebila la, ba nyɛɛm la nyɛɛŋɔ en ka tari makerɛ,"
11,"When the men went into the house and saw the child with Mary, his mother, they knelt down and worshiped him. They took out their gifts of gold, frankincense, and myrrh and gave them to him.","Ti ban kɛ̃ yire la puan la, ba nyɛ bia la mɛ la ka ma Mɛɛri. Ti ba kpa' duma na'ahɛ ka, gee nyaa yu'uhɛ ba tuulum lɔgerɔ tapɔtɔ yehe salema, tuulum digelum la sɛla en tari nyuuŋo suŋɔ ti ba yi'ira Mɛɛ bo' ka."
12,"Later they were warned in a dream not to return to Herod, and they went back home by another road. The Escape to Egypt","Yinɛ n ka'am ba zaaheŋɔ puan la ninmu'urɛ yeti, ba da lebe Naba Hɛrɔd zi'an la zuo, ban lebere ba mɛŋa tiŋa la, ba tee la sore deyima. Ba zɔ loŋe Igipiti"
13,"After the wise men had gone, an angel from the Lord appeared to Joseph in a dream and said, “Get up! Hurry and take the child and his mother to Egypt! Stay there until I tell you to return, because Herod is looking for the child and wants to kill him.”","Baŋereba la n kule la, ti Daana suŋera niiɛ a mɛŋa bo' Yosefe zaaheŋɔ puan yeti, “Ihege tari bia la, la ka ma zɔ loŋe Igipiti ta bɔna bini gura se'em ma'a ti n wan ta yele fum ti fum lebe na. Se'ere n sɔi la, Hɛrɔd maahum mɛ ti a ɛ bia la ku ka.”"
14,"That night, Joseph got up and took his wife and the child to Egypt,","Ti Yosefe ihege, tari bia la, la ka ma zɔ loŋe Igipiti yu'uŋɔ,"
15,"where they stayed until Herod died. So the Lord's promise came true, just as the prophet had said, “I called my son out of Egypt.” The Killing of the Children","ta bɔna bilam tara tara ti Hɛrɔd ta ki. Yele dina iŋɛ ti la doohe la se'ere ti Daana pun tɔgɛ doohe a nɔtɔgeha puan yeti, “Igipiti puan na, ti mam yi' n dayua la.” Kɔmbibehi kɔreŋɔ"
16,"When Herod found out that the wise men from the east had tricked him, he was very angry. He gave orders for his men to kill all the boys who lived in or near Bethlehem and were two years old and younger. This was based on what he had learned from the wise men.","Hɛrɔd n ta baŋɛ ti baŋereba la pã'ahɛ en mɛ la, a ukɛ mɛ kankaŋi, gee bo' nuurɛ ti ba doohe kɔrum bibudibeto sɛba woo n boi Bɛtelehɛm la ka kɔrɔmkɔrɔm za'a, kɔmsɛba n de yuuma ayi' bii sɛba n pun ka paaɛ bala, doohe la hansɛka ti a wum ti baŋereba duma la tɔgɛ bo' en la."
17,"So the Lord's promise came true, just as the prophet Jeremiah had said,","Dina wa tum doohe la se'ere ti Yɛremiya nɔtɔgeha la yuum purɛ yeti,"
